,mention_span1,mention_span2,offsets1,offsets2,window1,window2
78,"['5-22', '5-23']",['5-23'],['5-17'],,"['5-16', '5-17', '5-18']",
79,"['9-104', '9-105', '9-106']",['9-105'],,,,
80,"['7-161', '7-162', '7-163']",['7-163'],,,,
81,['8-52'],['8-52'],,['8-56'],,"['8-55', '8-56', '8-57']"
82,['8-273'],['8-273'],,,,
83,"['6-214', '6-215']",['6-215'],,,,
84,"['10-200', '10-201', '10-202']","['10-200', '10-201', '10-202']",,,,
85,"['10-162', '10-163', '10-164', '10-165']","['10-162', '10-163', '10-164', '10-165']",['10-154'],,"['10-153', '10-154', '10-155']",
86,"['7-285', '7-286', '7-287', '7-288', '7-289', '7-290', '7-291']",['7-289'],,,,
87,['10-57'],['10-57'],,,,
88,"['8-310', '8-311', '8-312', '8-313', '8-314', '8-315', '8-316']",['8-314'],,,,
89,"['9-191', '9-192']",['9-192'],,,,
90,"['8-6', '8-7']",['8-7'],['8-1'],,"['8-0', '8-1', '8-2']",
91,"['6-285', '6-286']",['6-285'],,,,
92,"['7-78', '7-79']",['7-78'],,,,
93,"['8-81', '8-82', '8-83']",['8-82'],,,,
94,['11-13'],['11-13'],,,,
95,"['11-153', '11-154']",['11-154'],,,,
96,['9-94'],['9-94'],,,,
97,"['11-46', '11-47']",['11-47'],,,,
98,"['8-285', '8-286']",['8-286'],,,,
99,"['6-164', '6-165']",['6-165'],,,,
100,"['6-127', '6-128', '6-129', '6-130', '6-131', '6-132']",['6-132'],,,,
101,['6-228'],['6-228'],,,,
102,"['7-275', '7-276']",['7-276'],,,,
103,"['9-25', '9-26']",['9-26'],,,,
104,['10-114'],['10-114'],,,,
105,['11-36'],['11-36'],,,,
106,"['8-281', '8-282', '8-283', '8-284']","['8-281', '8-282', '8-283', '8-284']",,,,
107,['6-261'],['6-261'],,,,
108,['8-267'],['8-267'],['8-266'],,"['8-265', '8-266', '8-267']",
109,['7-232'],['7-232'],,,,
110,['6-72'],['6-72'],,,,
111,['6-68'],['6-68'],,,,
112,"['7-175', '7-176', '7-177']",['7-177'],,,,
113,"['11-75', '11-76']",['11-76'],,,,
114,"['9-203', '9-204', '9-205', '9-206']",['9-204'],,,,
115,['7-71'],['7-71'],,['7-68'],,"['7-67', '7-68', '7-69']"
116,['7-37'],['7-37'],,,,
117,"['10-20', '10-21', '10-22', '10-23', '10-24']","['10-20', '10-21']",['10-17'],,"['10-16', '10-17', '10-18']",
118,['6-7'],['6-7'],,,,
119,"['7-146', '7-147']",['7-147'],,['7-141'],,"['7-140', '7-141', '7-142']"
120,"['9-129', '9-130']",['9-129'],,,,
121,['8-175'],['8-175'],,,,
122,"['7-128', '7-129']",['7-129'],,,,
123,"['7-186', '7-187']",['7-187'],,,,
124,"['10-86', '10-87']",['10-87'],['10-78'],,"['10-77', '10-78', '10-79']",
125,"['7-241', '7-242']",['7-242'],,,,
