,mention_span1,mention_span2,offsets1,offsets2,window1,window2
102,['11-12'],['11-12'],,,,
103,['7-297'],['7-297'],,,,
104,['4-11'],['4-11'],,,,
105,"['7-161', '7-162', '7-163']","['7-160', '7-161', '7-162', '7-163']",,,,
106,['6-293'],['6-293'],,,,
107,['7-98'],['7-98'],,,,
108,['7-34'],['7-34'],,,,
109,"['7-108', '7-109', '7-110']","['7-108', '7-109', '7-110']",,,,
110,['6-165'],['6-165'],,,,
111,"['10-10', '10-11']","['10-10', '10-11']",,,,
