,mention_span1,mention_span2,offsets1,offsets2,window1,window2
41,['9-192'],"['9-188', '9-189', '9-190', '9-191', '9-192']",,,,
42,"['8-281', '8-282', '8-283', '8-284']","['8-281', '8-282', '8-283', '8-284']",,,,
43,['11-154'],['11-154'],,,,
44,['6-158'],['6-158'],,,,
45,['11-90'],['11-90'],,,,
46,"['8-215', '8-216']","['8-215', '8-216']",,,,
47,['6-187'],['6-187'],,,,
48,['8-7'],['8-7'],,,,
49,['7-273'],['7-273'],,,,
50,['7-17'],['7-17'],,,,
51,['10-114'],['10-114'],,,,
52,['7-197'],['7-197'],,,,
53,['10-96'],['10-96'],,,,
54,['8-314'],['8-314'],,,,
55,['9-230'],['9-230'],,,,
56,"['7-4', '7-5', '7-6']","['7-4', '7-5', '7-6']",,,,
57,['6-96'],['6-96'],,,,
58,['11-57'],['11-57'],,,,
59,['6-105'],['6-105'],,,,
60,['10-125'],['10-125'],,,,
61,['7-37'],['7-37'],,,,
62,['10-87'],"['10-86', '10-87']",,,,
63,['7-317'],['7-317'],,,,
64,['6-7'],['6-7'],,['6-3'],,"['6-2', '6-3', '6-4']"
65,['8-34'],['8-34'],,,,
66,['6-72'],['6-72'],,,,
67,['11-47'],['11-47'],,,,
68,"['6-207', '6-208']","['6-207', '6-208']",,,,
69,['10-106'],['10-106'],,,,
70,"['10-200', '10-201', '10-202']",['10-202'],,,,
71,['7-34'],['7-34'],,,,
72,['7-214'],['7-214'],,,,
73,['7-147'],"['7-146', '7-147']",,,,
74,['5-23'],['5-23'],,['5-18'],,"['5-17', '5-18', '5-19']"
75,"['7-121', '7-122']",['7-122'],,,,
76,"['6-268', '6-269']","['6-268', '6-269']",,,,
77,"['10-273', '10-274']","['10-273', '10-274']",,,,
78,['8-273'],['8-273'],,,,
79,['6-31'],['6-31'],,,,
80,['5-12'],['5-12'],,,,
81,['8-164'],['8-164'],,,,
82,['6-293'],['6-293'],,,,
83,['9-129'],['9-129'],,,,
84,['9-165'],['9-165'],,,,
85,['7-187'],['7-187'],,,,
86,['7-276'],['7-276'],,,,
87,['6-68'],['6-68'],,,,
88,['4-4'],['4-4'],['4-3'],['4-3'],"['4-2', '4-3', '4-4']","['4-2', '4-3', '4-4']"
89,['5-51'],['5-51'],,,,
90,['8-106'],['8-106'],,,,
91,['8-69'],['8-69'],,,,
92,['7-258'],['7-258'],,,,
93,['8-153'],['8-153'],,,,
94,['9-108'],['9-108'],,,,
95,['6-156'],"['6-155', '6-156']",,,,
96,['11-139'],"['11-137', '11-138', '11-139']",,,,
97,"['5-52', '5-53', '6-1']","['5-52', '5-53', '6-1']",,,,
98,['7-129'],['7-129'],,,,
99,['10-61'],['10-61'],,,,
100,"['10-20', '10-21']","['10-20', '10-21']",,,,
101,['6-165'],['6-165'],,,,
102,"['7-108', '7-109', '7-110']","['7-108', '7-109', '7-110']",,,,
103,['9-132'],['9-132'],,,,
104,['8-171'],['8-171'],['8-170'],,"['8-169', '8-170', '8-171']",
105,['6-261'],['6-261'],,,,
106,['6-228'],['6-228'],,,,
107,['6-285'],['6-285'],,,,
108,['6-248'],"['6-247', '6-248']",['6-246'],,"['6-245', '6-246', '6-247']",
109,['7-71'],['7-71'],,,,
110,['8-46'],"['8-46', '8-47']",,,,
111,['7-163'],"['7-160', '7-161', '7-162', '7-163']",,,,
112,"['9-98', '9-99']","['9-98', '9-99']",,,,
113,['6-148'],['6-148'],,"['6-145|6-139', '6-145']",,"[['6-144', '6-145|6-139', '6-146'], ['6-144', '6-145', '6-146']]"
114,['7-297'],['7-297'],,,,
115,['8-267'],['8-267'],['8-266'],['8-266'],"['8-265', '8-266', '8-267']","['8-265', '8-266', '8-267']"
