,mention,anchor_type,mention_token_id,mention_character_id,eventclass,Patient_offsets,Agent_offsets,Location_offsets,Time_offsets,AgentPatient_offsets,Benefactive_offsets,Cargo_offsets,Source_offsets,Target_offsets,Path_offsets,Instrument_offsets,mention_span,mention_span_ids,eventclass_no_number,last_token_id
20,ƒ,0,6-1,105-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
21,d,0,6-2,107-108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
22,1e,0,6-3,109-111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
23,1,0,6-3.1,109-110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
24,ee,0,7-1,112-114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
25,en,0,7-2,115-117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
26,vee,0,8-1,118-121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
27,ee,0,8-2,122-124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
28,ve,0,9-1,125-127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
29,e,0,9-2,128-129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
30,ee,0,9-3,130-132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
31,Ed,0,10-1,133-135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
32,:,0,10-2,136-137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
33,Erentfebte,0,10-3,138-148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
34,",",0,10-4,149-150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
35,Achtbare,0,10-5,151-159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
36,",",0,10-6,160-161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
37,wijse,0,10-7,162-167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
38,",",0,10-8,168-169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
39,voorsienige,0,10-9,170-181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
40,seer,0,10-10,182-186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
41,discrete,0,10-11,187-195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
42,Heeren,0,10-12,196-202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
43,Qulans,0,11-1,203-209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
44,Tsedert,0,12-1,210-217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
45,onsen,0,12-2,218-223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
46,Jongsten,0,12-3,224-232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
47,hier,0,12-4,233-237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
48,neuens,0,12-5,238-244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
49,in,0,12-6,245-247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
50,copie,0,12-7,248-253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
51,gaende,isOfType,12-8,254-260,Transportation,['12-2[66]'],None,None,None,None,None,None,['12-34'],None,None,['12-11[68]'],gaende,['12-8'],Transportation,12-8
52,),0,12-9,261-262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
53,met,0,12-10,263-266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
54,de,0,12-11,267-269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
55,Schepen,0,12-12,270-277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
56,Frederick,0,12-13,278-287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
57,Benrick,0,12-14,288-295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
58,",",0,12-15,296-297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
59,Bollandia,0,12-16,298-307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
60,",",0,12-17,308-309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
61,Twdapen,0,12-18,310-317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
62,van,0,12-19,318-321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
63,Eelff,0,12-20,322-327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
64,",",0,12-21,328-329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
65,s'landts,0,12-22,330-338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
66,hollandia,0,12-23,339-348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
67,ende,0,12-24,349-353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
68,de,0,12-25,354-356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
69,Galias,0,12-26,357-363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
70,den,0,12-27,364-367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
71,12en,0,12-28,368-372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
72,November,0,12-29,373-381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
73,past,0,12-30,382-386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
74,in,0,12-31,387-389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
75,Compe,0,12-32,390-395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
76,van,0,12-33,396-399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
77,Battania-,0,12-34,400-409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
78,Battania,0,12-34.1,400-408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
79,gescheijden,0,12-35,410-421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
80,",",0,12-36,422-423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
81,ende,0,12-37,424-428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
82,den,0,12-38,429-432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
83,15en,0,12-39,433-437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
84,.,0,12-40,438-439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
85,do,0,12-41,440-442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
86,door,0,12-42,443-447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
87,de,0,12-43,448-450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
88,strate,0,12-44,451-457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
89,Sunda,0,12-45,458-463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
90,geraeckt,isOfType,12-46,464-472,BeingAtAPlace,['12-11[67]'],None,['12-43[69]'],None,None,None,None,None,None,None,None,geraeckt,['12-46'],BeingAtAPlace,12-46
91,sijn,0,12-47,473-477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
92,hier,0,12-48,478-482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
93,Godt,0,12-49,483-487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
94,loff,0,12-50,488-492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
95,den,0,12-51,493-496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
96,17en,0,12-52,497-501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
97,.,0,12-53,502-503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
98,ende,0,12-54,504-508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
99,21e,0,12-55,509-512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
100,.,0,12-56,513-514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
101,l.,0,12-57,515-517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
102,van,0,12-58,518-521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
103,Teijouhan,0,12-59,522-531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
104,ende,0,12-60,532-536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
105,Jappan,0,12-61,537-543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
106,successiue-,0,12-62,544-555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
107,wel,0,12-63,556-559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
108,aengecomen,*,12-64,560-570,Arriving,None,['12-65[71]'],['12-48'],None,None,None,None,['12-59[70]'],None,None,None,aengecomen,['12-64'],Arriving,12-64
109,t'Jacht,0,12-65,571-578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
110,Jacht,0,12-65.1,573-578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
111,Erabinus,0,12-66,579-587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
112,ende,0,12-67,588-592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
113,t'Schip,0,12-68,593-600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
114,Schip,0,12-68.1,595-600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
115,de,0,12-69,601-603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
116,Vreede,0,12-70,604-610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
117,t'samen,0,12-71,611-618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
118,geladen,0,12-72,619-626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
119,met,0,12-73,627-630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
120,840,isOfType,12-74,631-634,*[155],None,None,None,None,None,None,None,None,None,None,None,840 . pica rouwe Chineesche,"['12-74', '12-75', '12-76', '12-77', '12-78']",*,12-78
121,.,isOfType,12-75,635-636,*[155],None,None,None,None,None,None,None,None,None,None,None,840 . pica rouwe Chineesche,"['12-74', '12-75', '12-76', '12-77', '12-78']",*,12-78
122,pica,isOfType,12-76,637-641,*[155],None,None,None,None,None,None,None,None,None,None,None,840 . pica rouwe Chineesche,"['12-74', '12-75', '12-76', '12-77', '12-78']",*,12-78
123,rouwe,isOfType,12-77,642-647,*[155],None,None,None,None,None,None,None,None,None,None,None,840 . pica rouwe Chineesche,"['12-74', '12-75', '12-76', '12-77', '12-78']",*,12-78
124,Chineesche,isOfType,12-78,648-658,*[155],None,None,None,None,None,None,None,None,None,None,None,840 . pica rouwe Chineesche,"['12-74', '12-75', '12-76', '12-77', '12-78']",*,12-78
125,Chineesch,0,12-78.1,648-657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
126,sijde,isOfType,12-79,659-664,*[155],None,None,None,None,None,None,None,None,None,None,None,"sijde , ende 332 xxi0 . copter","['12-79', '12-80', '12-81', '12-82', '12-83', '12-84', '12-85']",*,12-85
127,",",isOfType,12-80,665-666,*[155],None,None,None,None,None,None,None,None,None,None,None,"sijde , ende 332 xxi0 . copter","['12-79', '12-80', '12-81', '12-82', '12-83', '12-84', '12-85']",*,12-85
128,ende,isOfType,12-81,667-671,*[155],None,None,None,None,None,None,None,None,None,None,None,"sijde , ende 332 xxi0 . copter","['12-79', '12-80', '12-81', '12-82', '12-83', '12-84', '12-85']",*,12-85
129,332,isOfType,12-82,672-675,*[155],None,None,None,None,None,None,None,None,None,None,None,"sijde , ende 332 xxi0 . copter","['12-79', '12-80', '12-81', '12-82', '12-83', '12-84', '12-85']",*,12-85
130,xxi0,isOfType,12-83,676-680,*[155],None,None,None,None,None,None,None,None,None,None,None,"sijde , ende 332 xxi0 . copter","['12-79', '12-80', '12-81', '12-82', '12-83', '12-84', '12-85']",*,12-85
131,.,isOfType,12-84,681-682,*[155],None,None,None,None,None,None,None,None,None,None,None,"sijde , ende 332 xxi0 . copter","['12-79', '12-80', '12-81', '12-82', '12-83', '12-84', '12-85']",*,12-85
132,copter,isOfType,12-85,683-689,*[155],None,None,None,None,None,None,None,None,None,None,None,"sijde , ende 332 xxi0 . copter","['12-79', '12-80', '12-81', '12-82', '12-83', '12-84', '12-85']",*,12-85
133,.,0,12-86,690-691,0,0,0,0,0,0,0,0,0,0,0,0,"sijde , ende 332 xxi0 . copter","['12-79', '12-80', '12-81', '12-82', '12-83', '12-84', '12-85']",0,12-85
134,e.,0,12-87,692-694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
135,e,0,12-88,695-696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
136,e,0,12-89,697-698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
137,Op,0,12-90,699-701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
138,d'aencompete,0,12-91,702-714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
139,gemelter,0,12-92,715-723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
140,Schepen,0,12-93,724-731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
141,hebben,0,12-94,732-738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
142,",",0,12-95,739-740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
143,dadelijck,0,12-96,741-750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
144,met,0,12-97,751-754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
145,den,0,12-98,755-758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
146,Raedt,0,12-99,759-764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
147,ouerleijdt,0,12-100,765-775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
148,",",0,12-101,776-777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
149,off,0,12-102,778-781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
150,niet,0,12-103,782-786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
151,oorbaer,0,12-104,787-794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
152,ende,0,12-105,795-799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
153,raedtsaem,0,12-106,800-809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
154,soude,0,12-107,810-815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
155,wesen,0,12-108,816-821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
156,",",0,12-109,822-823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
157,noch,0,12-110,824-828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
158,een,0,12-111,829-832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
159,Schap,0,12-112,833-838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
160,met,0,12-113,839-842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
161,partije,0,12-114,843-850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
162,sijde,0,12-115,851-856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
163,",",0,12-116,857-858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
164,beneffens,0,12-117,859-868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
165,de,0,12-118,869-871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
166,becomene,0,12-119,872-880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
167,aduijsen,0,12-120,881-889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
168,van,0,12-121,890-893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
169,Teijouhan,0,12-122,894-903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
170,",",0,12-123,904-905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
171,ende,0,12-124,906-910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
172,—,0,12-125,911-912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
173,Japan,0,12-126,913-918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
174,",",0,12-127,919-920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
175,opt,0,12-128,921-924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
176,',0,12-129,925-926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
177,spoedichste,0,12-130,927-938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
178,de,0,12-131,939-941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
179,bouen,0,12-132,942-947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
180,gemelte,0,12-133,948-955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
181,Vloote,0,12-134,956-962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
182,nae,isOfType,12-135,963-966,Voyage[156],['12-132[72]'],None,None,None,None,None,None,None,['12-145[73]'],None,None,nae te seijnden,"['12-135', '12-136', '12-137']",Voyage,12-137
183,te,isOfType,12-136,967-969,Voyage[156],['12-132[72]'],None,None,None,None,None,None,None,['12-145[73]'],None,None,nae te seijnden,"['12-135', '12-136', '12-137']",Voyage,12-137
184,seijnden,isOfType,12-137,970-978,Voyage[156],['12-132[72]'],None,None,None,None,None,None,None,['12-145[73]'],None,None,nae te seijnden,"['12-135', '12-136', '12-137']",Voyage,12-137
185,",",0,12-138,979-980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
186,om,0,12-139,981-983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
187,deselue,0,12-140,984-991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
188,noch,0,12-141,992-996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
189,t'sij,0,12-142,997-1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
190,dan,0,12-143,1003-1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
191,aende,0,12-144,1007-1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
192,Cabo,0,12-145,1013-1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
193,ofte,0,12-146,1018-1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
194,St.,0,12-147,1023-1026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
195,Sdelena,0,12-148,1027-1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
196,te,0,12-149,1035-1037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
197,mogen,0,12-150,1038-1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
198,beloopen,0,12-151,1044-1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
199,.,0,12-152,1053-1054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
200,&,0,12-153,1055-1056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
201,Waerop,0,12-154,1057-1063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
202,aen,0,12-155,1064-1067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
203,d‛een,0,12-156,1068-1073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
204,sijde,0,12-157,1074-1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
205,Ingesien,0,12-158,1080-1088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
206,sijnde,0,12-159,1089-1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
207,",",0,12-160,1096-1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
208,hoe,0,12-161,1098-1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
209,voor,0,12-162,1102-1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
210,t'verloop,0,12-163,1107-1116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
211,vanden,0,12-164,1117-1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
212,gelimiteerden,0,12-165,1124-1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
213,tijdt,0,12-166,1138-1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
214,op,0,12-167,1144-1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
215,d'affvaerdinge,isOfType,12-168,1147-1161,Leaving,None,['12-170[74]'],None,None,None,None,None,None,['12-173[75]'],None,None,d'affvaerdinge,['12-168'],Leaving,12-168
216,der,0,12-169,1162-1165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
217,Retour,0,12-170,1166-1172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
218,Schepen,0,12-171,1173-1180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
219,naer,0,12-172,1181-1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
220,t,0,12-173,1186-1187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
221,',0,12-174,1188-1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
222,Naderslandt,0,12-175,1190-1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
223,",",0,12-176,1202-1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
224,(,0,12-177,1204-1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
225,achtervolgende,0,12-178,1206-1220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
226,V,0,12-179,1221-1222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
227,Ed,0,12-180,1223-1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
228,:,0,12-181,1226-1227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
229,aduisen,0,12-182,1228-1235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
230,met,0,12-183,1236-1239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
231,Bollandia,0,12-184,1240-1249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
232,Jongst,0,12-185,1250-1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
233,van,0,12-186,1257-1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
234,daer,0,12-187,1261-1265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
235,becomen,isOfType,12-188,1266-1273,Arriving,None,['12-179[76]'],None,None,None,None,None,['12-187'],None,None,['12-184[78]'],becomen,['12-188'],Arriving,12-188
236,niet,0,12-189,1274-1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
237,wel,0,12-190,1279-1282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
238,doenlijck,0,12-191,1283-1292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
239,soude,0,12-192,1293-1298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
240,sijn,0,12-193,1299-1303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
241,een,0,12-194,1304-1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
242,Schip,0,12-195,1308-1313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
243,tot,0,12-196,1314-1317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
244,gemelte,0,12-197,1318-1325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
245,Voijagie,isOfType,12-198,1326-1334,Voyage,['12-195'],None,None,None,None,None,None,None,None,None,None,Voijagie,['12-198'],Voyage,12-198
246,seijl,0,12-199,1335-1340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
247,reedt,0,12-200,1341-1346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
248,te,0,12-201,1347-1349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
249,crijgen,0,12-202,1350-1357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
250,;,0,12-203,1358-1359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
251,daer,0,12-204,1360-1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
252,beneffens,0,12-205,1365-1374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Span
