,token,token_id,anchor_type,event_anno
64,s'landts,12-22,"('0', '0', '0', '0')","('0', '0', '0', '0')"
65,hollandia,12-23,"('0', '0', '0', '0')","('0', '0', '0', '0')"
66,ende,12-24,"('0', '0', '0', '0')","('0', '0', '0', '0')"
67,de,12-25,"('0', '0', '0', '0')","('0', '0', '0', '0')"
68,Galias,12-26,"('0', '0', '0', '0')","('0', '0', '0', '0')"
69,den,12-27,"('0', '0', '0', '0')","('0', '0', '0', '0')"
70,12en,12-28,"('0', '0', '0', '0')","('0', '0', '0', '0')"
71,November,12-29,"('0', '0', '0', '0')","('0', '0', '0', '0')"
72,past,12-30,"('0', '0', '0', '0')","('0', '0', '0', '0')"
73,in,12-31,"('0', '0', '0', '0')","('0', '0', '0', '0')"
74,Compe,12-32,"('0', '0', '0', '0')","('0', '0', '0', '0')"
75,van,12-33,"('0', '0', '0', '0')","('0', '0', '0', '0')"
76,Battania-,12-34,"('0', '0', '0', '0')","('0', '0', '0', '0')"
78,gescheijden,12-35,"('isOfType', '0', 'isOfType', 'isOfType')","('Leaving', '0', 'Leaving', 'Leaving')"
79,",",12-36,"('0', '0', '0', '0')","('0', '0', '0', '0')"
80,ende,12-37,"('0', '0', '0', '0')","('0', '0', '0', '0')"
81,den,12-38,"('0', '0', '0', '0')","('0', '0', '0', '0')"
82,15en,12-39,"('0', '0', '0', '0')","('0', '0', '0', '0')"
83,.,12-40,"('0', '0', '0', '0')","('0', '0', '0', '0')"
84,do,12-41,"('0', '0', '0', '0')","('0', '0', '0', '0')"
85,door,12-42,"('0', '0', '0', '0')","('0', '0', '0', '0')"
86,de,12-43,"('0', '0', '0', '0')","('0', '0', '0', '0')"
87,strate,12-44,"('0', '0', '0', '0')","('0', '0', '0', '0')"
88,Sunda,12-45,"('0', '0', '0', '0')","('0', '0', '0', '0')"
89,geraeckt,12-46,"(0, 'isOfType', 'isOfType', 'evokes')","('Arriving', 'BeingAtAPlace', 'TransLocation', 'TransLocation')"
90,sijn,12-47,"('0', '0', 'isOfType', '0')","('0', '0', 'TransLocation', '0')"
91,hier,12-48,"('0', '0', '0', '0')","('0', '0', '0', '0')"
92,Godt,12-49,"('0', '0', '0', '0')","('0', '0', '0', '0')"
93,loff,12-50,"('0', '0', '0', '0')","('0', '0', '0', '0')"
94,den,12-51,"('0', '0', '0', '0')","('0', '0', '0', '0')"
95,17en,12-52,"('0', '0', '0', '0')","('0', '0', '0', '0')"
96,.,12-53,"('0', '0', '0', '0')","('0', '0', '0', '0')"
97,ende,12-54,"('0', '0', '0', '0')","('0', '0', '0', '0')"
98,21e,12-55,"('0', '0', '0', '0')","('0', '0', '0', '0')"
99,.,12-56,"('0', '0', '0', '0')","('0', '0', '0', '0')"
100,l.,12-57,"('0', '0', '0', '0')","('0', '0', '0', '0')"
101,van,12-58,"('0', '0', '0', '0')","('0', '0', '0', '0')"
102,Teijouhan,12-59,"('0', '0', '0', '0')","('0', '0', '0', '0')"
103,ende,12-60,"('0', '0', '0', '0')","('0', '0', '0', '0')"
104,Jappan,12-61,"('0', '0', '0', '0')","('0', '0', '0', '0')"
105,successiue-,12-62,"('0', '0', '0', '0')","('0', '0', '0', '0')"
107,wel,12-63,"('0', '0', '0', '0')","('0', '0', '0', '0')"
108,aengecomen,12-64,"('isOfType', 0, 'isOfType', 'isOfType')","('Arriving', 'Arriving', 'Arriving', 'Arriving')"
109,t'Jacht,12-65,"('0', '0', '0', '0')","('0', '0', '0', '0')"
110,Erabinus,12-66,"('0', '0', '0', '0')","('0', '0', '0', '0')"
111,ende,12-67,"('0', '0', '0', '0')","('0', '0', '0', '0')"
112,t'Schip,12-68,"('0', '0', '0', '0')","('0', '0', '0', '0')"
113,de,12-69,"('0', '0', '0', '0')","('0', '0', '0', '0')"
114,Vreede,12-70,"('0', '0', '0', '0')","('0', '0', '0', '0')"
115,t'samen,12-71,"('0', '0', '0', '0')","('0', '0', '0', '0')"
116,geladen,12-72,"('0', '0', '0', '0')","('0', '0', '0', '0')"
117,met,12-73,"('0', '0', '0', '0')","('0', '0', '0', '0')"
118,840,12-74,"('0', 'isOfType', '0', '0')","('0', 0, '0', '0')"
119,.,12-75,"('0', 'isOfType', '0', '0')","('0', 0, '0', '0')"
120,pica,12-76,"('0', 'isOfType', '0', '0')","('0', 0, '0', '0')"
121,rouwe,12-77,"('0', 'isOfType', '0', '0')","('0', 0, '0', '0')"
122,Chineesche,12-78,"('0', 'isOfType', '0', '0')","('0', 0, '0', '0')"
123,sijde,12-79,"('0', 'isOfType', '0', '0')","('0', 0, '0', '0')"
124,",",12-80,"('0', 'isOfType', '0', '0')","('0', 0, '0', '0')"
125,ende,12-81,"('0', 'isOfType', '0', '0')","('0', 0, '0', '0')"
126,332,12-82,"('0', 'isOfType', '0', '0')","('0', 0, '0', '0')"
127,xxi0,12-83,"('0', 'isOfType', '0', '0')","('0', 0, '0', '0')"
130,.,12-84,"('0', 'isOfType', '0', '0')","('0', 0, '0', '0')"
131,copter,12-85,"('0', 'isOfType', '0', '0')","('0', 0, '0', '0')"
132,.,12-86,"('0', '0', '0', '0')","('0', '0', '0', '0')"
133,e.,12-87,"('0', '0', '0', '0')","('0', '0', '0', '0')"
134,e,12-88,"('0', '0', '0', '0')","('0', '0', '0', '0')"
135,e,12-89,"('0', '0', '0', '0')","('0', '0', '0', '0')"
136,Op,12-90,"('0', '0', '0', '0')","('0', '0', '0', '0')"
137,d'aencompete,12-91,"('evokes', '0', '0', '0')","('Arriving', '0', '0', '0')"
138,gemelter,12-92,"('0', '0', '0', '0')","('0', '0', '0', '0')"
139,Schepen,12-93,"('0', '0', '0', '0')","('0', '0', '0', '0')"
140,hebben,12-94,"('0', '0', '0', '0')","('0', '0', '0', '0')"
141,",",12-95,"('0', '0', '0', '0')","('0', '0', '0', '0')"
142,dadelijck,12-96,"('0', '0', '0', '0')","('0', '0', '0', '0')"
143,met,12-97,"('0', '0', '0', '0')","('0', '0', '0', '0')"
144,den,12-98,"('0', '0', '0', '0')","('0', '0', '0', '0')"
145,Raedt,12-99,"('0', '0', '0', '0')","('0', '0', '0', '0')"
146,ouerleijdt,12-100,"('0', '0', '0', 'isOfType')","('0', '0', '0', 'SocialInteraction')"
147,",",12-101,"('0', '0', '0', '0')","('0', '0', '0', '0')"
148,off,12-102,"('0', '0', '0', '0')","('0', '0', '0', '0')"
149,niet,12-103,"('0', '0', '0', '0')","('0', '0', '0', '0')"
150,oorbaer,12-104,"('0', '0', '0', '0')","('0', '0', '0', '0')"
151,ende,12-105,"('0', '0', '0', '0')","('0', '0', '0', '0')"
152,raedtsaem,12-106,"('0', '0', '0', '0')","('0', '0', '0', '0')"
153,soude,12-107,"('0', '0', '0', '0')","('0', '0', '0', '0')"
154,wesen,12-108,"('0', '0', '0', '0')","('0', '0', '0', '0')"
155,",",12-109,"('0', '0', '0', '0')","('0', '0', '0', '0')"
156,noch,12-110,"('0', '0', '0', '0')","('0', '0', '0', '0')"
157,een,12-111,"('0', '0', '0', '0')","('0', '0', '0', '0')"
158,Schap,12-112,"('0', '0', '0', '0')","('0', '0', '0', '0')"
159,met,12-113,"('0', '0', '0', '0')","('0', '0', '0', '0')"
160,partije,12-114,"('0', '0', '0', '0')","('0', '0', '0', '0')"
161,sijde,12-115,"('0', '0', '0', '0')","('0', '0', '0', '0')"
162,",",12-116,"('0', '0', '0', '0')","('0', '0', '0', '0')"
163,beneffens,12-117,"('0', '0', '0', '0')","('0', '0', '0', '0')"
164,de,12-118,"('0', '0', '0', '0')","('0', '0', '0', '0')"
165,becomene,12-119,"('0', '0', '0', '0')","('0', '0', '0', '0')"
166,aduijsen,12-120,"('0', '0', '0', '0')","('0', '0', '0', '0')"
167,van,12-121,"('0', '0', '0', '0')","('0', '0', '0', '0')"
168,Teijouhan,12-122,"('0', '0', '0', '0')","('0', '0', '0', '0')"
169,",",12-123,"('0', '0', '0', '0')","('0', '0', '0', '0')"
170,ende,12-124,"('0', '0', '0', '0')","('0', '0', '0', '0')"
171,—,12-125,"('0', '0', '0', '0')","('0', '0', '0', '0')"
172,Japan,12-126,"('0', '0', '0', '0')","('0', '0', '0', '0')"
173,",",12-127,"('0', '0', '0', '0')","('0', '0', '0', '0')"
174,opt,12-128,"('0', '0', '0', '0')","('0', '0', '0', '0')"
175,',12-129,"('0', '0', '0', '0')","('0', '0', '0', '0')"
176,spoedichste,12-130,"('0', '0', '0', '0')","('0', '0', '0', '0')"
177,de,12-131,"('0', '0', '0', '0')","('0', '0', '0', '0')"
178,bouen,12-132,"('0', '0', '0', '0')","('0', '0', '0', '0')"
179,gemelte,12-133,"('0', '0', '0', '0')","('0', '0', '0', '0')"
180,Vloote,12-134,"('0', '0', '0', '0')","('0', '0', '0', '0')"
181,nae,12-135,"('isOfType', 'isOfType', 'isOfType', '0')","('Transportation', 'Voyage', 'Transportation', '0')"
182,te,12-136,"('isOfType', 'isOfType', 'isOfType', '0')","('Transportation', 'Voyage', 'Transportation', '0')"
183,seijnden,12-137,"('isOfType', 'isOfType', 'isOfType', 'isOfType')","('Transportation', 'Voyage', 'Transportation', 'Transportation')"
184,",",12-138,"('0', '0', '0', '0')","('0', '0', '0', '0')"
185,om,12-139,"('0', '0', '0', '0')","('0', '0', '0', '0')"
186,deselue,12-140,"('0', '0', '0', '0')","('0', '0', '0', '0')"
187,noch,12-141,"('0', '0', '0', '0')","('0', '0', '0', '0')"
188,t'sij,12-142,"('0', '0', '0', '0')","('0', '0', '0', '0')"
189,dan,12-143,"('0', '0', '0', '0')","('0', '0', '0', '0')"
190,aende,12-144,"('0', '0', '0', '0')","('0', '0', '0', '0')"
191,Cabo,12-145,"('0', '0', '0', '0')","('0', '0', '0', '0')"
192,ofte,12-146,"('0', '0', '0', '0')","('0', '0', '0', '0')"
193,St.,12-147,"('0', '0', '0', '0')","('0', '0', '0', '0')"
194,Sdelena,12-148,"('0', '0', '0', '0')","('0', '0', '0', '0')"
195,te,12-149,"('0', '0', '0', '0')","('0', '0', '0', '0')"
196,mogen,12-150,"('0', '0', '0', '0')","('0', '0', '0', '0')"
197,beloopen,12-151,"('isOfType', '0', 'isOfType', '0')","('Arriving', '0', 'TransLocation', '0')"
198,.,12-152,"('0', '0', '0', '0')","('0', '0', '0', '0')"
199,&,12-153,"('0', '0', '0', '0')","('0', '0', '0', '0')"
200,Waerop,12-154,"('0', '0', '0', '0')","('0', '0', '0', '0')"
201,aen,12-155,"('0', '0', '0', '0')","('0', '0', '0', '0')"
202,d‛een,12-156,"('0', '0', '0', '0')","('0', '0', '0', '0')"
203,sijde,12-157,"('0', '0', '0', '0')","('0', '0', '0', '0')"
204,Ingesien,12-158,"('0', '0', '0', '0')","('0', '0', '0', '0')"
205,sijnde,12-159,"('0', '0', '0', '0')","('0', '0', '0', '0')"
206,",",12-160,"('0', '0', '0', '0')","('0', '0', '0', '0')"
207,hoe,12-161,"('0', '0', '0', '0')","('0', '0', '0', '0')"
208,voor,12-162,"('0', '0', '0', '0')","('0', '0', '0', '0')"
209,t'verloop,12-163,"('0', '0', '0', '0')","('0', '0', '0', '0')"
210,vanden,12-164,"('0', '0', '0', '0')","('0', '0', '0', '0')"
211,gelimiteerden,12-165,"('0', '0', '0', '0')","('0', '0', '0', '0')"
212,tijdt,12-166,"('0', '0', '0', '0')","('0', '0', '0', '0')"
213,op,12-167,"('0', '0', '0', '0')","('0', '0', '0', '0')"
214,d'affvaerdinge,12-168,"(0, 'isOfType', '0', '0')","('Transportation', 'Leaving', '0', '0')"
215,der,12-169,"('0', '0', '0', '0')","('0', '0', '0', '0')"
216,Retour,12-170,"('0', '0', '0', '0')","('0', '0', '0', '0')"
217,Schepen,12-171,"('0', '0', '0', '0')","('0', '0', '0', '0')"
218,naer,12-172,"('0', '0', '0', '0')","('0', '0', '0', '0')"
219,t,12-173,"('0', '0', '0', '0')","('0', '0', '0', '0')"
220,',12-174,"('0', '0', '0', '0')","('0', '0', '0', '0')"
221,Naderslandt,12-175,"('0', '0', '0', '0')","('0', '0', '0', '0')"
222,",",12-176,"('0', '0', '0', '0')","('0', '0', '0', '0')"
223,(,12-177,"('0', '0', '0', '0')","('0', '0', '0', '0')"
224,achtervolgende,12-178,"('0', '0', '0', '0')","('0', '0', '0', '0')"
225,V,12-179,"('0', '0', '0', '0')","('0', '0', '0', '0')"
226,Ed,12-180,"('0', '0', '0', '0')","('0', '0', '0', '0')"
227,:,12-181,"('0', '0', '0', '0')","('0', '0', '0', '0')"
228,aduisen,12-182,"('0', '0', '0', '0')","('0', '0', '0', '0')"
229,met,12-183,"('0', '0', '0', '0')","('0', '0', '0', '0')"
230,Bollandia,12-184,"('0', '0', '0', '0')","('0', '0', '0', '0')"
231,Jongst,12-185,"('0', '0', '0', '0')","('0', '0', '0', '0')"
232,van,12-186,"('0', '0', '0', '0')","('0', '0', '0', '0')"
233,daer,12-187,"('0', '0', '0', '0')","('0', '0', '0', '0')"
234,becomen,12-188,"('0', 'isOfType', '0', '0')","('0', 'Arriving', '0', '0')"
235,niet,12-189,"('0', '0', '0', '0')","('0', '0', '0', '0')"
236,wel,12-190,"('0', '0', '0', '0')","('0', '0', '0', '0')"
237,doenlijck,12-191,"('0', '0', '0', '0')","('0', '0', '0', '0')"
238,soude,12-192,"('0', '0', '0', '0')","('0', '0', '0', '0')"
239,sijn,12-193,"('0', '0', '0', '0')","('0', '0', '0', '0')"
240,een,12-194,"('0', '0', '0', '0')","('0', '0', '0', '0')"
241,Schip,12-195,"('0', '0', '0', '0')","('0', '0', '0', '0')"
242,tot,12-196,"('0', '0', '0', '0')","('0', '0', '0', '0')"
243,gemelte,12-197,"('0', '0', '0', '0')","('0', '0', '0', '0')"
244,Voijagie,12-198,"('0', 'isOfType', 'evokes', '0')","('0', 'Voyage', 'Voyage', '0')"
245,seijl,12-199,"('isOfType', '0', '0', '0')","('Repairing', '0', '0', '0')"
246,reedt,12-200,"('isOfType', '0', '0', '0')","('Repairing', '0', '0', '0')"
247,te,12-201,"('isOfType', '0', '0', '0')","('Repairing', '0', '0', '0')"
248,crijgen,12-202,"('isOfType', '0', '0', '0')","('Repairing', '0', '0', '0')"
249,;,12-203,"('0', '0', '0', '0')","('0', '0', '0', '0')"
250,daer,12-204,"('0', '0', '0', '0')","('0', '0', '0', '0')"
251,beneffens,12-205,"('0', '0', '0', '0')","('0', '0', '0', '0')"
252,dat,12-206,"('0', '0', '0', '0')","('0', '0', '0', '0')"
253,Jegenwoordich,12-207,"('0', '0', '0', '0')","('0', '0', '0', '0')"
254,geen,12-208,"('0', '0', '0', '0')","('0', '0', '0', '0')"
255,andere,12-209,"('0', '0', '0', '0')","('0', '0', '0', '0')"
256,RetourSchepen,12-210,"('0', '0', '0', '0')","('0', '0', '0', '0')"
258,bijder,12-211,"('0', '0', '0', '0')","('0', '0', '0', '0')"
259,handt,12-212,"('0', '0', '0', '0')","('0', '0', '0', '0')"
260,hebben,12-213,"('0', '0', '0', '0')","('0', '0', '0', '0')"
261,als,12-214,"('0', '0', '0', '0')","('0', '0', '0', '0')"
262,Vianen,12-215,"('0', '0', '0', '0')","('0', '0', '0', '0')"
263,ende,12-216,"('0', '0', '0', '0')","('0', '0', '0', '0')"
264,t'wapen,12-217,"('0', '0', '0', '0')","('0', '0', '0', '0')"
265,van,12-218,"('0', '0', '0', '0')","('0', '0', '0', '0')"
266,Boorn,12-219,"('0', '0', '0', '0')","('0', '0', '0', '0')"
267,",",12-220,"('0', '0', '0', '0')","('0', '0', '0', '0')"
268,alleen,12-221,"('0', '0', '0', '0')","('0', '0', '0', '0')"
269,",",12-222,"('0', '0', '0', '0')","('0', '0', '0', '0')"
270,behaluen,12-223,"('0', '0', '0', '0')","('0', '0', '0', '0')"
271,dat,12-224,"('0', '0', '0', '0')","('0', '0', '0', '0')"
272,van,12-225,"('0', '0', '0', '0')","('0', '0', '0', '0')"
273,t'wapens,12-226,"('0', '0', '0', '0')","('0', '0', '0', '0')"
274,suffirante,12-227,"('0', '0', '0', '0')","('0', '0', '0', '0')"
275,tot,12-228,"('0', '0', '0', '0')","('0', '0', '0', '0')"
276,t,12-229,"('0', '0', '0', '0')","('0', '0', '0', '0')"
277,',12-230,"('0', '0', '0', '0')","('0', '0', '0', '0')"
278,Voijagie,12-231,"('0', 'isOfType', 'evokes', '0')","('0', 'Voyage', 'Voyage', '0')"
279,nae,12-232,"('0', '0', '0', '0')","('0', '0', '0', '0')"
280,tvaderblandt,12-233,"('0', '0', '0', '0')","('0', '0', '0', '0')"
282,seer,12-234,"('0', '0', '0', '0')","('0', '0', '0', '0')"
283,getwijffelt,12-235,"('0', '0', '0', '0')","('0', '0', '0', '0')"
284,werdt,12-236,"('0', '0', '0', '0')","('0', '0', '0', '0')"
285,.,12-237,"('0', '0', '0', '0')","('0', '0', '0', '0')"
286,Item,12-238,"('0', '0', '0', '0')","('0', '0', '0', '0')"
287,dat,12-239,"('0', '0', '0', '0')","('0', '0', '0', '0')"
288,Jegenwoordich,12-240,"('0', '0', '0', '0')","('0', '0', '0', '0')"
289,ouer,12-241,"('0', '0', '0', '0')","('0', '0', '0', '0')"
290,Gants,12-242,"('0', '0', '0', '0')","('0', '0', '0', '0')"
291,Jndia,12-243,"('0', '0', '0', '0')","('0', '0', '0', '0')"
292,seer,12-244,"('isOfType', '0', '0', '0')","('QuantityChange', '0', '0', '0')"
293,schaers,12-245,"('isOfType', '0', '0', '0')","('QuantityChange', '0', '0', '0')"
294,van,12-246,"('0', '0', '0', '0')","('0', '0', '0', '0')"
295,Varend,12-247,"('0', '0', '0', '0')","('0', '0', '0', '0')"
296,',12-248,"('0', '0', '0', '0')","('0', '0', '0', '0')"
297,volck,12-249,"('0', '0', '0', '0')","('0', '0', '0', '0')"
298,voorsien,12-250,"('0', 'isOfType', '0', '0')","('0', 'BeingAtAPlace', '0', '0')"
299,",",12-251,"('0', 'isOfType', '0', '0')","('0', 'BeingAtAPlace', '0', '0')"
300,sijn,12-252,"('0', 'isOfType', '0', '0')","('0', 'BeingAtAPlace', '0', '0')"
301,.,12-253,"('0', '0', '0', '0')","('0', '0', '0', '0')"
302,Ende,12-254,"('0', '0', '0', '0')","('0', '0', '0', '0')"
303,sal,12-255,"('0', '0', '0', '0')","('0', '0', '0', '0')"
304,men,12-256,"('0', '0', '0', '0')","('0', '0', '0', '0')"
305,d'ordinarij,12-257,"('0', '0', '0', '0')","('0', '0', '0', '0')"
306,handel,12-258,"('0', '0', '0', '0')","('0', '0', '0', '0')"
307,plaetsen,12-259,"('0', '0', '0', '0')","('0', '0', '0', '0')"
308,naer,12-260,"('0', '0', '0', '0')","('0', '0', '0', '0')"
309,behooren,12-261,"('0', '0', '0', '0')","('0', '0', '0', '0')"
310,waernemen,12-262,"('0', '0', '0', '0')","('0', '0', '0', '0')"
311,",",12-263,"('0', '0', '0', '0')","('0', '0', '0', '0')"
312,het,12-264,"('0', '0', '0', '0')","('0', '0', '0', '0')"
313,sober,12-265,"('0', '0', '0', '0')","('0', '0', '0', '0')"
314,getal,12-266,"('0', '0', '0', '0')","('0', '0', '0', '0')"
315,vandien,12-267,"('0', '0', '0', '0')","('0', '0', '0', '0')"
316,niet,12-268,"('0', '0', '0', '0')","('0', '0', '0', '0')"
317,meer,12-269,"('0', '0', '0', '0')","('0', '0', '0', '0')"
318,dient,12-270,"('0', '0', '0', '0')","('0', '0', '0', '0')"
319,te,12-271,"('0', '0', '0', '0')","('0', '0', '0', '0')"
320,attenueren,12-272,"('isOfType', '0', '0', '0')","('QuantityChange', '0', '0', '0')"
321,;,12-273,"('0', '0', '0', '0')","('0', '0', '0', '0')"
322,Noch,12-274,"('0', '0', '0', '0')","('0', '0', '0', '0')"
323,principal,12-275,"('0', '0', '0', '0')","('0', '0', '0', '0')"
324,ende,12-276,"('0', '0', '0', '0')","('0', '0', '0', '0')"
325,bouen,12-277,"('0', '0', '0', '0')","('0', '0', '0', '0')"
326,al,12-278,"('0', '0', '0', '0')","('0', '0', '0', '0')"
327,",",12-279,"('0', '0', '0', '0')","('0', '0', '0', '0')"
328,dat,12-280,"('0', '0', '0', '0')","('0', '0', '0', '0')"
329,men,12-281,"('0', '0', '0', '0')","('0', '0', '0', '0')"
330,vreest,12-282,"('0', '0', '0', '0')","('0', '0', '0', '0')"
331,v.,12-283,"('0', '0', '0', '0')","('0', '0', '0', '0')"
332,Ed,12-284,"('0', '0', '0', '0')","('0', '0', '0', '0')"
333,:,12-285,"('0', '0', '0', '0')","('0', '0', '0', '0')"
334,ordre,12-286,"('0', '0', '0', '0')","('0', '0', '0', '0')"
335,van,12-287,"('0', '0', '0', '0')","('0', '0', '0', '0')"
336,ter,12-288,"('0', '0', '0', '0')","('0', '0', '0', '0')"
337,bequamer,12-289,"('0', '0', '0', '0')","('0', '0', '0', '0')"
338,tijt,12-290,"('0', '0', '0', '0')","('0', '0', '0', '0')"
339,op,12-291,"('0', '0', '0', '0')","('0', '0', '0', '0')"
340,onse,12-292,"('0', '0', '0', '0')","('0', '0', '0', '0')"
341,Landen,12-293,"('0', '0', '0', '0')","('0', '0', '0', '0')"
342,comende,12-294,"('0', '0', '0', '0')","('0', '0', '0', '0')"
343,",",12-295,"('0', '0', '0', '0')","('0', '0', '0', '0')"
344,achter,12-296,"('0', '0', '0', '0')","('0', '0', '0', '0')"
345,Engelandt,12-297,"('0', '0', '0', '0')","('0', '0', '0', '0')"
346,",",12-298,"('0', '0', '0', '0')","('0', '0', '0', '0')"
347,om,12-299,"('isOfType', '0', '0', '0')","('Voyage', '0', '0', '0')"
348,te,12-300,"('isOfType', '0', '0', '0')","('Voyage', '0', '0', '0')"
349,loopen,12-301,"('isOfType', '0', '0', '0')","('Voyage', '0', '0', '0')"
350,",",12-302,"('0', '0', '0', '0')","('0', '0', '0', '0')"
351,door,12-303,"('0', '0', '0', '0')","('0', '0', '0', '0')"
352,de,12-304,"('0', '0', '0', '0')","('0', '0', '0', '0')"
353,moetwil,12-305,"('0', '0', '0', 'evokes')","('0', '0', '0', 'Uprising')"
354,ende,12-306,"('0', '0', '0', 'evokes')","('0', '0', '0', 'Uprising')"
355,rebellije,12-307,"('evokes', 'isOfType', '0', 'evokes')","('Mutiny', 'Riot', '0', 'Uprising')"
356,van't,12-308,"('0', '0', '0', '0')","('0', '0', '0', '0')"
357,Scheepsvolck,12-309,"('0', '0', '0', '0')","('0', '0', '0', '0')"
358,(,12-310,"('0', '0', '0', '0')","('0', '0', '0', '0')"
359,welck,12-311,"('0', '0', '0', '0')","('0', '0', '0', '0')"
360,gemeenl,12-312,"('0', '0', '0', '0')","('0', '0', '0', '0')"
361,op,12-313,"('0', '0', '0', '0')","('0', '0', '0', '0')"
362,de,12-314,"('evokes', '0', '0', '0')","('Voyage', '0', '0', '0')"
363,thuijs-reijse,12-315,"('evokes', '0', 'evokes', '0')","('Voyage', '0', 'Voyage', '0')"
364,de,12-316,"('0', '0', '0', '0')","('0', '0', '0', '0')"
