,Unnamed: 0,mention,anchor_type,mention_token_id,mention_character_id,eventclass,Patient_offsets,Agent_offsets,Location_offsets,Time_offsets,AgentPatient_offsets,Benefactive_offsets,Cargo_offsets,Source_offsets,Target_offsets,Path_offsets,Instrument_offsets,mention_span,mention_span_ids,mention_in_context,eventclass_no_number,last_token_id
10,10,aan,isOfType,5-52,1045-1048,HavingInPossession[152],['5-48'],['5-46'],,,,,,,,,,aan harden hebben,"['5-52', '5-53', '6-1']","rheede durf vertrouwen , en daar toe zien wij geen mogelijkheid , Vermits wij geen scheepen tot den afhaal [ aan harden hebben ] en Wanneer Wij dezelve ook hadden , zonden ze dog zonder een goed konvooij niet gewaagd Worden ,",HavingInPossession,6-1
11,11,harden,isOfType,5-53,1049-1055,HavingInPossession[152],['5-48'],['5-46'],,,,,,,,,,aan harden hebben,"['5-52', '5-53', '6-1']","rheede durf vertrouwen , en daar toe zien wij geen mogelijkheid , Vermits wij geen scheepen tot den afhaal [ aan harden hebben ] en Wanneer Wij dezelve ook hadden , zonden ze dog zonder een goed konvooij niet gewaagd Worden ,",HavingInPossession,6-1
12,12,hebben,isOfType,6-1,1056-1062,HavingInPossession[152],['5-48'],['5-46'],,,,,,,,,,aan harden hebben,"['5-52', '5-53', '6-1']","rheede durf vertrouwen , en daar toe zien wij geen mogelijkheid , Vermits wij geen scheepen tot den afhaal [ aan harden hebben ] en Wanneer Wij dezelve ook hadden , zonden ze dog zonder een goed konvooij niet gewaagd Worden ,",HavingInPossession,6-1
13,13,hadden,isOfType,6-7,1090-1096,HavingInPossession,['6-5'],['6-4'],,['6-3'],,,,,,,,hadden,['6-7'],"wij geen mogelijkheid , Vermits wij geen scheepen tot den afhaal aan harden hebben en Wanneer Wij dezelve ook [ hadden ] , zonden ze dog zonder een goed konvooij niet gewaagd Worden , Wijl de Bombaijsche fregatten nog bestendig op de",HavingInPossession,6-7
14,14,konvooij,evokes,6-15,1128-1136,Translocation,['6-10'],,,,,,,,,,['6-15'],konvooij,['6-15'],"tot den afhaal aan harden hebben en Wanneer Wij dezelve ook hadden , zonden ze dog zonder een goed [ konvooij ] niet gewaagd Worden , Wijl de Bombaijsche fregatten nog bestendig op de hoogte van koetsjien kruissen . Wat er te",Translocation,6-15
15,15,kruissen,isOfType,6-31,1229-1237,BeingAtAPlace,['6-21'],,['6-26'],,,,,,,,,kruissen,['6-31'],"zonder een goed konvooij niet gewaagd Worden , Wijl de Bombaijsche fregatten nog bestendig op de hoogte van koetsjien [ kruissen ] . Wat er te gen de opere Vaart / : die niet Voor half Oktober gerekend mag Worden:/ op Mallabaar",BeingAtAPlace,6-31
16,16,Vaart,isOfType,6-39,1262-1267,Voyage,,,,,,,,,,,,Vaart,['6-39'],"Wijl de Bombaijsche fregatten nog bestendig op de hoogte van koetsjien kruissen . Wat er te gen de opere [ Vaart ] / : die niet Voor half Oktober gerekend mag Worden:/ op Mallabaar Voorvallen kan , mogen wij niet gissen ,",Voyage,6-39
17,17,kreegen,isOfType,6-68,1424-1431,Getting,['6-64'],['6-62'],,,,,,,,,,kreegen,['6-68'],"Worden:/ op Mallabaar Voorvallen kan , mogen wij niet gissen , en zoo Wij deeze zelkonder- lasten Mallabaers rijst [ kreegen ] , bij de geeischte Javasche , zoude onze Voorraad naar maatig zijn , Wijl de Fransche Vloot zeken on rijst",Getting,6-68
18,18,geeischte,isOfType,6-72,1440-1449,Request,,,,,,,,,,,,geeischte,['6-72'],"kan , mogen wij niet gissen , en zoo Wij deeze zelkonder- lasten Mallabaers rijst kreegen , bij de [ geeischte ] Javasche , zoude onze Voorraad naar maatig zijn , Wijl de Fransche Vloot zeken on rijst zal vraagen , en",Request,6-72
19,19,Voorraad,evokes,6-77,1471-1479,HavingInPossession,,,,,,,,,,,,Voorraad,['6-77'],"gissen , en zoo Wij deeze zelkonder- lasten Mallabaers rijst kreegen , bij de geeischte Javasche , zoude onze [ Voorraad ] naar maatig zijn , Wijl de Fransche Vloot zeken on rijst zal vraagen , en de gemeente geen aanvoer uit",HavingInPossession,6-77
20,20,vraagen,isOfType,6-90,1540-1547,Request,,['6-83'],,,,,,,,,,vraagen,['6-90'],"de geeischte Javasche , zoude onze Voorraad naar maatig zijn , Wijl de Fransche Vloot zeken on rijst zal [ vraagen ] , en de gemeente geen aanvoer uit Boengaale hoopen kan . Om deeze reedenen verzoeken Wij Uwe Hoog Edelheeden nogmaals",Request,6-90
21,21,aanvoer,isOfType,6-96,1569-1576,Transportation,,,,,,,,['6-98'],['6-93'],,,aanvoer,['6-96'],"Voorraad naar maatig zijn , Wijl de Fransche Vloot zeken on rijst zal vraagen , en de gemeente geen [ aanvoer ] uit Boengaale hoopen kan . Om deeze reedenen verzoeken Wij Uwe Hoog Edelheeden nogmaals op het ootmoedigste , om onzer",Transportation,6-96
22,22,verzoeken,isOfType,6-105,1621-1630,Request,['6-107'],['6-106'],,,,,,,,,,verzoeken,['6-105'],"zeken on rijst zal vraagen , en de gemeente geen aanvoer uit Boengaale hoopen kan . Om deeze reedenen [ verzoeken ] Wij Uwe Hoog Edelheeden nogmaals op het ootmoedigste , om onzer voormelden Eisch kompleet te Willen voldoen , Wijl wij",Request,6-105
23,23,Eisch,evokes,6-118,1705-1710,Request,,,,,,,,,,,,Eisch,['6-118'],"hoopen kan . Om deeze reedenen verzoeken Wij Uwe Hoog Edelheeden nogmaals op het ootmoedigste , om onzer voormelden [ Eisch ] kompleet te Willen voldoen , Wijl wij andersints in een indoorkonelijke Verleegerheid zouden VerVallen . Een schip Voor Gale en",Request,6-118
24,24,Verleegerheid,evokes,6-130,1782-1795,SocialStatusChange[153],['6-125'],['6-107'],,,,,,,,,,Verleegerheid zouden VerVallen,"['6-130', '6-131', '6-132']","op het ootmoedigste , om onzer voormelden Eisch kompleet te Willen voldoen , Wijl wij andersints in een indoorkonelijke [ Verleegerheid zouden VerVallen ] . Een schip Voor Gale en een Voor Kolombo , zouden in Juri dienen te Vertrekken , om",SocialStatusChange,6-132
25,25,zouden,evokes,6-131,1796-1802,SocialStatusChange[153],['6-125'],['6-107'],,,,,,,,,,Verleegerheid zouden VerVallen,"['6-130', '6-131', '6-132']","op het ootmoedigste , om onzer voormelden Eisch kompleet te Willen voldoen , Wijl wij andersints in een indoorkonelijke [ Verleegerheid zouden VerVallen ] . Een schip Voor Gale en een Voor Kolombo , zouden in Juri dienen te Vertrekken , om",SocialStatusChange,6-132
26,26,VerVallen,evokes,6-132,1803-1812,SocialStatusChange[153],['6-125'],['6-107'],,,,,,,,,,Verleegerheid zouden VerVallen,"['6-130', '6-131', '6-132']","op het ootmoedigste , om onzer voormelden Eisch kompleet te Willen voldoen , Wijl wij andersints in een indoorkonelijke [ Verleegerheid zouden VerVallen ] . Een schip Voor Gale en een Voor Kolombo , zouden in Juri dienen te Vertrekken , om",SocialStatusChange,6-132
27,27,Vertrekken,isOfType,6-148,1880-1890,Leaving[154]|Leaving[155],,,,"['6-145|6-139', '6-145']",,,,,"['6-137', '6-141']",,"['6-134', '6-145|6-139']",Vertrekken,['6-148'],"indoorkonelijke Verleegerheid zouden VerVallen . Een schip Voor Gale en een Voor Kolombo , zouden in Juri dienen te [ Vertrekken ] , om tijding in Augustus hier te weezen zij komen bewesten de Maldivos en mag de reize dus op niet",Leaving,6-148
28,28,te,isOfType,6-155,1920-1922,BeingAtAPlace[156],"['6-139', '6-134']",,['6-154'],['6-153'],,,,,,,,te weezen,"['6-155', '6-156']","Voor Gale en een Voor Kolombo , zouden in Juri dienen te Vertrekken , om tijding in Augustus hier [ te weezen ] zij komen bewesten de Maldivos en mag de reize dus op niet minder dan twee maanden bereekend Worden .",BeingAtAPlace,6-156
29,29,weezen,isOfType,6-156,1923-1929,BeingAtAPlace[156],"['6-139', '6-134']",,['6-154'],['6-153'],,,,,,,,te weezen,"['6-155', '6-156']","Voor Gale en een Voor Kolombo , zouden in Juri dienen te Vertrekken , om tijding in Augustus hier [ te weezen ] zij komen bewesten de Maldivos en mag de reize dus op niet minder dan twee maanden bereekend Worden .",BeingAtAPlace,6-156
30,30,komen,isOfType,6-158,1934-1939,Arriving,,['6-157'],,,,,,,['6-159'],,,komen,['6-158'],"een Voor Kolombo , zouden in Juri dienen te Vertrekken , om tijding in Augustus hier te weezen zij [ komen ] bewesten de Maldivos en mag de reize dus op niet minder dan twee maanden bereekend Worden . Wanneer UWe Hoogedelheeden",Arriving,6-158
31,31,reize,isOfType,6-165,1971-1976,Voyage,,,,,,,,,['6-154'],,"['6-139', '6-134']",reize,['6-165'],"dienen te Vertrekken , om tijding in Augustus hier te weezen zij komen bewesten de Maldivos en mag de [ reize ] dus op niet minder dan twee maanden bereekend Worden . Wanneer UWe Hoogedelheeden , gelijk doorgaans , groote scheepen tot",Voyage,6-165
32,32,togt,isOfType,6-187,2104-2108,Voyage,,,,,,,,,,,['6-183'],togt,['6-187'],"niet minder dan twee maanden bereekend Worden . Wanneer UWe Hoogedelheeden , gelijk doorgaans , groote scheepen tot deezer [ togt ] uit kiezen , zal nog een derde niet alleen de gevraagde rijst , maar ook de overige goederen kunnen mede",Voyage,6-187
33,33,gevraagde,isOfType,6-198,2154-2163,Request,,,,,,,,,,,,gevraagde,['6-198'],", gelijk doorgaans , groote scheepen tot deezer togt uit kiezen , zal nog een derde niet alleen de [ gevraagde ] rijst , maar ook de overige goederen kunnen mede neemen , Vermits wij zo lang de oorlog duurt , op",Request,6-198
34,34,mede,isOfType,6-207,2207-2211,Transportation[157],"['6-197', '6-203']",,,,,,,,,,['6-193'],mede neemen,"['6-207', '6-208']","uit kiezen , zal nog een derde niet alleen de gevraagde rijst , maar ook de overige goederen kunnen [ mede neemen ] , Vermits wij zo lang de oorlog duurt , op geen onderlaag voor de retourscheepen denken mogen . Wij",Transportation,6-208
35,35,neemen,isOfType,6-208,2212-2218,Transportation[157],"['6-197', '6-203']",,,,,,,,,,['6-193'],mede neemen,"['6-207', '6-208']","uit kiezen , zal nog een derde niet alleen de gevraagde rijst , maar ook de overige goederen kunnen [ mede neemen ] , Vermits wij zo lang de oorlog duurt , op geen onderlaag voor de retourscheepen denken mogen . Wij",Transportation,6-208
36,36,oorlog,isOfType,6-215,2243-2249,BeingInConflict,,,,,,,,,,,,oorlog,['6-215'],"alleen de gevraagde rijst , maar ook de overige goederen kunnen mede neemen , Vermits wij zo lang de [ oorlog ] duurt , op geen onderlaag voor de retourscheepen denken mogen . Wij verzoeken dan , dat ook dit derde schip",BeingInConflict,6-215
37,37,onderlaag,isOfType,6-220,2265-2274,BeingDestroyed,['6-222'],,,,,,,,,,,onderlaag,['6-220'],"maar ook de overige goederen kunnen mede neemen , Vermits wij zo lang de oorlog duurt , op geen [ onderlaag ] voor de retourscheepen denken mogen . Wij verzoeken dan , dat ook dit derde schip de twee anderen spoedig volge",BeingDestroyed,6-220
38,38,retourscheepen,evokes,6-223,2283-2297,Voyage,,,,,,,,,,,['6-222'],retourscheepen,['6-223'],"overige goederen kunnen mede neemen , Vermits wij zo lang de oorlog duurt , op geen onderlaag voor de [ retourscheepen ] denken mogen . Wij verzoeken dan , dat ook dit derde schip de twee anderen spoedig volge , op dat",Voyage,6-223
39,39,verzoeken,isOfType,6-228,2316-2325,Request,,['6-227'],,,,,,,,,,verzoeken,['6-228'],", Vermits wij zo lang de oorlog duurt , op geen onderlaag voor de retourscheepen denken mogen . Wij [ verzoeken ] dan , dat ook dit derde schip de twee anderen spoedig volge , op dat het in september hier zij",Request,6-228
40,40,volge,evokes,6-240,2379-2384,Translocation[158]|Translocation[159],"['6-233', '6-236']",,,,,,,,['6-236'],,,volge,['6-240'],"voor de retourscheepen denken mogen . Wij verzoeken dan , dat ook dit derde schip de twee anderen spoedig [ volge ] , op dat het in september hier zij , Voor dat de goede Moesson Vijandelijke kruissers na deezer kant doe",Translocation,6-240
41,41,hier,isOfType,6-247,2410-2414,BeingAtAPlace[160],['6-233'],,['6-247'],['6-246'],,,,,,,,hier zij,"['6-247', '6-248']","verzoeken dan , dat ook dit derde schip de twee anderen spoedig volge , op dat het in september [ hier zij ] , Voor dat de goede Moesson Vijandelijke kruissers na deezer kant doe Verschijnen , en dat alle drie scheepen",BeingAtAPlace,6-248
42,42,zij,isOfType,6-248,2415-2418,BeingAtAPlace[160],['6-233'],,['6-247'],['6-246'],,,,,,,,hier zij,"['6-247', '6-248']","verzoeken dan , dat ook dit derde schip de twee anderen spoedig volge , op dat het in september [ hier zij ] , Voor dat de goede Moesson Vijandelijke kruissers na deezer kant doe Verschijnen , en dat alle drie scheepen",BeingAtAPlace,6-248
43,43,Vijandelijke,evokes,6-255,2446-2458,BeingInConflict,['6-256'],,,,,,,,,,,Vijandelijke,['6-255'],"de twee anderen spoedig volge , op dat het in september hier zij , Voor dat de goede Moesson [ Vijandelijke ] kruissers na deezer kant doe Verschijnen , en dat alle drie scheepen last krijgen om de Mallabaarsche kust , na",BeingInConflict,6-255
44,44,Verschijnen,isOfType,6-261,2488-2499,Arriving,,['6-255'],,,,,,,['6-258'],,,Verschijnen,['6-261'],"op dat het in september hier zij , Voor dat de goede Moesson Vijandelijke kruissers na deezer kant doe [ Verschijnen ] , en dat alle drie scheepen last krijgen om de Mallabaarsche kust , na dat zij het karaal tusschen de",Arriving,6-261
45,45,last,isOfType,6-268,2527-2531,BeingInConflict[161],"['6-265', '6-255']",,['6-270'],,,,,,,,,last krijgen,"['6-268', '6-269']",", Voor dat de goede Moesson Vijandelijke kruissers na deezer kant doe Verschijnen , en dat alle drie scheepen [ last krijgen ] om de Mallabaarsche kust , na dat zij het karaal tusschen de Maldivos en LakkeriVes doorgevaaren zijn , op",BeingInConflict,6-269
46,46,krijgen,isOfType,6-269,2532-2539,BeingInConflict[161],"['6-265', '6-255']",,['6-270'],,,,,,,,,last krijgen,"['6-268', '6-269']",", Voor dat de goede Moesson Vijandelijke kruissers na deezer kant doe Verschijnen , en dat alle drie scheepen [ last krijgen ] om de Mallabaarsche kust , na dat zij het karaal tusschen de Maldivos en LakkeriVes doorgevaaren zijn , op",BeingInConflict,6-269
47,47,doorgevaaren,isOfType,6-285,2623-2635,Translocation,['6-277'],,,,,,,,,['6-278'],,doorgevaaren,['6-285'],"drie scheepen last krijgen om de Mallabaarsche kust , na dat zij het karaal tusschen de Maldivos en LakkeriVes [ doorgevaaren ] zijn , op eene voorzigtige Wijze te Verkennen , en na „ de Ceilonsche Wal over te steeken , en",Translocation,6-285
48,48,Verkennen,evokes,6-293,2671-2680,Voyage,['6-277'],,,,,,,,,,,Verkennen,['6-293'],", na dat zij het karaal tusschen de Maldivos en LakkeriVes doorgevaaren zijn , op eene voorzigtige Wijze te [ Verkennen ] , en na „ de Ceilonsche Wal over te steeken , en dat de Engelschen bij Mannapaar zouden kunnen kruissers",Voyage,6-293
49,49,over,isOfType,7-4,2707-2711,Translocation[162],,,,,,,,,,['7-1'],,over te steeken,"['7-4', '7-5', '7-6']","Maldivos en LakkeriVes doorgevaaren zijn , op eene voorzigtige Wijze te Verkennen , en na „ de Ceilonsche Wal [ over te steeken ] , en dat de Engelschen bij Mannapaar zouden kunnen kruissers houden . De over heden Van beide schepen",Translocation,7-6
50,50,te,isOfType,7-5,2712-2714,Translocation[162],,,,,,,,,,['7-1'],,over te steeken,"['7-4', '7-5', '7-6']","Maldivos en LakkeriVes doorgevaaren zijn , op eene voorzigtige Wijze te Verkennen , en na „ de Ceilonsche Wal [ over te steeken ] , en dat de Engelschen bij Mannapaar zouden kunnen kruissers houden . De over heden Van beide schepen",Translocation,7-6
51,51,steeken,isOfType,7-6,2715-2722,Translocation[162],,,,,,,,,,['7-1'],,over te steeken,"['7-4', '7-5', '7-6']","Maldivos en LakkeriVes doorgevaaren zijn , op eene voorzigtige Wijze te Verkennen , en na „ de Ceilonsche Wal [ over te steeken ] , en dat de Engelschen bij Mannapaar zouden kunnen kruissers houden . De over heden Van beide schepen",Translocation,7-6
52,52,houden,isOfType,7-17,2783-2789,HavingInPossession,['7-16'],['7-11'],['7-13'],,,,,,,,,houden,['7-17'],"en na „ de Ceilonsche Wal over te steeken , en dat de Engelschen bij Mannapaar zouden kunnen kruissers [ houden ] . De over heden Van beide schepen , maar voor al Van 't geene Voor Gale gedestineerd is , Verzoeken",HavingInPossession,7-17
53,53,over,evokes,7-20,2794-2798,BeingLeader[163],['7-20'],,,,,,,,,,,over te steeken,"['7-4', '7-5', '7-6']","Maldivos en LakkeriVes doorgevaaren zijn , op eene voorzigtige Wijze te Verkennen , en na „ de Ceilonsche Wal [ over te steeken ] , en dat de Engelschen bij Mannapaar zouden kunnen kruissers houden . De over heden Van beide schepen",BeingLeader,7-6
54,54,heden,evokes,7-21,2799-2804,BeingLeader[163],['7-20'],,,,,,,,,,,heden,['7-21'],"Ceilonsche Wal over te steeken , en dat de Engelschen bij Mannapaar zouden kunnen kruissers houden . De over [ heden ] Van beide schepen , maar voor al Van 't geene Voor Gale gedestineerd is , Verzoeken wij boven des te",BeingLeader,7-21
55,55,gedestineerd,evokes,7-34,2860-2872,Translocation,,,,,,,,,['7-33'],,['7-30'],gedestineerd,['7-34'],"kunnen kruissers houden . De over heden Van beide schepen , maar voor al Van 't geene Voor Gale [ gedestineerd ] is , Verzoeken wij boven des te onderrigten , dat de stroomen in de Zuid moessen voor Gale zo hevig",Translocation,7-34
56,56,Verzoeken,isOfType,7-37,2877-2886,Request,['7-19'],['7-38'],,,,,,,,,,Verzoeken,['7-37'],". De over heden Van beide schepen , maar voor al Van 't geene Voor Gale gedestineerd is , [ Verzoeken ] wij boven des te onderrigten , dat de stroomen in de Zuid moessen voor Gale zo hevig om de Zuid",Request,7-37
57,57,is,isOfType,7-71,3044-3046,BeingAtAPlace,['7-62'],,['7-68'],,,,,,,,,is,['7-71'],"Gale zo hevig om de Zuid Oost looper , dat een schip 't Welk maar even beneeden de baai [ is ] , met geen mogelijkheid de haven bezeilen kan , en dat zij dus alle Voorzorgen moeten gebruiken , om boven",BeingAtAPlace,7-71
58,58,bezeilen,isOfType,7-78,3079-3087,Voyage,,,,,,,,,['7-76'],,['7-62'],bezeilen,['7-78'],"looper , dat een schip 't Welk maar even beneeden de baai is , met geen mogelijkheid de haven [ bezeilen ] kan , en dat zij dus alle Voorzorgen moeten gebruiken , om boven Wind en stroom van Gale te komen",Voyage,7-78
59,59,komen,isOfType,7-98,3178-3183,Arriving,,['7-62'],,,,,,,['7-91'],,,komen,['7-98'],"kan , en dat zij dus alle Voorzorgen moeten gebruiken , om boven Wind en stroom van Gale te [ komen ] , en daar of ten anker komen of het onder zeil houden , na dat de geleegenheid toelaat , tot",Arriving,7-98
60,60,anker,evokes,7-104,3200-3205,BeingAtAPlace,['7-62'],,['7-101'],,,,,,,,,anker,['7-104'],"alle Voorzorgen moeten gebruiken , om boven Wind en stroom van Gale te komen , en daar of ten [ anker ] komen of het onder zeil houden , na dat de geleegenheid toelaat , tot een loots buiten komt om hen",BeingAtAPlace,7-104
61,61,onder,evokes,7-108,3219-3224,Voyage[164],,,,,,,,,,,['7-62'],onder zeil houden,"['7-108', '7-109', '7-110']",", om boven Wind en stroom van Gale te komen , en daar of ten anker komen of het [ onder zeil houden ] , na dat de geleegenheid toelaat , tot een loots buiten komt om hen binnen de haven te",Voyage,7-110
62,62,zeil,evokes,7-109,3225-3229,Voyage[164],,,,,,,,,,,['7-62'],onder zeil houden,"['7-108', '7-109', '7-110']",", om boven Wind en stroom van Gale te komen , en daar of ten anker komen of het [ onder zeil houden ] , na dat de geleegenheid toelaat , tot een loots buiten komt om hen binnen de haven te",Voyage,7-110
63,63,houden,evokes,7-110,3230-3236,Voyage[164],,,,,,,,,,,['7-62'],onder zeil houden,"['7-108', '7-109', '7-110']",", om boven Wind en stroom van Gale te komen , en daar of ten anker komen of het [ onder zeil houden ] , na dat de geleegenheid toelaat , tot een loots buiten komt om hen binnen de haven te",Voyage,7-110
64,64,komt,isOfType,7-122,3291-3295,Arriving,,['7-119'],,,,,,,['7-121'],,,komt,['7-122'],"ten anker komen of het onder zeil houden , na dat de geleegenheid toelaat , tot een loots buiten [ komt ] om hen binnen de haven te brengen ; en dat , indier zij tegen alle hunne gebruikte Voorzorgen beneden de",Arriving,7-122
65,65,brengen,isOfType,7-129,3322-3329,Translocation,['7-124'],,,,,,,['7-121'],['7-125'],,['7-119'],brengen,['7-129'],"houden , na dat de geleegenheid toelaat , tot een loots buiten komt om hen binnen de haven te [ brengen ] ; en dat , indier zij tegen alle hunne gebruikte Voorzorgen beneden de baai van Gale mogten Vervallen , zij",Translocation,7-129
66,66,mogten,isOfType,7-146,3413-3419,BeingAtAPlace[165],['7-135'],,['7-141'],,,,,,,,,mogten Vervallen,"['7-146', '7-147']","haven te brengen ; en dat , indier zij tegen alle hunne gebruikte Voorzorgen beneden de baai van Gale [ mogten Vervallen ] , zij het onder de Wal het zij Voor Gale of Mature moeten tragten te houden , en sein",BeingAtAPlace,7-147
67,67,Vervallen,isOfType,7-147,3420-3429,BeingAtAPlace[165],['7-135'],,['7-141'],,,,,,,,,mogten Vervallen,"['7-146', '7-147']","haven te brengen ; en dat , indier zij tegen alle hunne gebruikte Voorzorgen beneden de baai van Gale [ mogten Vervallen ] , zij het onder de Wal het zij Voor Gale of Mature moeten tragten te houden , en sein",BeingAtAPlace,7-147
68,68,moeten,evokes,7-160,3480-3486,BeingAtAPlace[166],,,"['7-151', '7-156']",,,,,,,,,moeten tragten te houden,"['7-160', '7-161', '7-162', '7-163']","beneden de baai van Gale mogten Vervallen , zij het onder de Wal het zij Voor Gale of Mature [ moeten tragten te houden ] , en sein doen , Wanneer hen ten eersten een loots zal worden toegezonden , om hen",BeingAtAPlace,7-163
69,69,tragten,evokes,7-161,3487-3494,BeingAtAPlace[166],,,"['7-151', '7-156']",,,,,,,,,moeten tragten te houden,"['7-160', '7-161', '7-162', '7-163']","beneden de baai van Gale mogten Vervallen , zij het onder de Wal het zij Voor Gale of Mature [ moeten tragten te houden ] , en sein doen , Wanneer hen ten eersten een loots zal worden toegezonden , om hen",BeingAtAPlace,7-163
70,70,te,evokes,7-162,3495-3497,BeingAtAPlace[166],,,"['7-151', '7-156']",,,,,,,,,moeten tragten te houden,"['7-160', '7-161', '7-162', '7-163']","beneden de baai van Gale mogten Vervallen , zij het onder de Wal het zij Voor Gale of Mature [ moeten tragten te houden ] , en sein doen , Wanneer hen ten eersten een loots zal worden toegezonden , om hen",BeingAtAPlace,7-163
71,71,houden,evokes,7-163,3498-3504,BeingAtAPlace[166],,,"['7-151', '7-156']",,,,,,,,,moeten tragten te houden,"['7-160', '7-161', '7-162', '7-163']","beneden de baai van Gale mogten Vervallen , zij het onder de Wal het zij Voor Gale of Mature [ moeten tragten te houden ] , en sein doen , Wanneer hen ten eersten een loots zal worden toegezonden , om hen",BeingAtAPlace,7-163
72,72,toegezonden,evokes,7-177,3565-3576,Translocation,['7-173'],,,,,,,,,,,toegezonden,['7-177'],"of Mature moeten tragten te houden , en sein doen , Wanneer hen ten eersten een loots zal worden [ toegezonden ] , om hen in de baai Van Nilewelle te brengen , alwaar een schip Voor de Zuide Winden Veilig leggen",Translocation,7-177
73,73,te,evokes,7-186,3610-3612,Voyage[167],"['7-180', '7-173']",,,,,,,,['7-182'],,,moeten tragten te houden,"['7-160', '7-161', '7-162', '7-163']","beneden de baai van Gale mogten Vervallen , zij het onder de Wal het zij Voor Gale of Mature [ moeten tragten te houden ] , en sein doen , Wanneer hen ten eersten een loots zal worden toegezonden , om hen",Voyage,7-163
