,mention_span1,mention_span2,offsets1,offsets2,window1,window2
80,"['5-22', '5-23']",['5-23'],['5-17'],,"['5-16', '5-17', '5-18']",
81,"['10-162', '10-163', '10-164', '10-165']","['10-162', '10-163', '10-164', '10-165']",['10-154'],['10-155'],"['10-153', '10-154', '10-155']","['10-154', '10-155', '10-156']"
82,['8-164'],['8-164'],,,,
83,"['9-104', '9-105', '9-106']",['9-105'],,,,
84,"['11-56', '11-57', '11-58']",['11-57'],,,,
85,"['11-46', '11-47']",['11-47'],,,,
86,"['4-93', '4-94']","['4-93', '4-94']",,,,
87,"['7-161', '7-162', '7-163']","['7-160', '7-161', '7-162', '7-163']",,,,
88,['11-90'],['11-90'],,,,
89,"['6-154', '6-155', '6-156']","['6-155', '6-156']",['6-152'],,"['6-151', '6-152', '6-153']",
90,['8-52'],['8-52'],,,,
91,"['7-275', '7-276']",['7-276'],,,,
92,['10-106'],['10-106'],,,,
93,"['9-270', '9-271']","['9-270', '9-271']",,,,
94,"['6-164', '6-165']",['6-165'],,,,
95,['6-68'],['6-68'],,,,
96,['7-37'],['7-37'],,,,
97,"['9-148', '9-149']","['9-148', '9-149']",,,,
98,"['8-310', '8-311', '8-312', '8-313', '8-314', '8-315', '8-316']",['8-314'],,,,
99,"['9-108', '9-109', '9-110']",['9-108'],,,,
100,['6-187'],['6-187'],,,,
101,['6-228'],['6-228'],,,,
102,['6-118'],['6-118'],,,,
103,['8-171'],['8-171'],['8-170'],,"['8-169', '8-170', '8-171']",
104,['11-138'],"['11-137', '11-138', '11-139']",,,,
105,['7-317'],['7-317'],,,,
106,"['7-146', '7-147']","['7-146', '7-147']",,,,
107,['9-225'],['9-225'],,,,
108,['10-114'],['10-114'],,,,
109,"['6-207', '6-208']","['6-207', '6-208']",,,,
110,['8-72'],['8-72'],,,,
111,['10-46'],['10-46'],['10-40'],,"['10-39', '10-40', '10-41']",
112,"['7-19', '7-20', '7-21']",['7-21'],,,,
113,['8-153'],['8-153'],,,,
114,['11-133'],['11-133'],['11-126'],,"['11-125', '11-126', '11-127']",
115,"['6-214', '6-215']",['6-215'],,,,
116,"['8-28', '8-29']",['8-28'],,,,
117,['6-158'],['6-158'],,,,
