,mention_span1,mention_span2,offsets1,offsets2,window1,window2
78,['11-47'],"['11-46', '11-47']",['11-55'],['11-55'],"['11-54', '11-55', '11-56']","['11-54', '11-55', '11-56']"
79,['6-165'],"['6-164', '6-165']",,,,
80,['9-225'],['9-225'],,,,
81,['8-267'],['8-267'],,,,
82,['6-105'],['6-105'],,,,
83,['7-177'],"['7-175', '7-176', '7-177']",,,,
84,"['10-162', '10-163', '10-164', '10-165']","['10-162', '10-163', '10-164', '10-165']",,,,
85,['8-273'],['8-273'],,,,
86,['10-61'],['10-61'],,,,
87,"['9-253', '9-254']","['9-253', '9-254']",,,,
88,"['9-188', '9-189', '9-190', '9-191', '9-192']","['9-191', '9-192']",['9-185'],['9-188'],"['9-184', '9-185', '9-186']","['9-187', '9-188', '9-189']"
89,['8-225'],"['8-225', '8-226']",,,,
90,"['10-86', '10-87']","['10-86', '10-87']",,,,
91,"['10-72', '10-73', '10-74', '10-75']",['10-75'],,,,
92,['6-285'],"['6-285', '6-286']",,,,
93,['9-94'],['9-94'],,['9-91'],,"['9-90', '9-91', '9-92']"
94,['8-164'],['8-164'],,,,
95,['9-129'],"['9-129', '9-130']",,,,
96,"['10-20', '10-21']","['10-20', '10-21', '10-22', '10-23', '10-24']",,,,
97,['10-96'],"['10-95', '10-96']",,,,
98,['9-29'],"['9-28', '9-29']",,,,
99,['9-204'],"['9-203', '9-204', '9-205', '9-206']",,,,
100,"['6-247', '6-248']",['6-248'],['6-247'],['6-247'],"['6-246', '6-247', '6-248']","['6-246', '6-247', '6-248']"
101,['9-132'],"['9-131', '9-132']",,,,
102,['9-108'],"['9-108', '9-109', '9-110']",,,,
103,['11-133'],['11-133'],,,,
104,"['9-148', '9-149']","['9-148', '9-149']",,,,
105,['11-113'],"['11-113', '11-114', '11-115', '11-116', '11-117', '11-118', '11-119', '11-120', '11-121']",,['11-118'],,"['11-117', '11-118', '11-119']"
106,['8-34'],['8-34'],,,,
107,['7-129'],"['7-128', '7-129']",,,,
108,['6-158'],['6-158'],,,,
109,['11-57'],"['11-56', '11-57', '11-58']",,,,
110,['7-17'],['7-17'],['7-13'],['7-13'],"['7-12', '7-13', '7-14']","['7-12', '7-13', '7-14']"
111,['9-230'],['9-230'],,,,
112,['8-153'],['8-153'],,,,
113,['7-71'],['7-71'],['7-68'],['7-68'],"['7-67', '7-68', '7-69']","['7-67', '7-68', '7-69']"
114,"['7-108', '7-109', '7-110']","['7-107', '7-108', '7-109', '7-110']",,,,
115,['7-37'],['7-37'],,,,
116,['10-217'],['10-217'],['10-214'],,"['10-213', '10-214', '10-215']",
117,['6-198'],['6-198'],,,,
