,Unnamed: 0,mention,anchor_type,mention_token_id,mention_character_id,eventclass,Patient_offsets,Agent_offsets,Location_offsets,Time_offsets,AgentPatient_offsets,Benefactive_offsets,Cargo_offsets,Source_offsets,Target_offsets,Path_offsets,Instrument_offsets,mention_span,mention_span_ids,mention_in_context,eventclass_no_number,last_token_id
10,10,hebben,isOfType,6-1,1056-1062,HavingInPossession[221],['5-48'],['5-46'],,,,,,,,,,aan harden hebben,"['5-52', '5-53', '6-1']","rheede durf vertrouwen , en daar toe zien wij geen mogelijkheid , Vermits wij geen scheepen tot den afhaal [ aan harden hebben ] en Wanneer Wij dezelve ook hadden , zonden ze dog zonder een goed konvooij niet gewaagd Worden ,",HavingInPossession,6-1
11,11,hadden,isOfType,6-7,1090-1096,HavingInPossession,['6-5'],['6-4'],,,,,,,,,,hadden,['6-7'],"wij geen mogelijkheid , Vermits wij geen scheepen tot den afhaal aan harden hebben en Wanneer Wij dezelve ook [ hadden ] , zonden ze dog zonder een goed konvooij niet gewaagd Worden , Wijl de Bombaijsche fregatten nog bestendig op de",HavingInPossession,6-7
12,12,gewaagd,evokes,6-17,1142-1149,Translocation,['6-10'],,,,,,,,,,,gewaagd,['6-17'],"afhaal aan harden hebben en Wanneer Wij dezelve ook hadden , zonden ze dog zonder een goed konvooij niet [ gewaagd ] Worden , Wijl de Bombaijsche fregatten nog bestendig op de hoogte van koetsjien kruissen . Wat er te gen de",Translocation,6-17
13,13,kruissen,isOfType,6-31,1229-1237,Translocation,['6-21'],,['6-26'],,,,,,,,,kruissen,['6-31'],"zonder een goed konvooij niet gewaagd Worden , Wijl de Bombaijsche fregatten nog bestendig op de hoogte van koetsjien [ kruissen ] . Wat er te gen de opere Vaart / : die niet Voor half Oktober gerekend mag Worden:/ op Mallabaar",Translocation,6-31
14,14,kreegen,isOfType,6-68,1424-1431,Getting,['6-63'],['6-62'],,,,,,,,,,kreegen,['6-68'],"Worden:/ op Mallabaar Voorvallen kan , mogen wij niet gissen , en zoo Wij deeze zelkonder- lasten Mallabaers rijst [ kreegen ] , bij de geeischte Javasche , zoude onze Voorraad naar maatig zijn , Wijl de Fransche Vloot zeken on rijst",Getting,6-68
15,15,geeischte,evokes,6-72,1440-1449,Request,['6-73'],,,,,,,,,,,geeischte,['6-72'],"kan , mogen wij niet gissen , en zoo Wij deeze zelkonder- lasten Mallabaers rijst kreegen , bij de [ geeischte ] Javasche , zoude onze Voorraad naar maatig zijn , Wijl de Fransche Vloot zeken on rijst zal vraagen , en",Request,6-72
16,16,Voorraad,evokes,6-77,1471-1479,HavingInPossession,"['6-63', '6-71']",,,,,,,,,,,Voorraad,['6-77'],"gissen , en zoo Wij deeze zelkonder- lasten Mallabaers rijst kreegen , bij de geeischte Javasche , zoude onze [ Voorraad ] naar maatig zijn , Wijl de Fransche Vloot zeken on rijst zal vraagen , en de gemeente geen aanvoer uit",HavingInPossession,6-77
17,17,vraagen,isOfType,6-90,1540-1547,Request,['6-88'],['6-83'],,,,,,,,,,vraagen,['6-90'],"de geeischte Javasche , zoude onze Voorraad naar maatig zijn , Wijl de Fransche Vloot zeken on rijst zal [ vraagen ] , en de gemeente geen aanvoer uit Boengaale hoopen kan . Om deeze reedenen verzoeken Wij Uwe Hoog Edelheeden nogmaals",Request,6-90
18,18,aanvoer,evokes,6-96,1569-1576,Transportation,,,,,,,,['6-97'],,,,aanvoer,['6-96'],"Voorraad naar maatig zijn , Wijl de Fransche Vloot zeken on rijst zal vraagen , en de gemeente geen [ aanvoer ] uit Boengaale hoopen kan . Om deeze reedenen verzoeken Wij Uwe Hoog Edelheeden nogmaals op het ootmoedigste , om onzer",Transportation,6-96
19,19,verzoeken,isOfType,6-105,1621-1630,Request,['6-107'],['6-106'],,,,,,,,,,verzoeken,['6-105'],"zeken on rijst zal vraagen , en de gemeente geen aanvoer uit Boengaale hoopen kan . Om deeze reedenen [ verzoeken ] Wij Uwe Hoog Edelheeden nogmaals op het ootmoedigste , om onzer voormelden Eisch kompleet te Willen voldoen , Wijl wij",Request,6-105
20,20,Eisch,evokes,6-118,1705-1710,Request,['6-107'],['6-106'],,,,,,,,,,Eisch,['6-118'],"hoopen kan . Om deeze reedenen verzoeken Wij Uwe Hoog Edelheeden nogmaals op het ootmoedigste , om onzer voormelden [ Eisch ] kompleet te Willen voldoen , Wijl wij andersints in een indoorkonelijke Verleegerheid zouden VerVallen . Een schip Voor Gale en",Request,6-118
21,21,VerVallen,evokes,6-132,1803-1812,HavingInternalState-,['6-125'],,,,,,,,,,,VerVallen,['6-132'],"ootmoedigste , om onzer voormelden Eisch kompleet te Willen voldoen , Wijl wij andersints in een indoorkonelijke Verleegerheid zouden [ VerVallen ] . Een schip Voor Gale en een Voor Kolombo , zouden in Juri dienen te Vertrekken , om tijding in",HavingInternalState-,6-132
22,22,Vertrekken,isOfType,6-148,1880-1890,Leaving,,"['6-134', '6-139']",,['6-144'],,,,,"['6-137', '6-141']",,,Vertrekken,['6-148'],"indoorkonelijke Verleegerheid zouden VerVallen . Een schip Voor Gale en een Voor Kolombo , zouden in Juri dienen te [ Vertrekken ] , om tijding in Augustus hier te weezen zij komen bewesten de Maldivos en mag de reize dus op niet",Leaving,6-148
23,23,weezen,evokes,6-156,1923-1929,Arriving,,"['6-134', '6-139']",,['6-151'],,,,,['6-154'],,,weezen,['6-156'],"Gale en een Voor Kolombo , zouden in Juri dienen te Vertrekken , om tijding in Augustus hier te [ weezen ] zij komen bewesten de Maldivos en mag de reize dus op niet minder dan twee maanden bereekend Worden . Wanneer",Arriving,6-156
24,24,komen,isOfType,6-158,1934-1939,Translocation,['6-157'],,,,,,,['6-159'],,,,komen,['6-158'],"een Voor Kolombo , zouden in Juri dienen te Vertrekken , om tijding in Augustus hier te weezen zij [ komen ] bewesten de Maldivos en mag de reize dus op niet minder dan twee maanden bereekend Worden . Wanneer UWe Hoogedelheeden",Translocation,6-158
25,25,reize,isOfType,6-165,1971-1976,Voyage,['6-157'],,,,,,,['6-159'],,,,reize,['6-165'],"dienen te Vertrekken , om tijding in Augustus hier te weezen zij komen bewesten de Maldivos en mag de [ reize ] dus op niet minder dan twee maanden bereekend Worden . Wanneer UWe Hoogedelheeden , gelijk doorgaans , groote scheepen tot",Voyage,6-165
26,26,togt,isOfType,6-187,2104-2108,Voyage,,['6-177'],,,,,,,,,['6-183'],togt,['6-187'],"niet minder dan twee maanden bereekend Worden . Wanneer UWe Hoogedelheeden , gelijk doorgaans , groote scheepen tot deezer [ togt ] uit kiezen , zal nog een derde niet alleen de gevraagde rijst , maar ook de overige goederen kunnen mede",Voyage,6-187
27,27,mede,isOfType,6-207,2207-2211,Transportation[222],"['6-203', '6-197']",,,,,,,,,,['6-193'],mede neemen,"['6-207', '6-208']","uit kiezen , zal nog een derde niet alleen de gevraagde rijst , maar ook de overige goederen kunnen [ mede neemen ] , Vermits wij zo lang de oorlog duurt , op geen onderlaag voor de retourscheepen denken mogen . Wij",Transportation,6-208
28,28,neemen,isOfType,6-208,2212-2218,Transportation[222],"['6-203', '6-197']",,,,,,,,,,['6-193'],mede neemen,"['6-207', '6-208']","uit kiezen , zal nog een derde niet alleen de gevraagde rijst , maar ook de overige goederen kunnen [ mede neemen ] , Vermits wij zo lang de oorlog duurt , op geen onderlaag voor de retourscheepen denken mogen . Wij",Transportation,6-208
29,29,oorlog,isOfType,6-215,2243-2249,BeingInConflict,['6-211'],,,,,,,,,,,oorlog,['6-215'],"alleen de gevraagde rijst , maar ook de overige goederen kunnen mede neemen , Vermits wij zo lang de [ oorlog ] duurt , op geen onderlaag voor de retourscheepen denken mogen . Wij verzoeken dan , dat ook dit derde schip",BeingInConflict,6-215
30,30,onderlaag,evokes,6-220,2265-2274,EndingAWar,['6-222'],['6-222'],,,['6-222'],,,,,,,onderlaag,['6-220'],"maar ook de overige goederen kunnen mede neemen , Vermits wij zo lang de oorlog duurt , op geen [ onderlaag ] voor de retourscheepen denken mogen . Wij verzoeken dan , dat ook dit derde schip de twee anderen spoedig volge",EndingAWar,6-220
31,31,verzoeken,isOfType,6-228,2316-2325,Request,,['6-227'],,,,,,,,,,verzoeken,['6-228'],", Vermits wij zo lang de oorlog duurt , op geen onderlaag voor de retourscheepen denken mogen . Wij [ verzoeken ] dan , dat ook dit derde schip de twee anderen spoedig volge , op dat het in september hier zij",Request,6-228
32,32,volge,evokes,6-240,2379-2384,Translocation,['6-233'],,,,,,,,,,,volge,['6-240'],"voor de retourscheepen denken mogen . Wij verzoeken dan , dat ook dit derde schip de twee anderen spoedig [ volge ] , op dat het in september hier zij , Voor dat de goede Moesson Vijandelijke kruissers na deezer kant doe",Translocation,6-240
33,33,zij,evokes,6-248,2415-2418,Arriving,,['6-244'],,['6-245'],,,,,['6-247'],,,zij,['6-248'],"dan , dat ook dit derde schip de twee anderen spoedig volge , op dat het in september hier [ zij ] , Voor dat de goede Moesson Vijandelijke kruissers na deezer kant doe Verschijnen , en dat alle drie scheepen last",Arriving,6-248
34,34,Verschijnen,evokes,6-261,2488-2499,Arriving,,['6-255'],,,,,,,['6-257'],,,Verschijnen,['6-261'],"op dat het in september hier zij , Voor dat de goede Moesson Vijandelijke kruissers na deezer kant doe [ Verschijnen ] , en dat alle drie scheepen last krijgen om de Mallabaarsche kust , na dat zij het karaal tusschen de",Arriving,6-261
35,35,last,evokes,6-268,2527-2531,BeingInConflict[223],['6-265'],,['6-271'],,,,,,,,,last krijgen,"['6-268', '6-269']",", Voor dat de goede Moesson Vijandelijke kruissers na deezer kant doe Verschijnen , en dat alle drie scheepen [ last krijgen ] om de Mallabaarsche kust , na dat zij het karaal tusschen de Maldivos en LakkeriVes doorgevaaren zijn , op",BeingInConflict,6-269
36,36,krijgen,evokes,6-269,2532-2539,BeingInConflict[223],['6-265'],,['6-271'],,,,,,,,,last krijgen,"['6-268', '6-269']",", Voor dat de goede Moesson Vijandelijke kruissers na deezer kant doe Verschijnen , en dat alle drie scheepen [ last krijgen ] om de Mallabaarsche kust , na dat zij het karaal tusschen de Maldivos en LakkeriVes doorgevaaren zijn , op",BeingInConflict,6-269
37,37,doorgevaaren,isOfType,6-285,2623-2635,Translocation,['6-265'],,,,,,,,,['6-278'],,doorgevaaren,['6-285'],"drie scheepen last krijgen om de Mallabaarsche kust , na dat zij het karaal tusschen de Maldivos en LakkeriVes [ doorgevaaren ] zijn , op eene voorzigtige Wijze te Verkennen , en na „ de Ceilonsche Wal over te steeken , en",Translocation,6-285
38,38,Verkennen,evokes,6-293,2671-2680,Translocation,['6-265'],,['6-271'],,,,,,,,,Verkennen,['6-293'],", na dat zij het karaal tusschen de Maldivos en LakkeriVes doorgevaaren zijn , op eene voorzigtige Wijze te [ Verkennen ] , en na „ de Ceilonsche Wal over te steeken , en dat de Engelschen bij Mannapaar zouden kunnen kruissers",Translocation,6-293
39,39,over,isOfType,7-4,2707-2711,Translocation[224],['6-265'],,,,,,,,['7-1'],,,over te steeken,"['7-4', '7-5', '7-6']","Maldivos en LakkeriVes doorgevaaren zijn , op eene voorzigtige Wijze te Verkennen , en na „ de Ceilonsche Wal [ over te steeken ] , en dat de Engelschen bij Mannapaar zouden kunnen kruissers houden . De over heden Van beide schepen",Translocation,7-6
40,40,te,isOfType,7-5,2712-2714,Translocation[224],['6-265'],,,,,,,,['7-1'],,,over te steeken,"['7-4', '7-5', '7-6']","Maldivos en LakkeriVes doorgevaaren zijn , op eene voorzigtige Wijze te Verkennen , en na „ de Ceilonsche Wal [ over te steeken ] , en dat de Engelschen bij Mannapaar zouden kunnen kruissers houden . De over heden Van beide schepen",Translocation,7-6
41,41,steeken,isOfType,7-6,2715-2722,Translocation[224],['6-265'],,,,,,,,['7-1'],,,over te steeken,"['7-4', '7-5', '7-6']","Maldivos en LakkeriVes doorgevaaren zijn , op eene voorzigtige Wijze te Verkennen , en na „ de Ceilonsche Wal [ over te steeken ] , en dat de Engelschen bij Mannapaar zouden kunnen kruissers houden . De over heden Van beide schepen",Translocation,7-6
42,42,houden,isOfType,7-17,2783-2789,BeingAtAPlace,['7-16'],,['7-12'],,,,,,,,,houden,['7-17'],"en na „ de Ceilonsche Wal over te steeken , en dat de Engelschen bij Mannapaar zouden kunnen kruissers [ houden ] . De over heden Van beide schepen , maar voor al Van 't geene Voor Gale gedestineerd is , Verzoeken",BeingAtAPlace,7-17
43,43,gedestineerd,evokes,7-34,2860-2872,Translocation,['7-30'],,,,,,,,['7-33'],,,gedestineerd,['7-34'],"kunnen kruissers houden . De over heden Van beide schepen , maar voor al Van 't geene Voor Gale [ gedestineerd ] is , Verzoeken wij boven des te onderrigten , dat de stroomen in de Zuid moessen voor Gale zo hevig",Translocation,7-34
44,44,Verzoeken,isOfType,7-37,2877-2886,Request,['7-19'],['7-38'],,,,,,,,,,Verzoeken,['7-37'],". De over heden Van beide schepen , maar voor al Van 't geene Voor Gale gedestineerd is , [ Verzoeken ] wij boven des te onderrigten , dat de stroomen in de Zuid moessen voor Gale zo hevig om de Zuid",Request,7-37
45,45,looper,evokes,7-59,2987-2993,Translocation,['7-45'],,['7-55'],,,,,,,,,looper,['7-59'],"des te onderrigten , dat de stroomen in de Zuid moessen voor Gale zo hevig om de Zuid Oost [ looper ] , dat een schip 't Welk maar even beneeden de baai is , met geen mogelijkheid de haven bezeilen kan",Translocation,7-59
46,46,is,isOfType,7-71,3044-3046,BeingAtAPlace,['7-62'],,['7-66'],,,,,,,,,is,['7-71'],"Gale zo hevig om de Zuid Oost looper , dat een schip 't Welk maar even beneeden de baai [ is ] , met geen mogelijkheid de haven bezeilen kan , en dat zij dus alle Voorzorgen moeten gebruiken , om boven",BeingAtAPlace,7-71
47,47,bezeilen,isOfType,7-78,3079-3087,Translocation,['7-62'],,,,,,,,['7-76'],,,bezeilen,['7-78'],"looper , dat een schip 't Welk maar even beneeden de baai is , met geen mogelijkheid de haven [ bezeilen ] kan , en dat zij dus alle Voorzorgen moeten gebruiken , om boven Wind en stroom van Gale te komen",Translocation,7-78
48,48,komen,isOfType,7-98,3178-3183,Translocation,['7-83'],,,,,,,,['7-91'],,,komen,['7-98'],"kan , en dat zij dus alle Voorzorgen moeten gebruiken , om boven Wind en stroom van Gale te [ komen ] , en daar of ten anker komen of het onder zeil houden , na dat de geleegenheid toelaat , tot",Translocation,7-98
49,49,ten,evokes,7-103,3196-3199,BeingAtAPlace[225],['7-83'],,['7-91'],,,,,,,,,ten anker komen,"['7-103', '7-104', '7-105']","dus alle Voorzorgen moeten gebruiken , om boven Wind en stroom van Gale te komen , en daar of [ ten anker komen ] of het onder zeil houden , na dat de geleegenheid toelaat , tot een loots buiten komt om",BeingAtAPlace,7-105
50,50,anker,evokes,7-104,3200-3205,BeingAtAPlace[225],['7-83'],,['7-91'],,,,,,,,,ten anker komen,"['7-103', '7-104', '7-105']","dus alle Voorzorgen moeten gebruiken , om boven Wind en stroom van Gale te komen , en daar of [ ten anker komen ] of het onder zeil houden , na dat de geleegenheid toelaat , tot een loots buiten komt om",BeingAtAPlace,7-105
51,51,komen,evokes,7-105,3206-3211,BeingAtAPlace[225],['7-83'],,['7-91'],,,,,,,,,ten anker komen,"['7-103', '7-104', '7-105']","dus alle Voorzorgen moeten gebruiken , om boven Wind en stroom van Gale te komen , en daar of [ ten anker komen ] of het onder zeil houden , na dat de geleegenheid toelaat , tot een loots buiten komt om",BeingAtAPlace,7-105
52,52,onder,evokes,7-108,3219-3224,Translocation[226],['7-83'],,['7-91'],,,,,,,,['7-107'],onder zeil houden,"['7-108', '7-109', '7-110']",", om boven Wind en stroom van Gale te komen , en daar of ten anker komen of het [ onder zeil houden ] , na dat de geleegenheid toelaat , tot een loots buiten komt om hen binnen de haven te",Translocation,7-110
53,53,zeil,evokes,7-109,3225-3229,Translocation[226],['7-83'],,['7-91'],,,,,,,,['7-107'],onder zeil houden,"['7-108', '7-109', '7-110']",", om boven Wind en stroom van Gale te komen , en daar of ten anker komen of het [ onder zeil houden ] , na dat de geleegenheid toelaat , tot een loots buiten komt om hen binnen de haven te",Translocation,7-110
54,54,houden,evokes,7-110,3230-3236,Translocation[226],['7-83'],,['7-91'],,,,,,,,['7-107'],onder zeil houden,"['7-108', '7-109', '7-110']",", om boven Wind en stroom van Gale te komen , en daar of ten anker komen of het [ onder zeil houden ] , na dat de geleegenheid toelaat , tot een loots buiten komt om hen binnen de haven te",Translocation,7-110
55,55,buiten,isOfType,7-121,3284-3290,Translocation[227],['7-119'],,,,,,,,,,,buiten komt,"['7-121', '7-122']","of ten anker komen of het onder zeil houden , na dat de geleegenheid toelaat , tot een loots [ buiten komt ] om hen binnen de haven te brengen ; en dat , indier zij tegen alle hunne gebruikte Voorzorgen beneden",Translocation,7-122
56,56,komt,isOfType,7-122,3291-3295,Translocation[227],['7-119'],,,,,,,,,,,buiten komt,"['7-121', '7-122']","of ten anker komen of het onder zeil houden , na dat de geleegenheid toelaat , tot een loots [ buiten komt ] om hen binnen de haven te brengen ; en dat , indier zij tegen alle hunne gebruikte Voorzorgen beneden",Translocation,7-122
57,57,brengen,isOfType,7-129,3322-3329,Translocation,['7-124'],['7-119'],,,,,,,['7-125'],,,brengen,['7-129'],"houden , na dat de geleegenheid toelaat , tot een loots buiten komt om hen binnen de haven te [ brengen ] ; en dat , indier zij tegen alle hunne gebruikte Voorzorgen beneden de baai van Gale mogten Vervallen , zij",Translocation,7-129
58,58,Vervallen,evokes,7-147,3420-3429,Translocation,['7-135'],,,,,,,,['7-141'],,,Vervallen,['7-147'],"te brengen ; en dat , indier zij tegen alle hunne gebruikte Voorzorgen beneden de baai van Gale mogten [ Vervallen ] , zij het onder de Wal het zij Voor Gale of Mature moeten tragten te houden , en sein doen",Translocation,7-147
59,59,houden,evokes,7-163,3498-3504,BeingAtAPlace,['7-135'],,"['7-151', '7-156', '7-159']",,,,,,,,,houden,['7-163'],"van Gale mogten Vervallen , zij het onder de Wal het zij Voor Gale of Mature moeten tragten te [ houden ] , en sein doen , Wanneer hen ten eersten een loots zal worden toegezonden , om hen in de baai",BeingAtAPlace,7-163
60,60,toegezonden,isOfType,7-177,3565-3576,Translocation,['7-173'],,,,,,,,['7-170'],,,toegezonden,['7-177'],"of Mature moeten tragten te houden , en sein doen , Wanneer hen ten eersten een loots zal worden [ toegezonden ] , om hen in de baai Van Nilewelle te brengen , alwaar een schip Voor de Zuide Winden Veilig leggen",Translocation,7-177
61,61,brengen,isOfType,7-187,3613-3620,Translocation,['7-180'],['7-173'],,,,,,,['7-182'],,,brengen,['7-187'],", Wanneer hen ten eersten een loots zal worden toegezonden , om hen in de baai Van Nilewelle te [ brengen ] , alwaar een schip Voor de Zuide Winden Veilig leggen kan , en de eerste Verandering van Wind en Stroon",Translocation,7-187
62,62,leggen,isOfType,7-197,3667-3673,BeingAtAPlace,['7-190'],,['7-189'],,,,,,,,,leggen,['7-197'],", om hen in de baai Van Nilewelle te brengen , alwaar een schip Voor de Zuide Winden Veilig [ leggen ] kan , en de eerste Verandering van Wind en Stroon Kan Waarneemen om na Gale te Zeilen . Bij onzen",BeingAtAPlace,7-197
63,63,Verandering,isOfType,7-203,3692-3703,InternalChange,['7-205'],,,,,,,,,,,Verandering,['7-203'],"Van Nilewelle te brengen , alwaar een schip Voor de Zuide Winden Veilig leggen kan , en de eerste [ Verandering ] van Wind en Stroon Kan Waarneemen om na Gale te Zeilen . Bij onzen eerbiedigen van den 12:e februari hebben",InternalChange,7-203
64,64,Zeilen,evokes,7-214,3752-3758,Translocation,['7-190'],,,,,,,,['7-212'],,,Zeilen,['7-214'],"Winden Veilig leggen kan , en de eerste Verandering van Wind en Stroon Kan Waarneemen om na Gale te [ Zeilen ] . Bij onzen eerbiedigen van den 12:e februari hebben wij de eer gehad Uwe Hoog Edelheeden te bedeelen , de",Translocation,7-214
65,65,bedeelen,isOfType,7-232,3851-3859,SocialInteraction,"['7-224', '7-228']","['7-224', '7-228']",,,"['7-224', '7-228']",,,,,,,bedeelen,['7-232'],"te Zeilen . Bij onzen eerbiedigen van den 12:e februari hebben wij de eer gehad Uwe Hoog Edelheeden te [ bedeelen ] , de verslagenheid van het Randiasche Hof over den voorspoed van de Engelsche Wapenen , en dat het zelve ons",SocialInteraction,7-232
66,66,voorspoed,isOfType,7-242,3910-3919,HavingInternalState+,['7-244'],,,,,,,,,,,voorspoed,['7-242'],"hebben wij de eer gehad Uwe Hoog Edelheeden te bedeelen , de verslagenheid van het Randiasche Hof over den [ voorspoed ] van de Engelsche Wapenen , en dat het zelve ons kennis had gegeeven van een gezantschap van den Engelschen ,",HavingInternalState+,7-242
67,67,kennis,isOfType,7-253,3967-3973,SocialInteraction[228],"['7-250', '7-252']","['7-250', '7-252']",,,"['7-250', '7-252']",,,,,,,kennis had gegeeven,"['7-253', '7-254', '7-255']","de verslagenheid van het Randiasche Hof over den voorspoed van de Engelsche Wapenen , en dat het zelve ons [ kennis had gegeeven ] van een gezantschap van den Engelschen , 't Welk zoude moeten aangenomen Worden om hen niet te Verstooren",SocialInteraction,7-255
68,68,had,isOfType,7-254,3974-3977,SocialInteraction[228],"['7-250', '7-252']","['7-250', '7-252']",,,"['7-250', '7-252']",,,,,,,kennis had gegeeven,"['7-253', '7-254', '7-255']","de verslagenheid van het Randiasche Hof over den voorspoed van de Engelsche Wapenen , en dat het zelve ons [ kennis had gegeeven ] van een gezantschap van den Engelschen , 't Welk zoude moeten aangenomen Worden om hen niet te Verstooren",SocialInteraction,7-255
69,69,gegeeven,isOfType,7-255,3978-3986,SocialInteraction[228],"['7-250', '7-252']","['7-250', '7-252']",,,"['7-250', '7-252']",,,,,,,kennis had gegeeven,"['7-253', '7-254', '7-255']","de verslagenheid van het Randiasche Hof over den voorspoed van de Engelsche Wapenen , en dat het zelve ons [ kennis had gegeeven ] van een gezantschap van den Engelschen , 't Welk zoude moeten aangenomen Worden om hen niet te Verstooren",SocialInteraction,7-255
70,70,gezantschap,evokes,7-258,3995-4006,Visit,['7-237'],['7-260'],,,,,,,,,,gezantschap,['7-258'],"Hof over den voorspoed van de Engelsche Wapenen , en dat het zelve ons kennis had gegeeven van een [ gezantschap ] van den Engelschen , 't Welk zoude moeten aangenomen Worden om hen niet te Verstooren maar de aankomst van een",Visit,7-258
71,71,Verstooren,isOfType,7-273,4081-4091,SocialInteraction,['7-270'],['7-270'],,,['7-270'],,,,,,,Verstooren,['7-273'],"had gegeeven van een gezantschap van den Engelschen , 't Welk zoude moeten aangenomen Worden om hen niet te [ Verstooren ] maar de aankomst van een aanzienelijke Fransche Vloot schijnt 't Hof Van zijne ontsteltenis weder hersteld te hebben , Want",SocialInteraction,7-273
72,72,aankomst,isOfType,7-276,4100-4108,Arriving,,['7-278'],,,,,,,,,,aankomst,['7-276'],"een gezantschap van den Engelschen , 't Welk zoude moeten aangenomen Worden om hen niet te Verstooren maar de [ aankomst ] van een aanzienelijke Fransche Vloot schijnt 't Hof Van zijne ontsteltenis weder hersteld te hebben , Want straks na der",Arriving,7-276
73,73,hersteld,isOfType,7-289,4190-4198,HavingInternalState+,['7-283'],,,,,,,,,,,hersteld,['7-289'],"hen niet te Verstooren maar de aankomst van een aanzienelijke Fransche Vloot schijnt 't Hof Van zijne ontsteltenis weder [ hersteld ] te hebben , Want straks na der ontvangst van deeze gewigtige tijding gaf het zelve ons kennisdat zij der Engelschen",HavingInternalState+,7-289
74,74,ontvangst,isOfType,7-297,4229-4238,Getting,['7-299'],,,,,,,,,,,ontvangst,['7-297'],"een aanzienelijke Fransche Vloot schijnt 't Hof Van zijne ontsteltenis weder hersteld te hebben , Want straks na der [ ontvangst ] van deeze gewigtige tijding gaf het zelve ons kennisdat zij der Engelschen gezant na dat hij twintig dagen Was opgehouden",Getting,7-297
