	mention_span	mention_in_context	mention_span_ids	mention_token_id	mention_ids	last_token_id	Should this mention be annotated as an event?	If so, which event class should the mention be annotated with?	If not, why not?	If span incorrect, provide correct span	comments
64	teiqueren	ouerlast doen , sijn de geene , twelcke de voorneemste capitalen nae Mocha , Atchin , Regu ende elders [ teiqueren ] , sij mogen den handel op dese Quartieren veel min dan Wij Marilwats . deruen . U Ed : aduijs		30-113	['30-113']	No Span	no		This does not describe an event listed in the ontology		Hier staat 'riskeren'. Dit impliceert handel ('trade' dus), maar ik vind die connectie te zwak.
65	veel min	voorneemste capitalen nae Mocha , Atchin , Regu ende elders teiqueren , sij mogen den handel op dese Quartieren [ veel min ] dan Wij Marilwats . deruen . U Ed : aduijs aengaende t'redres van dese saecke , sullen daerop gaerne	['30-122', '30-123']	30-122	['30-122', '30-123']	30-123	no		Other (write in comments)		Geen event.
67	deruen	, Regu ende elders teiqueren , sij mogen den handel op dese Quartieren veel min dan Wij Marilwats . [ deruen ] . U Ed : aduijs aengaende t'redres van dese saecke , sullen daerop gaerne hooren . eeveee Der neuens gaende		30-128	['30-128']	No Span	yes	LosingPossession			
68	becomen	sullen daerop gaerne hooren . eeveee Der neuens gaende copie van missiue ouer de Custe Choromme . van Surarte [ becomen ] , sullen u Ed : dien hoe d'onse aldaer sonder Negotie saten , belast sijnde met 200 O gl .		32-14	['32-14']	No Span	yes	Getting			
69	gedaelt	grooten Interest moeten betalen Ede specerijen Nagelen , Nooten ende foelije waren meer dan 50 . Rcento in prijs [ gedaelt ] , conden geene vercoopen , dan tot leegen Phris Ambeine Banda Js Almigon eicht bij paliacatte drijuen d'Engelschen Engelschen haren		33-16	['33-16']	No Span	yes	Decreasing			
71	drijuen	in prijs gedaelt , conden geene vercoopen , dan tot leegen Phris Ambeine Banda Js Almigon eicht bij paliacatte [ drijuen ] d'Engelschen Engelschen haren handel , welcke plaetse haer soo : dienstich is , als ons Paliacatte . Op haer versouck		35-6	['35-6']	No Span	yes	Trade			
74	ouergegaen is	. geboorden hadden t ' Jacht Wedenblycq met een Capitael van l 120885 „ 15 „ Waer mede oock [ ouergegaen is ] , Mousabeeck , Ambassadeur des Conincks van Pertia . Onise cruijssende Jachten hebben t'selue den 35e Octob . pasto	['36-37', '36-38']	36-37	['36-37', '36-38']	36-38	yes	Translocation		[ ouergegaen ]	
77	spoedige reijs	. pasto . omtrent ppoulo - Vercelaer bij Noorden Mallacca gerescontreert . Waer ouer aipvarent is , dat een [ spoedige reijs ] doen sal , twelck Godt gene dr 21e . Septembris pasen . was t'Jacht Grombershanen van Masilivas . naer	['36-75', '36-76']	36-75	['36-75', '36-76']	36-76	no		The span selection is incorrect	[ reijs ]	
86	bevoirderen	Oppercoopman Gregorius Cornelij ermmate Etr ende Capn . Marten Jansz Vogel , omme in d‛een ende d'ander plaets te [ bevoirderen ] sulcx als den meesten dienst ende woelstandt vande Compen . aldaer vereijscht , Insonderheijt inde Quartieren van Amboina , alwaer		40-15	['40-15']	No Span	no		This does not describe an event listed in the ontology		
87	in dienst	volgens t'schriftelijck verbael vanden Commissaris Gillis Seijs , In April pase . aende cant van 616 . blancke coppen [ in dienst ] ende gagie vande Compnie . gehouden wierden , beneffens 208 . slanen sijnde voorwaer een groot getal , daer	['40-57', '40-58']	40-57	['40-57', '40-58']	40-58	yes	BeingEmployed			
89	becomen	Coppen ten hoochsten , aldaer geseten wais ongelijck meerder ontsach , vorderlijcker handel ende treffelycker nagel retour van daer [ becomen ] ; Van welcke 616 . coppen , 162 . Tsoonen , ende dat apparent vande ervarenste ende loeckste Soldaten ,		40-141	['40-141']	No Span	yes	Getting			
90	gevoirdert	Garnisoen verdeelt sij Behaluen dat met voorsz verdeelinge tot Compes . progres ende Goulagiement in gemelte Quartieren gants niet [ gevoirdert ] Werct soo is oock deselue niet bastandt , omme d'ffiuasien van externer Vijanden te connen resisteren , nochte oock d'Imboonders		40-186	['40-186']	No Span	no		This does not describe an event listed in the ontology		
91	d'ffiuasien	. progres ende Goulagiement in gemelte Quartieren gants niet gevoirdert Werct soo is oock deselue niet bastandt , omme [ d'ffiuasien ] van externer Vijanden te connen resisteren , nochte oock d'Imboonders Imboonders alsse ontrouw Wesen willen , in ontsach ende dwang		40-196	['40-196']	No Span	yes	ViolentContest			
92	in ontsach ende dwang te houden	, omme d'ffiuasien van externer Vijanden te connen resisteren , nochte oock d'Imboonders Imboonders alsse ontrouw Wesen willen , [ in ontsach ende dwang te houden ] , Gelijck als op Bouro ende inde Manipes met schande ende verlies van Volck ende	['40-212', '40-213', '40-214', '40-215', '40-216', '40-217']	40-212	['40-212', '40-213', '40-214', '40-215', '40-216', '40-217']	40-217	yes	TakingUnderControl			
109	nieuwe vruntschap te geraecken	, Loeboe , Combello , dessidi , Orang ende consorten , als onse oude Bondtgenoten , in termen van [ nieuwe vruntschap te geraecken ] , daer door de gealtereerde ende verwijderde gemoederen in voorige gerustheijt ende patisique posture herstelt , ende	['42-153', '42-154', '42-155', '42-156']	42-153	['42-153', '42-154', '42-155', '42-156']	42-156	yes	RelationshipChange		[ nieuwe vruntschap ]	
114	t'vervoeren	geraecken , daer door de gealtereerde ende verwijderde gemoederen in voorige gerustheijt ende patisique posture herstelt , ende alsoo [ t'vervoeren ] vande Nagelen int aenstaende mochte voorgecomen werden , soo lange niet gedisponeert sijn t'selue anders te beletten Schhtervolgende V Ed		42-175	['42-175']	No Span	yes	Transportation			
118	gesonden werden	d'onse 150 . a 200 . pagqe . vleeden niet eenich geldt versoucken , gissing maeckende , soo die [ gesonden werden ] , dat tegen Martij toecomende omtrent 5000 . tpicol wever in Doorraedt sullen hebben . Noch geldt noch cleeden	['48-84', '48-85']	48-84	['48-84', '48-85']	48-85	yes	Transportation		[ gesonden ]	
120	sullen hebben	gissing maeckende , soo die gesonden werden , dat tegen Martij toecomende omtrent 5000 . tpicol wever in Doorraedt [ sullen hebben ] . Noch geldt noch cleeden connen derrewaerts seijnden voor dat nieuw secours van Nederlandt ende Choromandel becomen „ 32	['48-98', '48-99']	48-98	['48-98', '48-99']	48-99	no		The span selection is incorrect	[ in Doorraedt ]	
123	becomen	Doorraedt sullen hebben . Noch geldt noch cleeden connen derrewaerts seijnden voor dat nieuw secours van Nederlandt ende Choromandel [ becomen ] „ 32 „ 4 . = Den oppercoopman van Jambij Cornelis vander Hoeff aduiseert ons , hoe vanden Coninck van		48-116	['48-116']	No Span	yes	Getting			
124	Exploict	Hoeff aduiseert ons , hoe vanden Coninck van Jambij versocht heeft recompense voor onsen gepresteerden dienst , opt ' [ Exploict ] naer Dalimban , maer heeft niet anders connen obtineren dan uijtstel van betalinge des Tols , tot dat de Coninck		50-26	['50-26']	No Span	yes	StartingConflict			
130	heel mastelaos	ende Japan Godtloff . abel aengecomen sijn de Schepen Brasimus ende de Vreede . t Schip , de Vreede [ heel mastelaos ] , sijnde op 5â Draden bij N. den Aquinoctiael alle de masten ouer boort geblingert , ende in groot	['52-27', '52-28']	52-27	['52-27', '52-28']	52-28	yes	HavingInternalState-			
