	mention_span	mention_in_context	mention_span_ids	mention_token_id	mention_ids	last_token_id	Should this mention be annotated as an event?	If so, which event class should the mention be annotated with?	If not, why not?	If span incorrect, provide correct span	comments
72	gealtereerde ende verwijderde gemoederen	ende consorten , als onse oude Bondtgenoten , in termen van nieuwe vruntschap te geraecken , daer door de [ gealtereerde ende verwijderde gemoederen ] in voorige gerustheijt ende patisique posture herstelt , ende alsoo t'vervoeren vervoeren vande Nagelen int aenstaende mochte	['42-161', '42-162', '42-163', '42-164']	42-161	['42-161', '42-162', '42-163', '42-164']	42-164	yes	RelationshipChange			
76	in voorige gerustheijt ende patisique posture herstelt	onse oude Bondtgenoten , in termen van nieuwe vruntschap te geraecken , daer door de gealtereerde ende verwijderde gemoederen [ in voorige gerustheijt ende patisique posture herstelt ] , ende alsoo t'vervoeren vervoeren vande Nagelen int aenstaende mochte voorgecomen werden , soo	['42-165', '42-166', '42-167', '42-168', '42-169', '42-170', '42-171']	42-165	['42-165', '42-166', '42-167', '42-168', '42-169', '42-170', '42-171']	42-171	yes	RelationshipChange			
83	vervoeren	geraecken , daer door de gealtereerde ende verwijderde gemoederen in voorige gerustheijt ende patisique posture herstelt , ende alsoo [ vervoeren ] vervoeren vande Nagelen int aenstaende mochte voorgecomen werden , soo lange niet gedisponeert sijn t'selue anders te beletten Schhtervolgende V		42-175.1	['42-175.1']	No Span	yes	Transportation			
85	procureren	coopmanschappen , resteerde bij t'comptoir aldaer noch omtrent soo veele , dat ongeveerlijck 150 . lasten Peper souden connen [ procureren ] . ( T‛sedert hebben verstaen , hoe alles aen Epper besteedt was , Waer ouer d'onse 150 . a 200		48-49	['48-49']	No Span	yes	Buying			
89	seijnden	tegen Martij toecomende omtrent 5000 . tpicol wever in Doorraedt sullen hebben . Noch geldt noch cleeden connen derrewaerts [ seijnden ] voor dat nieuw secours van Nederlandt ende Choromandel becomen „ 32 „ 4 . = Den oppercoopman van Jambij Cornelis		48-107	['48-107']	No Span	yes	Transportation			
91	obtineren	versocht heeft recompense voor onsen gepresteerden dienst , opt ' Exploict naer Dalimban , maer heeft niet anders connen [ obtineren ] dan uijtstel van betalinge des Tols , tot dat de Coninck Antwoordt op sijn versouck van Nieuw secours tegen Palimban		50-35	['50-35']	No Span	yes	Getting			
92	becompt	uijtstel van betalinge des Tols , tot dat de Coninck Antwoordt op sijn versouck van Nieuw secours tegen Palimban [ becompt ] ; Velck secours den Coninck van ons ongetwijffelt , met dier Intentie versoeckt , als wel e e vn e		50-56	['50-56']	No Span	yes	Getting			
93	becomen	Coninck van ons ongetwijffelt , met dier Intentie versoeckt , als wel e e vn e weetende , niet [ becomen ] en sal , op dat bij onse beijgeringh oorsaecke mocht capteren , ons de belooffde vrijheijt van toll voor 10		50-80	['50-80']	No Span	yes	Getting			
94	ontseggen	beijgeringh oorsaecke mocht capteren , ons de belooffde vrijheijt van toll voor 10 . a 12 . Jaren te [ ontseggen ] , ofte soo schoon andermael eenich secours sonden , dat het selue emmers dog vruchteloos als t'voorgaen soude doen slijten		50-107	['50-107']	No Span	no		This does not describe an event listed in the ontology		
99	lichten	ledich van daer herwaertse gesonden , ende nu versoecken sij andere , soo om de Peper van daer te [ lichten ] , als om Compes Volck ende restanten aldaer te mogen verseeckeren Onse tfachten Int ' vaerwater van Mallacca cruijssende ,		50-213	['50-213']	No Span	yes	Getting			
100	cruijssende	lichten , als om Compes Volck ende restanten aldaer te mogen verseeckeren Onse tfachten Int ' vaerwater van Mallacca [ cruijssende ] , hadden , niet anders verricht , dan met onse Jongste geaduiseert is ; E. ober deeen sijn vande Noort		51-8	['51-8']	No Span	yes	Voyage			
101	vertrocken	met onse Jongste geaduiseert is ; E. ober deeen sijn vande Noort naer Pedra branca , om de Zuijdt [ vertrocken ] C = a sog om de Maccausche dravetten daer omtrent te cruijssen Vooren Is geseijdt hoe hier van Teijouhan ende		51-36	['51-36']	No Span	yes	Leaving			
102	daer omtrent	sijn vande Noort naer Pedra branca , om de Zuijdt vertrocken C = a sog om de Maccausche dravetten [ daer omtrent ] te cruijssen Vooren Is geseijdt hoe hier van Teijouhan ende Japan Godtloff . abel aengecomen sijn de Schepen Brasimus	['51-45', '51-46']	51-45	['51-45', '51-46']	51-46	no		This does not describe an event listed in the ontology		
104	cruijssen	naer Pedra branca , om de Zuijdt vertrocken C = a sog om de Maccausche dravetten daer omtrent te [ cruijssen ] Vooren Is geseijdt hoe hier van Teijouhan ende Japan Godtloff . abel aengecomen sijn de Schepen Brasimus ende de Vreede		51-48	['51-48']	No Span	yes	Voyage			
