,mention,anchor_type,mention_token_id,mention_character_id,eventclass,Patient_offsets,Agent_offsets,Location_offsets,Time_offsets,AgentPatient_offsets,Benefactive_offsets,Cargo_offsets,Source_offsets,Target_offsets,Path_offsets,Instrument_offsets,mention_span,mention_span_ids,mention_in_context,eventclass_no_number,last_token_id
18,aanvoer,evokes,6-96,1569-1576,Transportation,None,None,None,None,None,None,None,['6-97[48]'],None,None,None,aanvoer,['6-96'],"Voorraad naar maatig zijn , Wijl de Fransche Vloot zeken on rijst zal vraagen , en de gemeente geen [ aanvoer ] uit Boengaale hoopen kan . Om deeze reedenen verzoeken Wij Uwe Hoog Edelheeden nogmaals op het ootmoedigste , om onzer",Transportation,6-96
19,verzoeken,isOfType,6-105,1621-1630,Request,['6-107[51]'],['6-106[49]'],None,None,None,None,None,None,None,None,None,verzoeken,['6-105'],"zeken on rijst zal vraagen , en de gemeente geen aanvoer uit Boengaale hoopen kan . Om deeze reedenen [ verzoeken ] Wij Uwe Hoog Edelheeden nogmaals op het ootmoedigste , om onzer voormelden Eisch kompleet te Willen voldoen , Wijl wij",Request,6-105
20,Eisch,evokes,6-118,1705-1710,Request,['6-107[52]'],['6-106[50]'],None,None,None,None,None,None,None,None,None,Eisch,['6-118'],"hoopen kan . Om deeze reedenen verzoeken Wij Uwe Hoog Edelheeden nogmaals op het ootmoedigste , om onzer voormelden [ Eisch ] kompleet te Willen voldoen , Wijl wij andersints in een indoorkonelijke Verleegerheid zouden VerVallen . Een schip Voor Gale en",Request,6-118
21,VerVallen,evokes,6-132,1803-1812,HavingInternalState-,['6-125'],None,None,None,None,None,None,None,None,None,None,VerVallen,['6-132'],"ootmoedigste , om onzer voormelden Eisch kompleet te Willen voldoen , Wijl wij andersints in een indoorkonelijke Verleegerheid zouden [ VerVallen ] . Een schip Voor Gale en een Voor Kolombo , zouden in Juri dienen te Vertrekken , om tijding in",HavingInternalState-,6-132
22,Vertrekken,isOfType,6-148,1880-1890,Leaving,None,"['6-134[53]', '6-139[56]']",None,['6-144[59]'],None,None,None,None,"['6-137[55]', '6-141[58]']",None,None,Vertrekken,['6-148'],"indoorkonelijke Verleegerheid zouden VerVallen . Een schip Voor Gale en een Voor Kolombo , zouden in Juri dienen te [ Vertrekken ] , om tijding in Augustus hier te weezen zij komen bewesten de Maldivos en mag de reize dus op niet",Leaving,6-148
23,weezen,evokes,6-156,1923-1929,Arriving,None,"['6-134[54]', '6-139[57]']",None,['6-151[60]'],None,None,None,None,['6-154'],None,None,weezen,['6-156'],"Gale en een Voor Kolombo , zouden in Juri dienen te Vertrekken , om tijding in Augustus hier te [ weezen ] zij komen bewesten de Maldivos en mag de reize dus op niet minder dan twee maanden bereekend Worden . Wanneer",Arriving,6-156
24,komen,isOfType,6-158,1934-1939,Translocation,['6-157[61]'],None,None,None,None,None,None,['6-159[63]'],None,None,None,komen,['6-158'],"een Voor Kolombo , zouden in Juri dienen te Vertrekken , om tijding in Augustus hier te weezen zij [ komen ] bewesten de Maldivos en mag de reize dus op niet minder dan twee maanden bereekend Worden . Wanneer UWe Hoogedelheeden",Translocation,6-158
25,reize,isOfType,6-165,1971-1976,Voyage,['6-157[62]'],None,None,None,None,None,None,['6-159[64]'],None,None,None,reize,['6-165'],"dienen te Vertrekken , om tijding in Augustus hier te weezen zij komen bewesten de Maldivos en mag de [ reize ] dus op niet minder dan twee maanden bereekend Worden . Wanneer UWe Hoogedelheeden , gelijk doorgaans , groote scheepen tot",Voyage,6-165
26,togt,isOfType,6-187,2104-2108,Voyage,None,['6-177[65]'],None,None,None,None,None,None,None,None,['6-183[66]'],togt,['6-187'],"niet minder dan twee maanden bereekend Worden . Wanneer UWe Hoogedelheeden , gelijk doorgaans , groote scheepen tot deezer [ togt ] uit kiezen , zal nog een derde niet alleen de gevraagde rijst , maar ook de overige goederen kunnen mede",Voyage,6-187
27,mede,isOfType,6-207,2207-2211,Transportation[222],"['6-203[69]', '6-197[68]']",None,None,None,None,None,None,None,None,None,['6-193[67]'],mede neemen,"['6-207', '6-208']","uit kiezen , zal nog een derde niet alleen de gevraagde rijst , maar ook de overige goederen kunnen [ mede neemen ] , Vermits wij zo lang de oorlog duurt , op geen onderlaag voor de retourscheepen denken mogen . Wij",Transportation,6-208
28,neemen,isOfType,6-208,2212-2218,Transportation[222],"['6-203[69]', '6-197[68]']",None,None,None,None,None,None,None,None,None,['6-193[67]'],mede neemen,"['6-207', '6-208']","uit kiezen , zal nog een derde niet alleen de gevraagde rijst , maar ook de overige goederen kunnen [ mede neemen ] , Vermits wij zo lang de oorlog duurt , op geen onderlaag voor de retourscheepen denken mogen . Wij",Transportation,6-208
29,oorlog,isOfType,6-215,2243-2249,BeingInConflict,['6-211'],None,None,None,None,None,None,None,None,None,None,oorlog,['6-215'],"alleen de gevraagde rijst , maar ook de overige goederen kunnen mede neemen , Vermits wij zo lang de [ oorlog ] duurt , op geen onderlaag voor de retourscheepen denken mogen . Wij verzoeken dan , dat ook dit derde schip",BeingInConflict,6-215
30,onderlaag,evokes,6-220,2265-2274,EndingAWar,['6-222[70]'],['6-222[70]'],None,None,['6-222[70]'],None,None,None,None,None,None,onderlaag,['6-220'],"maar ook de overige goederen kunnen mede neemen , Vermits wij zo lang de oorlog duurt , op geen [ onderlaag ] voor de retourscheepen denken mogen . Wij verzoeken dan , dat ook dit derde schip de twee anderen spoedig volge",EndingAWar,6-220
31,verzoeken,isOfType,6-228,2316-2325,Request,None,['6-227'],None,None,None,None,None,None,None,None,None,verzoeken,['6-228'],", Vermits wij zo lang de oorlog duurt , op geen onderlaag voor de retourscheepen denken mogen . Wij [ verzoeken ] dan , dat ook dit derde schip de twee anderen spoedig volge , op dat het in september hier zij",Request,6-228
32,volge,evokes,6-240,2379-2384,Translocation,['6-233[71]'],None,None,None,None,None,None,None,None,None,None,volge,['6-240'],"voor de retourscheepen denken mogen . Wij verzoeken dan , dat ook dit derde schip de twee anderen spoedig [ volge ] , op dat het in september hier zij , Voor dat de goede Moesson Vijandelijke kruissers na deezer kant doe",Translocation,6-240
33,zij,evokes,6-248,2415-2418,Arriving,None,['6-244'],None,['6-245[72]'],None,None,None,None,['6-247'],None,None,zij,['6-248'],"dan , dat ook dit derde schip de twee anderen spoedig volge , op dat het in september hier [ zij ] , Voor dat de goede Moesson Vijandelijke kruissers na deezer kant doe Verschijnen , en dat alle drie scheepen last",Arriving,6-248
34,Verschijnen,evokes,6-261,2488-2499,Arriving,None,['6-255[73]'],None,None,None,None,None,None,['6-257[74]'],None,None,Verschijnen,['6-261'],"op dat het in september hier zij , Voor dat de goede Moesson Vijandelijke kruissers na deezer kant doe [ Verschijnen ] , en dat alle drie scheepen last krijgen om de Mallabaarsche kust , na dat zij het karaal tusschen de",Arriving,6-261
35,last,evokes,6-268,2527-2531,BeingInConflict[223],['6-265[78]'],None,['6-271[80]'],None,None,None,None,None,None,None,None,last krijgen,"['6-268', '6-269']",", Voor dat de goede Moesson Vijandelijke kruissers na deezer kant doe Verschijnen , en dat alle drie scheepen [ last krijgen ] om de Mallabaarsche kust , na dat zij het karaal tusschen de Maldivos en LakkeriVes doorgevaaren zijn , op",BeingInConflict,6-269
36,krijgen,evokes,6-269,2532-2539,BeingInConflict[223],['6-265[78]'],None,['6-271[80]'],None,None,None,None,None,None,None,None,last krijgen,"['6-268', '6-269']",", Voor dat de goede Moesson Vijandelijke kruissers na deezer kant doe Verschijnen , en dat alle drie scheepen [ last krijgen ] om de Mallabaarsche kust , na dat zij het karaal tusschen de Maldivos en LakkeriVes doorgevaaren zijn , op",BeingInConflict,6-269
37,doorgevaaren,isOfType,6-285,2623-2635,Translocation,['6-265[75]'],None,None,None,None,None,None,None,None,['6-278[81]'],None,doorgevaaren,['6-285'],"drie scheepen last krijgen om de Mallabaarsche kust , na dat zij het karaal tusschen de Maldivos en LakkeriVes [ doorgevaaren ] zijn , op eene voorzigtige Wijze te Verkennen , en na „ de Ceilonsche Wal over te steeken , en",Translocation,6-285
38,Verkennen,evokes,6-293,2671-2680,Translocation,['6-265[76]'],None,['6-271[79]'],None,None,None,None,None,None,None,None,Verkennen,['6-293'],", na dat zij het karaal tusschen de Maldivos en LakkeriVes doorgevaaren zijn , op eene voorzigtige Wijze te [ Verkennen ] , en na „ de Ceilonsche Wal over te steeken , en dat de Engelschen bij Mannapaar zouden kunnen kruissers",Translocation,6-293
39,over,isOfType,7-4,2707-2711,Translocation[224],['6-265[77]'],None,None,None,None,None,None,None,['7-1[82]'],None,None,over te steeken,"['7-4', '7-5', '7-6']","Maldivos en LakkeriVes doorgevaaren zijn , op eene voorzigtige Wijze te Verkennen , en na „ de Ceilonsche Wal [ over te steeken ] , en dat de Engelschen bij Mannapaar zouden kunnen kruissers houden . De over heden Van beide schepen",Translocation,7-6
40,te,isOfType,7-5,2712-2714,Translocation[224],['6-265[77]'],None,None,None,None,None,None,None,['7-1[82]'],None,None,over te steeken,"['7-4', '7-5', '7-6']","Maldivos en LakkeriVes doorgevaaren zijn , op eene voorzigtige Wijze te Verkennen , en na „ de Ceilonsche Wal [ over te steeken ] , en dat de Engelschen bij Mannapaar zouden kunnen kruissers houden . De over heden Van beide schepen",Translocation,7-6
41,steeken,isOfType,7-6,2715-2722,Translocation[224],['6-265[77]'],None,None,None,None,None,None,None,['7-1[82]'],None,None,over te steeken,"['7-4', '7-5', '7-6']","Maldivos en LakkeriVes doorgevaaren zijn , op eene voorzigtige Wijze te Verkennen , en na „ de Ceilonsche Wal [ over te steeken ] , en dat de Engelschen bij Mannapaar zouden kunnen kruissers houden . De over heden Van beide schepen",Translocation,7-6
42,houden,isOfType,7-17,2783-2789,BeingAtAPlace,['7-16'],None,['7-12[83]'],None,None,None,None,None,None,None,None,houden,['7-17'],"en na „ de Ceilonsche Wal over te steeken , en dat de Engelschen bij Mannapaar zouden kunnen kruissers [ houden ] . De over heden Van beide schepen , maar voor al Van 't geene Voor Gale gedestineerd is , Verzoeken",BeingAtAPlace,7-17
43,gedestineerd,evokes,7-34,2860-2872,Translocation,['7-30[85]'],None,None,None,None,None,None,None,['7-33'],None,None,gedestineerd,['7-34'],"kunnen kruissers houden . De over heden Van beide schepen , maar voor al Van 't geene Voor Gale [ gedestineerd ] is , Verzoeken wij boven des te onderrigten , dat de stroomen in de Zuid moessen voor Gale zo hevig",Translocation,7-34
44,Verzoeken,isOfType,7-37,2877-2886,Request,['7-19[84]'],['7-38'],None,None,None,None,None,None,None,None,None,Verzoeken,['7-37'],". De over heden Van beide schepen , maar voor al Van 't geene Voor Gale gedestineerd is , [ Verzoeken ] wij boven des te onderrigten , dat de stroomen in de Zuid moessen voor Gale zo hevig om de Zuid",Request,7-37
45,looper,evokes,7-59,2987-2993,Translocation,['7-45[86]'],None,['7-55[87]'],None,None,None,None,None,None,None,None,looper,['7-59'],"des te onderrigten , dat de stroomen in de Zuid moessen voor Gale zo hevig om de Zuid Oost [ looper ] , dat een schip 't Welk maar even beneeden de baai is , met geen mogelijkheid de haven bezeilen kan",Translocation,7-59
46,is,isOfType,7-71,3044-3046,BeingAtAPlace,['7-62[89]'],None,['7-66[90]'],None,None,None,None,None,None,None,None,is,['7-71'],"Gale zo hevig om de Zuid Oost looper , dat een schip 't Welk maar even beneeden de baai [ is ] , met geen mogelijkheid de haven bezeilen kan , en dat zij dus alle Voorzorgen moeten gebruiken , om boven",BeingAtAPlace,7-71
47,bezeilen,isOfType,7-78,3079-3087,Translocation,['7-62[88]'],None,None,None,None,None,None,None,['7-76[91]'],None,None,bezeilen,['7-78'],"looper , dat een schip 't Welk maar even beneeden de baai is , met geen mogelijkheid de haven [ bezeilen ] kan , en dat zij dus alle Voorzorgen moeten gebruiken , om boven Wind en stroom van Gale te komen",Translocation,7-78
48,komen,isOfType,7-98,3178-3183,Translocation,['7-83[92]'],None,None,None,None,None,None,None,['7-91[95]'],None,None,komen,['7-98'],"kan , en dat zij dus alle Voorzorgen moeten gebruiken , om boven Wind en stroom van Gale te [ komen ] , en daar of ten anker komen of het onder zeil houden , na dat de geleegenheid toelaat , tot",Translocation,7-98
49,ten,evokes,7-103,3196-3199,BeingAtAPlace[225],['7-83[93]'],None,['7-91[96]'],None,None,None,None,None,None,None,None,ten anker komen,"['7-103', '7-104', '7-105']","dus alle Voorzorgen moeten gebruiken , om boven Wind en stroom van Gale te komen , en daar of [ ten anker komen ] of het onder zeil houden , na dat de geleegenheid toelaat , tot een loots buiten komt om",BeingAtAPlace,7-105
50,anker,evokes,7-104,3200-3205,BeingAtAPlace[225],['7-83[93]'],None,['7-91[96]'],None,None,None,None,None,None,None,None,ten anker komen,"['7-103', '7-104', '7-105']","dus alle Voorzorgen moeten gebruiken , om boven Wind en stroom van Gale te komen , en daar of [ ten anker komen ] of het onder zeil houden , na dat de geleegenheid toelaat , tot een loots buiten komt om",BeingAtAPlace,7-105
51,komen,evokes,7-105,3206-3211,BeingAtAPlace[225],['7-83[93]'],None,['7-91[96]'],None,None,None,None,None,None,None,None,ten anker komen,"['7-103', '7-104', '7-105']","dus alle Voorzorgen moeten gebruiken , om boven Wind en stroom van Gale te komen , en daar of [ ten anker komen ] of het onder zeil houden , na dat de geleegenheid toelaat , tot een loots buiten komt om",BeingAtAPlace,7-105
52,onder,evokes,7-108,3219-3224,Translocation[226],['7-83[94]'],None,['7-91[97]'],None,None,None,None,None,None,None,['7-107'],onder zeil houden,"['7-108', '7-109', '7-110']",", om boven Wind en stroom van Gale te komen , en daar of ten anker komen of het [ onder zeil houden ] , na dat de geleegenheid toelaat , tot een loots buiten komt om hen binnen de haven te",Translocation,7-110
53,zeil,evokes,7-109,3225-3229,Translocation[226],['7-83[94]'],None,['7-91[97]'],None,None,None,None,None,None,None,['7-107'],onder zeil houden,"['7-108', '7-109', '7-110']",", om boven Wind en stroom van Gale te komen , en daar of ten anker komen of het [ onder zeil houden ] , na dat de geleegenheid toelaat , tot een loots buiten komt om hen binnen de haven te",Translocation,7-110
54,houden,evokes,7-110,3230-3236,Translocation[226],['7-83[94]'],None,['7-91[97]'],None,None,None,None,None,None,None,['7-107'],onder zeil houden,"['7-108', '7-109', '7-110']",", om boven Wind en stroom van Gale te komen , en daar of ten anker komen of het [ onder zeil houden ] , na dat de geleegenheid toelaat , tot een loots buiten komt om hen binnen de haven te",Translocation,7-110
55,buiten,isOfType,7-121,3284-3290,Translocation[227],['7-119[98]'],None,None,None,None,None,None,None,None,None,None,buiten komt,"['7-121', '7-122']","of ten anker komen of het onder zeil houden , na dat de geleegenheid toelaat , tot een loots [ buiten komt ] om hen binnen de haven te brengen ; en dat , indier zij tegen alle hunne gebruikte Voorzorgen beneden",Translocation,7-122
56,komt,isOfType,7-122,3291-3295,Translocation[227],['7-119[98]'],None,None,None,None,None,None,None,None,None,None,buiten komt,"['7-121', '7-122']","of ten anker komen of het onder zeil houden , na dat de geleegenheid toelaat , tot een loots [ buiten komt ] om hen binnen de haven te brengen ; en dat , indier zij tegen alle hunne gebruikte Voorzorgen beneden",Translocation,7-122
57,brengen,isOfType,7-129,3322-3329,Translocation,['7-124'],['7-119[99]'],None,None,None,None,None,None,['7-125[100]'],None,None,brengen,['7-129'],"houden , na dat de geleegenheid toelaat , tot een loots buiten komt om hen binnen de haven te [ brengen ] ; en dat , indier zij tegen alle hunne gebruikte Voorzorgen beneden de baai van Gale mogten Vervallen , zij",Translocation,7-129
58,Vervallen,evokes,7-147,3420-3429,Translocation,['7-135[101]'],None,None,None,None,None,None,None,['7-141[103]'],None,None,Vervallen,['7-147'],"te brengen ; en dat , indier zij tegen alle hunne gebruikte Voorzorgen beneden de baai van Gale mogten [ Vervallen ] , zij het onder de Wal het zij Voor Gale of Mature moeten tragten te houden , en sein doen",Translocation,7-147
59,houden,evokes,7-163,3498-3504,BeingAtAPlace,['7-135[102]'],None,"['7-151[104]', '7-156[105]', '7-159']",None,None,None,None,None,None,None,None,houden,['7-163'],"van Gale mogten Vervallen , zij het onder de Wal het zij Voor Gale of Mature moeten tragten te [ houden ] , en sein doen , Wanneer hen ten eersten een loots zal worden toegezonden , om hen in de baai",BeingAtAPlace,7-163
60,toegezonden,isOfType,7-177,3565-3576,Translocation,['7-173[106]'],None,None,None,None,None,None,None,['7-170'],None,None,toegezonden,['7-177'],"of Mature moeten tragten te houden , en sein doen , Wanneer hen ten eersten een loots zal worden [ toegezonden ] , om hen in de baai Van Nilewelle te brengen , alwaar een schip Voor de Zuide Winden Veilig leggen",Translocation,7-177
61,brengen,isOfType,7-187,3613-3620,Translocation,['7-180'],['7-173[107]'],None,None,None,None,None,None,['7-182[108]'],None,None,brengen,['7-187'],", Wanneer hen ten eersten een loots zal worden toegezonden , om hen in de baai Van Nilewelle te [ brengen ] , alwaar een schip Voor de Zuide Winden Veilig leggen kan , en de eerste Verandering van Wind en Stroon",Translocation,7-187
62,leggen,isOfType,7-197,3667-3673,BeingAtAPlace,['7-190[109]'],None,['7-189'],None,None,None,None,None,None,None,None,leggen,['7-197'],", om hen in de baai Van Nilewelle te brengen , alwaar een schip Voor de Zuide Winden Veilig [ leggen ] kan , en de eerste Verandering van Wind en Stroon Kan Waarneemen om na Gale te Zeilen . Bij onzen",BeingAtAPlace,7-197
63,Verandering,isOfType,7-203,3692-3703,InternalChange,['7-205[111]'],None,None,None,None,None,None,None,None,None,None,Verandering,['7-203'],"Van Nilewelle te brengen , alwaar een schip Voor de Zuide Winden Veilig leggen kan , en de eerste [ Verandering ] van Wind en Stroon Kan Waarneemen om na Gale te Zeilen . Bij onzen eerbiedigen van den 12:e februari hebben",InternalChange,7-203
64,Zeilen,evokes,7-214,3752-3758,Translocation,['7-190[110]'],None,None,None,None,None,None,None,['7-212'],None,None,Zeilen,['7-214'],"Winden Veilig leggen kan , en de eerste Verandering van Wind en Stroon Kan Waarneemen om na Gale te [ Zeilen ] . Bij onzen eerbiedigen van den 12:e februari hebben wij de eer gehad Uwe Hoog Edelheeden te bedeelen , de",Translocation,7-214
65,bedeelen,isOfType,7-232,3851-3859,SocialInteraction,"['7-224', '7-228[112]']","['7-224', '7-228[112]']",None,None,"['7-224', '7-228[112]']",None,None,None,None,None,None,bedeelen,['7-232'],"te Zeilen . Bij onzen eerbiedigen van den 12:e februari hebben wij de eer gehad Uwe Hoog Edelheeden te [ bedeelen ] , de verslagenheid van het Randiasche Hof over den voorspoed van de Engelsche Wapenen , en dat het zelve ons",SocialInteraction,7-232
66,voorspoed,isOfType,7-242,3910-3919,HavingInternalState+,['7-244[114]'],None,None,None,None,None,None,None,None,None,None,voorspoed,['7-242'],"hebben wij de eer gehad Uwe Hoog Edelheeden te bedeelen , de verslagenheid van het Randiasche Hof over den [ voorspoed ] van de Engelsche Wapenen , en dat het zelve ons kennis had gegeeven van een gezantschap van den Engelschen ,",HavingInternalState+,7-242
67,kennis,isOfType,7-253,3967-3973,SocialInteraction[228],"['7-250[115]', '7-252']","['7-250[115]', '7-252']",None,None,"['7-250[115]', '7-252']",None,None,None,None,None,None,kennis had gegeeven,"['7-253', '7-254', '7-255']","de verslagenheid van het Randiasche Hof over den voorspoed van de Engelsche Wapenen , en dat het zelve ons [ kennis had gegeeven ] van een gezantschap van den Engelschen , 't Welk zoude moeten aangenomen Worden om hen niet te Verstooren",SocialInteraction,7-255
68,had,isOfType,7-254,3974-3977,SocialInteraction[228],"['7-250[115]', '7-252']","['7-250[115]', '7-252']",None,None,"['7-250[115]', '7-252']",None,None,None,None,None,None,kennis had gegeeven,"['7-253', '7-254', '7-255']","de verslagenheid van het Randiasche Hof over den voorspoed van de Engelsche Wapenen , en dat het zelve ons [ kennis had gegeeven ] van een gezantschap van den Engelschen , 't Welk zoude moeten aangenomen Worden om hen niet te Verstooren",SocialInteraction,7-255
69,gegeeven,isOfType,7-255,3978-3986,SocialInteraction[228],"['7-250[115]', '7-252']","['7-250[115]', '7-252']",None,None,"['7-250[115]', '7-252']",None,None,None,None,None,None,kennis had gegeeven,"['7-253', '7-254', '7-255']","de verslagenheid van het Randiasche Hof over den voorspoed van de Engelsche Wapenen , en dat het zelve ons [ kennis had gegeeven ] van een gezantschap van den Engelschen , 't Welk zoude moeten aangenomen Worden om hen niet te Verstooren",SocialInteraction,7-255
