	mention_span	mention_in_context	mention_span_ids	mention_token_id	mention_ids	last_token_id	Should this mention be annotated as an event?	If so, which event class should the mention be annotated with?	If not, why not?	If span incorrect, provide correct span	comments
47	gedaelt	grooten Interest moeten betalen Ede specerijen Nagelen , Nooten ende foelije waren meer dan 50 . Rcento in prijs [ gedaelt ] , conden geene vercoopen , dan tot leegen Phris Ambeine Banda Js Almigon eicht bij paliacatte drijuen d'Engelschen haren handel		33-16	['33-16']	No Span	yes	Decreasing			
49	leegen	Nooten ende foelije waren meer dan 50 . Rcento in prijs gedaelt , conden geene vercoopen , dan tot [ leegen ] Phris Ambeine Banda Js Almigon eicht bij paliacatte drijuen d'Engelschen haren handel , welcke plaetse haer soo : dienstich is		33-24	['33-24']	No Span	yes	Decreasing			Zie opmerking bij 'dier', maar dan tegenovergesteld.
51	ouergegaen	. geboorden hadden t ' Jacht Wedenblycq met een Capitael van l 120885 „ 15 „ Waer mede oock [ ouergegaen ] is , Mousabeeck , Ambassadeur des Conincks van Pertia . Onise cruijssende Jachten hebben t'selue den 35e Octob . pasto		36-37	['36-37']	No Span	yes	Translocation			
52	reijs	pasto . omtrent ppoulo - Vercelaer bij Noorden Mallacca gerescontreert . Waer ouer aipvarent is , dat een spoedige [ reijs ] doen sal , twelck Godt gene dr 21e . Septembris pasen . was t'Jacht Grombershanen van Masilivas . naer Arraccan		36-76	['36-76']	No Span	yes	Voyage			
56	aendoen	coopmanschappen ende prouisien gesonden de Schepen Suijdthollandt ende den Arent , met ordre dat in compen . Amboina sullen [ aendoen ] , ende dat het Shp Hollandt van daer voorts naer Banda sal loopen , soo haest in Amboina gemust _		38-36	['38-36']	No Span	yes	Translocation			
59	Oppercoopman	_ . can worden Met gemelte Schepen hebben wij naer Amboina ende Banda affgevaerdicht als onse expresse Gecommitteerde den [ Oppercoopman ] Gregorius Cornelij ermmate Etr ende Capn . Marten Jansz Vogel , omme in d‛een ende d'ander plaets te bevoirderen sulcx		39-16	['39-16']	No Span	no		This does not describe an event listed in the ontology		
60	Capn	Schepen hebben wij naer Amboina ende Banda affgevaerdicht als onse expresse Gecommitteerde den Oppercoopman Gregorius Cornelij ermmate Etr ende [ Capn ] . Marten Jansz Vogel , omme in d‛een ende d'ander plaets te bevoirderen sulcx als den meesten dienst ende woelstandt		40-2	['40-2']	No Span	no		This does not describe an event listed in the ontology		
61	Commissaris	Compen . aldaer vereijscht , Insonderheijt inde Quartieren van Amboina , alwaer wbij bevinden volgens t'schriftelijck schriftelijck verbael vanden [ Commissaris ] Gillis Seijs , In April pase . aende cant van 616 . blancke coppen in dienst ende gagie vande Compnie		40-42	['40-42']	No Span	no		This does not describe an event listed in the ontology		
62	in dienst	t'schriftelijck schriftelijck verbael vanden Commissaris Gillis Seijs , In April pase . aende cant van 616 . blancke coppen [ in dienst ] ende gagie vande Compnie . gehouden wierden , beneffens 208 . slanen sijnde voorwaer een groot getal , daer	['40-57', '40-58']	40-57	['40-57', '40-58']	40-58	no		This does not describe an event listed in the ontology		
65	vorderlijcker	miet ongebiender macht te weeten van 150 . Coppen ten hoochsten , aldaer geseten wais ongelijck meerder ontsach , [ vorderlijcker ] handel ende treffelycker nagel retour van daer becomen ; Van welcke 616 . coppen , 162 . Tsoonen , ende		40-133	['40-133']	No Span	no		This does not describe an event listed in the ontology		
66	treffelycker	te weeten van 150 . Coppen ten hoochsten , aldaer geseten wais ongelijck meerder ontsach , vorderlijcker handel ende [ treffelycker ] nagel retour van daer becomen ; Van welcke 616 . coppen , 162 . Tsoonen , ende dat apparent vande		40-136	['40-136']	No Span	no		This does not describe an event listed in the ontology		
67	becomen	Coppen ten hoochsten , aldaer geseten wais ongelijck meerder ontsach , vorderlijcker handel ende treffelycker nagel retour van daer [ becomen ] ; Van welcke 616 . coppen , 162 . Tsoonen , ende dat apparent vande ervarenste ende loeckste Soldaten ,		40-141	['40-141']	No Span	yes	Getting			
68	d'ffiuasien	. progres ende Goulagiement in gemelte Quartieren gants niet gevoirdert Werct soo is oock deselue niet bastandt , omme [ d'ffiuasien ] van externer Vijanden te connen resisteren , nochte oock d'Imboonders alsse ontrouw Wesen willen , in ontsach ende dwang te		40-196	['40-196']	No Span	yes	ViolentContest			
69	Vijanden	Goulagiement in gemelte Quartieren gants niet gevoirdert Werct soo is oock deselue niet bastandt , omme d'ffiuasien van externer [ Vijanden ] te connen resisteren , nochte oock d'Imboonders alsse ontrouw Wesen willen , in ontsach ende dwang te houden , Gelijck		40-199	['40-199']	No Span	no		This does not describe an event listed in the ontology		
71	extensie	ende last , geschiet is ) weder in te trecken , met expres Verboth dat int ' aenstaende geene [ extensie ] van Garnisoenen ofte fortificatien meer voorgenomen werden , sonder alvooren daer toee speciale last ende ordre van ons becomen Is		40-274	['40-274']	No Span	yes	QuantityChange			
72	bloetstorting	Ende dewijle men door extremiteijt van wapenen ( twelck doch niet dan groote lasten , onseeckere uijtcompsten , horrible [ bloetstorting ] , Herderff van menschen ende Landen , hadije ende emulatie van nabuijren mitsgaders voor eerst groote verachtering in des Compes		42-20	['42-20']	No Span	yes	ViolentContest			
73	Herderff	men door extremiteijt van wapenen ( twelck doch niet dan groote lasten , onseeckere uijtcompsten , horrible bloetstorting , [ Herderff ] van menschen ende Landen , hadije ende emulatie van nabuijren mitsgaders voor eerst groote verachtering in des Compes . nootwendich		42-22	['42-22']	No Span	yes	ViolentContest			
76	Bondtgenoten	, met die van Bittoe , Loeboe , Combello , dessidi , Orang ende consorten , als onse oude [ Bondtgenoten ] , in termen van nieuwe vruntschap te geraecken , daer door de gealtereerde ende verwijderde gemoederen in voorige gerustheijt ende		42-148	['42-148']	No Span	no		This does not describe an event listed in the ontology		
77	t'vervoeren	geraecken , daer door de gealtereerde ende verwijderde gemoederen in voorige gerustheijt ende patisique posture herstelt , ende alsoo [ t'vervoeren ] vande Nagelen int aenstaende mochte voorgecomen werden , soo lange niet gedisponeert sijn t'selue anders te beletten Schhtervolgende V Ed		42-175	['42-175']	No Span	yes	Transportation			
78	becomen	V. Ed : Gouuernements , Directien , Comptoiren ende Residentien in Jndia bij sonder beraemt , ende met hollandia [ becomen ] , hebben wij dvoors de tromme 1 Aoor bij enen 3 eeen Gecommitteerde mede gelast UEd : ordre desen ,		43-29	['43-29']	No Span	yes	Getting			
79	bevoirderen	bij enen 3 eeen Gecommitteerde mede gelast UEd : ordre desen , raeckende in gemelte Quartieren van gelijcken te [ bevoirderen ] ende waer te nemen , gelijck V Ed : bij neuensgaende copie van onse Instructie , aende selue mede gegeuen		47-16	['47-16']	No Span	no		This does not describe an event listed in the ontology		
80	gegeuen	ende waer te nemen , gelijck V Ed : bij neuensgaende copie van onse Instructie , aende selue mede [ gegeuen ] , van d‛een ende d'ander naerder onderrichtinge sult connen becomen , Waer aen ons voirder gedraegen Van Jambij sijn hier		47-36	['47-36']	No Span	yes	Translocation		[ mede gegeuen ]	
82	resteerde	Jachten Beuerwijck ende de Bare geladen met 5100 xi . P ever „ aen geldt , ende coopmanschappen , [ resteerde ] bij t'comptoir aldaer noch omtrent soo veele , dat ongeveerlijck 150 . lasten Peper souden connen procureren . ( T‛sedert		48-32	['48-32']	No Span	no		This does not describe an event listed in the ontology		
85	gesonden	d'onse 150 . a 200 . pagqe . vleeden niet eenich geldt versoucken , gissing maeckende , soo die [ gesonden ] werden , dat tegen Martij toecomende omtrent 5000 . tpicol wever in Doorraedt sullen hebben . Noch geldt noch cleeden		48-84	['48-84']	No Span	yes	Transportation			
88	oppercoopman	connen derrewaerts seijnden voor dat nieuw secours van Nederlandt ende Choromandel becomen „ 32 „ 4 . = Den [ oppercoopman ] van Jambij Cornelis vander Hoeff aduiseert ons , hoe vanden Coninck van Jambij versocht heeft recompense voor onsen gepresteerden dienst		50-2	['50-2']	No Span	no		This does not describe an event listed in the ontology		
89	Coninck	becomen „ 32 „ 4 . = Den oppercoopman van Jambij Cornelis vander Hoeff aduiseert ons , hoe vanden [ Coninck ] van Jambij versocht heeft recompense voor onsen gepresteerden dienst , opt ' Exploict naer Dalimban , maer heeft niet anders		50-13	['50-13']	No Span	no		This does not describe an event listed in the ontology		
90	recompense	. = Den oppercoopman van Jambij Cornelis vander Hoeff aduiseert ons , hoe vanden Coninck van Jambij versocht heeft [ recompense ] voor onsen gepresteerden dienst , opt ' Exploict naer Dalimban , maer heeft niet anders connen obtineren dan uijtstel van		50-18	['50-18']	No Span	no		This does not describe an event listed in the ontology		Op zich wel een interessant event (genoegdoening eisen).
91	betalinge	onsen gepresteerden dienst , opt ' Exploict naer Dalimban , maer heeft niet anders connen obtineren dan uijtstel van [ betalinge ] des Tols , tot dat de Coninck Antwoordt op sijn versouck van Nieuw secours tegen Palimban becompt ; Velck secours		50-39	['50-39']	No Span	no		This does not describe an event listed in the ontology		
92	Coninck	naer Dalimban , maer heeft niet anders connen obtineren dan uijtstel van betalinge des Tols , tot dat de [ Coninck ] Antwoordt op sijn versouck van Nieuw secours tegen Palimban becompt ; Velck secours den Coninck van ons ongetwijffelt , met		50-46	['50-46']	No Span	no		This does not describe an event listed in the ontology		
93	sonden	vrijheijt van toll voor 10 . a 12 . Jaren te ontseggen , ofte soo schoon andermael eenich secours [ sonden ] , dat het selue emmers dog vruchteloos als t'voorgaen soude doen slijten ende eventeren ; DWijle wij voorseecker souden dat		50-115	['50-115']	No Span	no		This does not describe an event listed in the ontology		
98	mastelaos	Japan Godtloff . abel aengecomen sijn de Schepen Brasimus ende de Vreede . t Schip , de Vreede heel [ mastelaos ] , sijnde op 5â Draden bij N. den Aquinoctiael alle de masten ouer boort geblingert , ende in groot perijckel		52-28	['52-28']	No Span	yes	HavingInternalState-			
99	alle de masten ouer boort geblingert	de Vreede . t Schip , de Vreede heel mastelaos , sijnde op 5â Draden bij N. den Aquinoctiael [ alle de masten ouer boort geblingert ] , ende in groot perijckel geweest . hebben door haer verstaen , hoe d'heere bij	['52-38', '52-39', '52-40', '52-41', '52-42', '52-43']	52-38	['52-38', '52-39', '52-40', '52-41', '52-42', '52-43']	52-43	no		This does not describe an event listed in the ontology		Span ook onjuist.
