	mention_span	mention_in_context	mention_span_ids	mention_token_id	mention_ids	last_token_id	Should this mention be annotated as an event?	If so, which event class should the mention be annotated with?	If not, why not?	If span incorrect, provide correct span	comments
52	merckelijcken affganck ende verachteringe	, daer mede de Compene . in Amboina buijten Proportie , met ouer groote lasten , ende euenwel niet [ merckelijcken affganck ende verachteringe ] in haere Negotie en Nagel retour beswaert sit , hebbende in voortijden , doen sij miet ongebiender	['40-95', '40-96', '40-97', '40-98']	40-95	['40-95', '40-96', '40-97', '40-98']	40-98	yes	HavingInternalState-			
56	verdeelt	162 . Tsoonen , ende dat apparent vande ervarenste ende loeckste Soldaten , op acht verscheijden plaetsen in Garnisoen [ verdeelt ] sij Behaluen dat met voorsz verdeelinge tot Compes . progres ende Goulagiement in gemelte Quartieren gants niet gevoirdert Werct soo		40-168	['40-168']	No Span	yes	InternalChange			
57	ffiuasien	. progres ende Goulagiement in gemelte Quartieren gants niet gevoirdert Werct soo is oock deselue niet bastandt , omme [ ffiuasien ] ffiuasien van externer Vijanden te connen resisteren , nochte oock d'Imboonders alsse ontrouw Wesen willen , in ontsach ende dwang		40-196.1	['40-196.1']	No Span	yes	Invasion			
58	ontrouw	oock deselue niet bastandt , omme d'ffiuasien ffiuasien van externer Vijanden te connen resisteren , nochte oock d'Imboonders alsse [ ontrouw ] Wesen willen , in ontsach ende dwang te houden , Gelijck als op Bouro ende inde Manipes met schande ende		40-208	['40-208']	No Span	yes			ontrouw wesen willen	not sure any of the available events are a good match for the term: 'want to be disloyal.' 
67	verachtering	, horrible bloetstorting , Herderff van menschen ende Landen , hadije ende emulatie van nabuijren mitsgaders voor eerst groote [ verachtering ] in des Compes . nootwendich soulaes ( den Nagelhandel ) naer hem is bleijpende ) Jegenwoordich niet gedisponeert is ,		42-37	['42-37']	No Span	yes	Damaging			
72	gealtereerde ende verwijderde gemoederen	ende consorten , als onse oude Bondtgenoten , in termen van nieuwe vruntschap te geraecken , daer door de [ gealtereerde ende verwijderde gemoederen ] in voorige gerustheijt ende patisique posture herstelt , ende alsoo t'vervoeren vervoeren vande Nagelen int aenstaende mochte	['42-161', '42-162', '42-163', '42-164']	42-161	['42-161', '42-162', '42-163', '42-164']	42-164	yes	InternalChange			This could also be relationship change. 
83	vervoeren	geraecken , daer door de gealtereerde ende verwijderde gemoederen in voorige gerustheijt ende patisique posture herstelt , ende alsoo [ vervoeren ] vervoeren vande Nagelen int aenstaende mochte voorgecomen werden , soo lange niet gedisponeert sijn t'selue anders te beletten Schhtervolgende V		42-175.1	['42-175.1']	No Span	yes	Transportation			
88	Doorraedt	, gissing maeckende , soo die gesonden werden , dat tegen Martij toecomende omtrent 5000 . tpicol wever in [ Doorraedt ] sullen hebben . Noch geldt noch cleeden connen derrewaerts seijnden voor dat nieuw secours van Nederlandt ende Choromandel becomen „		48-97	['48-97']	No Span	yes	SocialInteraction			I take this to mean 'by way of discussion'? The social interaction event seems most appropriate of the events available. 
93	becomen	Coninck van ons ongetwijffelt , met dier Intentie versoeckt , als wel e e vn e weetende , niet [ becomen ] en sal , op dat bij onse beijgeringh oorsaecke mocht capteren , ons de belooffde vrijheijt van toll voor 10		50-80	['50-80']	No Span	yes	Getting			
94	ontseggen	beijgeringh oorsaecke mocht capteren , ons de belooffde vrijheijt van toll voor 10 . a 12 . Jaren te [ ontseggen ] , ofte soo schoon andermael eenich secours sonden , dat het selue emmers dog vruchteloos als t'voorgaen soude doen slijten		50-107	['50-107']	No Span	yes	BeingInARelationship			This one could either be altering a relationship, ending a relationship, change in contractual agreement or ending a contractual agreement (presuming that there was a contract involved). 
97	gesonden	Palimban sijn de Jambinesen tegenwoordich vrij wat bevreest , oor desen hebben d'onse verscheijden Schepen ledich van daer herwaertse [ gesonden ] , ende nu versoecken sij andere , soo om de Peper van daer te lichten , als om Compes Volck		50-198	['50-198']	No Span	yes	Translocation			
99	lichten	ledich van daer herwaertse gesonden , ende nu versoecken sij andere , soo om de Peper van daer te [ lichten ] , als om Compes Volck ende restanten aldaer te mogen verseeckeren Onse tfachten Int ' vaerwater van Mallacca cruijssende ,		50-213	['50-213']	No Span					not sure what lichten means here. 
102	daer omtrent	sijn vande Noort naer Pedra branca , om de Zuijdt vertrocken C = a sog om de Maccausche dravetten [ daer omtrent ] te cruijssen Vooren Is geseijdt hoe hier van Teijouhan ende Japan Godtloff . abel aengecomen sijn de Schepen Brasimus	['51-45', '51-46']	51-45	['51-45', '51-46']	51-46	no				I wouldn't regard this as an event. 
104	cruijssen	naer Pedra branca , om de Zuijdt vertrocken C = a sog om de Maccausche dravetten daer omtrent te [ cruijssen ] Vooren Is geseijdt hoe hier van Teijouhan ende Japan Godtloff . abel aengecomen sijn de Schepen Brasimus ende de Vreede		51-48	['51-48']	No Span	yes	Encounter			meaning intercept here? 
