	mention_span	mention_in_context	mention_span_ids	mention_token_id	mention_ids	last_token_id	Should this mention be annotated as an event?	If so, which event class should the mention be annotated with?	If not, why not?	If span incorrect, provide correct span	comments
40	verboden	plaetse haer soo : dienstich is , als ons Paliacatte . Op haer versouck is d'onse den handel aldaer [ verboden ] , hebben daer een steenen Huijs geboudt met een aerden weal omtrocken , ende geuen - . uijt aldaer fortificeren		35-31	['35-31']	No Span	yes	ForceToAct			Unsure. Does forbidding evoke forcing someone to not act?
43	cruijssende	120885 „ 15 „ Waer mede oock ouergegaen is , Mousabeeck , Ambassadeur des Conincks van Pertia . Onise [ cruijssende ] Jachten hebben t'selue den 35e Octob . pasto . omtrent ppoulo - Vercelaer bij Noorden Mallacca gerescontreert . Waer ouer		36-49	['36-49']	No Span	yes	Encounter			
46	besteden	. naer Arraccan vertrocken met een Cargasoen van ƒ 3900 . om tselue aen blauen , otterijs rijs te [ besteden ] , met ordre dat tegen hal ff December weder voor Masilipats . Keere . uo 16en . Decemb . passaco		37-29	['37-29']	No Span	yes	Buying			
51	bevinden	den meesten dienst ende woelstandt vande Compen . aldaer vereijscht , Insonderheijt inde Quartieren van Amboina , alwaer wbij [ bevinden ] volgens t'schriftelijck schriftelijck verbael vanden Commissaris Gillis Seijs , In April pase . aende cant van 616 . blancke coppen		40-37	['40-37']	No Span	no		This does not describe an event listed in the ontology		
56	verdeelt	162 . Tsoonen , ende dat apparent vande ervarenste ende loeckste Soldaten , op acht verscheijden plaetsen in Garnisoen [ verdeelt ] sij Behaluen dat met voorsz verdeelinge tot Compes . progres ende Goulagiement in gemelte Quartieren gants niet gevoirdert Werct soo		40-168	['40-168']	No Span	no		This does not describe an event listed in the ontology		
57	ffiuasien	. progres ende Goulagiement in gemelte Quartieren gants niet gevoirdert Werct soo is oock deselue niet bastandt , omme [ ffiuasien ] ffiuasien van externer Vijanden te connen resisteren , nochte oock d'Imboonders alsse ontrouw Wesen willen , in ontsach ende dwang		40-196.1	['40-196.1']	No Span	yes	Invasion			
58	ontrouw	oock deselue niet bastandt , omme d'ffiuasien ffiuasien van externer Vijanden te connen resisteren , nochte oock d'Imboonders alsse [ ontrouw ] Wesen willen , in ontsach ende dwang te houden , Gelijck als op Bouro ende inde Manipes met schande ende		40-208	['40-208']	No Span	yes	Unrest			
64	extremiteijt van wapenen	alvooren daer toee speciale last ende ordre van ons becomen Is hebben Visitate ge . Ende dewijle men door [ extremiteijt van wapenen ] ( twelck doch niet dan groote lasten , onseeckere uijtcompsten , horrible bloetstorting , Herderff van menschen ende	['42-5', '42-6', '42-7']	42-5	['42-5', '42-6', '42-7']	42-7	no		Other (write in comments)		I am still unsure as to what precisely this means. Do they mean literally that the presence of lots of weapons/troops brings about high costs, uncertainty, etc. or does extremiteijt van wapenen actually mean conflict itself?
70	restaureren	is bleijpende ) Jegenwoordich niet gedisponeert is , den vervallen Stadt inde Quartieren van Ambr . naer behooren te [ restaureren ] ende te verseeckeren , ende dat het in aller manieren geradender ende voor de presente gestaltenisser vande Compe . nitter		42-69	['42-69']	No Span	no		Other (write in comments)		Not really sure about the event type for this one. It is about restoring the "stand" in the quartieren. Can you repair a stand?
72	gealtereerde ende verwijderde gemoederen	ende consorten , als onse oude Bondtgenoten , in termen van nieuwe vruntschap te geraecken , daer door de [ gealtereerde ende verwijderde gemoederen ] in voorige gerustheijt ende patisique posture herstelt , ende alsoo t'vervoeren vervoeren vande Nagelen int aenstaende mochte	['42-161', '42-162', '42-163', '42-164']	42-161	['42-161', '42-162', '42-163', '42-164']	42-164	no		Other (write in comments)		 Does this evoke conflict or unrest or maybe relationshipchange? How much too read into it.
76	in voorige gerustheijt ende patisique posture herstelt	onse oude Bondtgenoten , in termen van nieuwe vruntschap te geraecken , daer door de gealtereerde ende verwijderde gemoederen [ in voorige gerustheijt ende patisique posture herstelt ] , ende alsoo t'vervoeren vervoeren vande Nagelen int aenstaende mochte voorgecomen werden , soo	['42-165', '42-166', '42-167', '42-168', '42-169', '42-170', '42-171']	42-165	['42-165', '42-166', '42-167', '42-168', '42-169', '42-170', '42-171']	42-171	yes	EndingConflict	The span selection is incorrect		The span feels too long, but i feel like any subspan doesn't really cover the event. (I couldn't remove the selected option in the J column)
83	vervoeren	geraecken , daer door de gealtereerde ende verwijderde gemoederen in voorige gerustheijt ende patisique posture herstelt , ende alsoo [ vervoeren ] vervoeren vande Nagelen int aenstaende mochte voorgecomen werden , soo lange niet gedisponeert sijn t'selue anders te beletten Schhtervolgende V		42-175.1	['42-175.1']	No Span	yes	Transportation			
91	obtineren	versocht heeft recompense voor onsen gepresteerden dienst , opt ' Exploict naer Dalimban , maer heeft niet anders connen [ obtineren ] dan uijtstel van betalinge des Tols , tot dat de Coninck Antwoordt op sijn versouck van Nieuw secours tegen Palimban		50-35	['50-35']	No Span	no	Getting	Other (write in comments)		Do we use Getting (and other possession events) for intangible things like 'uitstel' or 'antwoord'? I chose not to at the moment based on the wiki, but if those are included I would annotate these next three as Getting events
92	becompt	uijtstel van betalinge des Tols , tot dat de Coninck Antwoordt op sijn versouck van Nieuw secours tegen Palimban [ becompt ] ; Velck secours den Coninck van ons ongetwijffelt , met dier Intentie versoeckt , als wel e e vn e		50-56	['50-56']	No Span	no	Getting	Other (write in comments)		Clarity regarding getting for intangible things like "secours"? If getting applies to this broader category this should be yes.
93	becomen	Coninck van ons ongetwijffelt , met dier Intentie versoeckt , als wel e e vn e weetende , niet [ becomen ] en sal , op dat bij onse beijgeringh oorsaecke mocht capteren , ons de belooffde vrijheijt van toll voor 10		50-80	['50-80']	No Span	no	Getting	Other (write in comments)		Clarity regarding getting for intangible things like "secours"? If getting applies to this broader category this should be yes.
94	ontseggen	beijgeringh oorsaecke mocht capteren , ons de belooffde vrijheijt van toll voor 10 . a 12 . Jaren te [ ontseggen ] , ofte soo schoon andermael eenich secours sonden , dat het selue emmers dog vruchteloos als t'voorgaen soude doen slijten		50-107	['50-107']	No Span	no		This does not describe an event listed in the ontology		I guess ontseggen in a way is not giving, but i feel that to say this evokes giving is stretching it.
99	lichten	ledich van daer herwaertse gesonden , ende nu versoecken sij andere , soo om de Peper van daer te [ lichten ] , als om Compes Volck ende restanten aldaer te mogen verseeckeren Onse tfachten Int ' vaerwater van Mallacca cruijssende ,		50-213	['50-213']	No Span	yes	Transportation			
102	daer omtrent	sijn vande Noort naer Pedra branca , om de Zuijdt vertrocken C = a sog om de Maccausche dravetten [ daer omtrent ] te cruijssen Vooren Is geseijdt hoe hier van Teijouhan ende Japan Godtloff . abel aengecomen sijn de Schepen Brasimus	['51-45', '51-46']	51-45	['51-45', '51-46']	51-46	no		The span selection is incorrect	cruijsen	for encounter I would annotate cruijssen, with "daer omtrent" as the location.
104	cruijssen	naer Pedra branca , om de Zuijdt vertrocken C = a sog om de Maccausche dravetten daer omtrent te [ cruijssen ] Vooren Is geseijdt hoe hier van Teijouhan ende Japan Godtloff . abel aengecomen sijn de Schepen Brasimus ende de Vreede		51-48	['51-48']	No Span	yes	Encounter			
