	mention_span	mention_in_context	mention_span_ids	mention_token_id	mention_ids	last_token_id	Should this mention be annotated as an event?	If so, which event class should the mention be annotated with?	If not, why not?	If span incorrect, provide correct span	comments
35	decieitiersn comen sal	daer uijt der maten dier ; De toataneten vreesen alsnoch dat den Atchinder van Gueda te Lande te lande [ decieitiersn comen sal ] , daer ons bedunckt niet veel apparentie toe en is eeee Vande Westcust van Sumatra is hier den	['17-61', '17-62', '17-63']	17-61	['17-61', '17-62', '17-63']	17-63	no		The span selection is incorrect	comen	
40	vtreck	O cento aduance geuen , ende in Tatane niet meer als 30 . Ot FL W. Cust was opt [ vtreck ] van gemelte Jacht van daer , noch goede partije peper te becomen , ende dat tot redelijcken prus : Ooch		18-60	['18-60']	No Span	yes	Leaving			
45	onvoorsien	, Soo dat de Molucq , Amboina ende Banida gelijck mede wij hier in Battra . noch een Jaer [ onvoorsien ] sullen moeten blijven . Ofs oock acpparent dat V. Ed : mede in twee Jaeren geen retour van daer becomen		20-92	['20-92']	No Span	no		This does not describe an event listed in the ontology		
47	gegeven	in Maij a.o . 1628 . gereedt wesen ; Ouer de 32 . E Pagoden hadden d'onse op leueringe [ gegeven ] ee Om de Zuijdt waren de drije Naijcken vereinicht , waer door aipparent is den Standt in die Quartieren vrij		22-33	['22-33']	No Span	yes	Giving			
48	vereinicht	Ouer de 32 . E Pagoden hadden d'onse op leueringe gegeven ee Om de Zuijdt waren de drije Naijcken [ vereinicht ] , waer door aipparent is den Standt in die Quartieren vrij wat beteren dat ende datmen metter tijt goede partije		23-9	['23-9']	No Span	yes	Arriving			
51	Qquardt tractement	soo dier , als in lange Jaren niet geweest is Pr. Madilwals . continueerden de Mooren haere Monovolien ende [ Qquardt tractement ] t'ontwaerts ; Met niemant anders dan met drije deee pachters , mochten d'onse aldaer handelen ; Ende noch werdt	['24-36', '24-37']	24-36	['24-36', '24-37']	24-37	yes	BeingInARelationship			
54	opgedicongen	; Met niemant anders dan met drije deee pachters , mochten d'onse aldaer handelen ; Ende noch werdt haer [ opgedicongen ] sulcken sorteringe als sij selfs willen : Waer tegen met soete middelen niet te doen is . Soo de liberteijt		24-58	['24-58']	No Span	yes	ForceToAct			
60	constringeren	houden , om ons van t'iloorsche loorsche - Vaertuijch te verseeckeren , en de Grooten bij dien middel te [ constringeren ] tot restauratie vande geleden Interesten ende schaden , mitsgaders Dat ons den vrijen ende onbecommerden handel in Masilicat nam gedoogen		30-37	['30-37']	No Span	yes	ForceToAct			
61	schaden	- Vaertuijch te verseeckeren , en de Grooten bij dien middel te constringeren tot restauratie vande geleden Interesten ende [ schaden ] , mitsgaders Dat ons den vrijen ende onbecommerden handel in Masilicat nam gedoogen . Nae d'onse vande custe aduiseren ,		30-44	['30-44']	No Span	no		Other (write in comments)		Damaging staat niet in deze betekenis in de ontologie
64	teiqueren	ouerlast doen , sijn de geene , twelcke de voorneemste capitalen nae Mocha , Atchin , Regu ende elders [ teiqueren ] , sij mogen den handel op dese Quartieren veel min dan Wij Marilwats . deruen . U Ed : aduijs		30-113	['30-113']	No Span	no		Other (write in comments)		Geen idee wat dit woord betekent
65	veel min	voorneemste capitalen nae Mocha , Atchin , Regu ende elders teiqueren , sij mogen den handel op dese Quartieren [ veel min ] dan Wij Marilwats . deruen . U Ed : aduijs aengaende t'redres van dese saecke , sullen daerop gaerne	['30-122', '30-123']	30-122	['30-122', '30-123']	30-123	no		This does not describe an event listed in the ontology		
67	deruen	, Regu ende elders teiqueren , sij mogen den handel op dese Quartieren veel min dan Wij Marilwats . [ deruen ] . U Ed : aduijs aengaende t'redres van dese saecke , sullen daerop gaerne hooren . eeveee Der neuens gaende		30-128	['30-128']	No Span	no		This does not describe an event listed in the ontology		
69	gedaelt	grooten Interest moeten betalen Ede specerijen Nagelen , Nooten ende foelije waren meer dan 50 . Rcento in prijs [ gedaelt ] , conden geene vercoopen , dan tot leegen Phris Ambeine Banda Js Almigon eicht bij paliacatte drijuen d'Engelschen Engelschen haren		33-16	['33-16']	No Span	yes	ScalarChange			
71	drijuen	in prijs gedaelt , conden geene vercoopen , dan tot leegen Phris Ambeine Banda Js Almigon eicht bij paliacatte [ drijuen ] d'Engelschen Engelschen haren handel , welcke plaetse haer soo : dienstich is , als ons Paliacatte . Op haer versouck		35-6	['35-6']	No Span	yes	BeingAtAPlace			
77	spoedige reijs	. pasto . omtrent ppoulo - Vercelaer bij Noorden Mallacca gerescontreert . Waer ouer aipvarent is , dat een [ spoedige reijs ] doen sal , twelck Godt gene dr 21e . Septembris pasen . was t'Jacht Grombershanen van Masilivas . naer	['36-75', '36-76']	36-75	['36-75', '36-76']	36-76	yes	Voyage			
81	Keere	aen blauen , otterijs rijs te besteden , met ordre dat tegen hal ff December weder voor Masilipats . [ Keere ] . uo 16en . Decemb . passaco hebben van hier naer Amboina , ende Gaudamet Gauda de Noodige comptanten coopmanschappen		37-42	['37-42']	No Span	yes	Leaving			
86	bevoirderen	Oppercoopman Gregorius Cornelij ermmate Etr ende Capn . Marten Jansz Vogel , omme in d‛een ende d'ander plaets te [ bevoirderen ] sulcx als den meesten dienst ende woelstandt vande Compen . aldaer vereijscht , Insonderheijt inde Quartieren van Amboina , alwaer		40-15	['40-15']	No Span	yes	BeingEmployed			
89	becomen	Coppen ten hoochsten , aldaer geseten wais ongelijck meerder ontsach , vorderlijcker handel ende treffelycker nagel retour van daer [ becomen ] ; Van welcke 616 . coppen , 162 . Tsoonen , ende dat apparent vande ervarenste ende loeckste Soldaten ,		40-141	['40-141']	No Span	yes	Getting			
90	gevoirdert	Garnisoen verdeelt sij Behaluen dat met voorsz verdeelinge tot Compes . progres ende Goulagiement in gemelte Quartieren gants niet [ gevoirdert ] Werct soo is oock deselue niet bastandt , omme d'ffiuasien van externer Vijanden te connen resisteren , nochte oock d'Imboonders		40-186	['40-186']	No Span	no		This does not describe an event listed in the ontology		
91	d'ffiuasien	. progres ende Goulagiement in gemelte Quartieren gants niet gevoirdert Werct soo is oock deselue niet bastandt , omme [ d'ffiuasien ] van externer Vijanden te connen resisteren , nochte oock d'Imboonders Imboonders alsse ontrouw Wesen willen , in ontsach ende dwang		40-196	['40-196']	No Span	yes	Invasion			
92	in ontsach ende dwang te houden	, omme d'ffiuasien van externer Vijanden te connen resisteren , nochte oock d'Imboonders Imboonders alsse ontrouw Wesen willen , [ in ontsach ende dwang te houden ] , Gelijck als op Bouro ende inde Manipes met schande ende verlies van Volck ende	['40-212', '40-213', '40-214', '40-215', '40-216', '40-217']	40-212	['40-212', '40-213', '40-214', '40-215', '40-216', '40-217']	40-217	yes	ViolentContest			
98	schande ende verlies	ontrouw Wesen willen , in ontsach ende dwang te houden , Gelijck als op Bouro ende inde Manipes met [ schande ende verlies ] van Volck ende goedt gebleecken , is ; Derhaluen gemelte Gecommitteerde precise ordre gegeuen hebben , omme de	['40-227', '40-228', '40-229']	40-227	['40-227', '40-228', '40-229']	40-229	no		The span selection is incorrect	verlies	
101	extremiteijt van wapenen	alvooren daer toee speciale last ende ordre van ons becomen Is hebben Visitate ge . Ende dewijle men door [ extremiteijt van wapenen ] ( twelck doch niet dan groote lasten , onseeckere uijtcompsten , horrible bloetstorting , Herderff van menschen ende	['42-5', '42-6', '42-7']	42-5	['42-5', '42-6', '42-7']	42-7	yes	ViolentContest			
104	vervallen	Compes . nootwendich soulaes ( den Nagelhandel ) naer hem is bleijpende ) Jegenwoordich niet gedisponeert is , den [ vervallen ] Stadt inde Quartieren van Ambr . naer behooren te restaureren ende te verseeckeren , ende dat het in aller manieren		42-59	['42-59']	No Span	yes	BeingDamaged			
105	restaureren ende te verseeckeren	is bleijpende ) Jegenwoordich niet gedisponeert is , den vervallen Stadt inde Quartieren van Ambr . naer behooren te [ restaureren ende te verseeckeren ] , ende dat het in aller manieren geradender ende voor de presente gestaltenisser vande Compe . nitter	['42-69', '42-70', '42-71', '42-72']	42-69	['42-69', '42-70', '42-71', '42-72']	42-72	yes	Repairing			
113	herstelt	van nieuwe vruntschap te geraecken , daer door de gealtereerde ende verwijderde gemoederen in voorige gerustheijt ende patisique posture [ herstelt ] , ende alsoo t'vervoeren vande Nagelen int aenstaende mochte voorgecomen werden , soo lange niet gedisponeert sijn t'selue anders te		42-171	['42-171']	No Span	yes	Repairing			
116	procureren	, resteerde bij t'comptoir comptoir aldaer noch omtrent soo veele , dat ongeveerlijck 150 . lasten Peper souden connen [ procureren ] . ( T‛sedert hebben verstaen , hoe alles aen Epper besteedt was , Waer ouer d'onse 150 . a 200		48-49	['48-49']	No Span	yes	Buying			
118	gesonden werden	d'onse 150 . a 200 . pagqe . vleeden niet eenich geldt versoucken , gissing maeckende , soo die [ gesonden werden ] , dat tegen Martij toecomende omtrent 5000 . tpicol wever in Doorraedt sullen hebben . Noch geldt noch cleeden	['48-84', '48-85']	48-84	['48-84', '48-85']	48-85	yes	Transportation			
120	sullen hebben	gissing maeckende , soo die gesonden werden , dat tegen Martij toecomende omtrent 5000 . tpicol wever in Doorraedt [ sullen hebben ] . Noch geldt noch cleeden connen derrewaerts seijnden voor dat nieuw secours van Nederlandt ende Choromandel becomen „ 32	['48-98', '48-99']	48-98	['48-98', '48-99']	48-99	yes	HavingInPossession			
122	seijnden	tegen Martij toecomende omtrent 5000 . tpicol wever in Doorraedt sullen hebben . Noch geldt noch cleeden connen derrewaerts [ seijnden ] voor dat nieuw secours van Nederlandt ende Choromandel becomen „ 32 „ 4 . = Den oppercoopman van Jambij Cornelis		48-107	['48-107']	No Span	yes	Transportation			
123	becomen	Doorraedt sullen hebben . Noch geldt noch cleeden connen derrewaerts seijnden voor dat nieuw secours van Nederlandt ende Choromandel [ becomen ] „ 32 „ 4 . = Den oppercoopman van Jambij Cornelis vander Hoeff aduiseert ons , hoe vanden Coninck van		48-116	['48-116']	No Span	yes	Getting			
124	Exploict	Hoeff aduiseert ons , hoe vanden Coninck van Jambij versocht heeft recompense voor onsen gepresteerden dienst , opt ' [ Exploict ] naer Dalimban , maer heeft niet anders connen obtineren dan uijtstel van betalinge des Tols , tot dat de Coninck		50-26	['50-26']	No Span	yes	Voyage			
125	obtineren	versocht heeft recompense voor onsen gepresteerden dienst , opt ' Exploict naer Dalimban , maer heeft niet anders connen [ obtineren ] dan uijtstel van betalinge des Tols , tot dat de Coninck Antwoordt op sijn versouck van Nieuw secours tegen Palimban		50-35	['50-35']	No Span	yes	Getting			
126	becompt	uijtstel van betalinge des Tols , tot dat de Coninck Antwoordt op sijn versouck van Nieuw secours tegen Palimban [ becompt ] ; Velck secours den Coninck van ons ongetwijffelt , met dier Intentie versoeckt , als wel e e vn e		50-56	['50-56']	No Span	yes	Getting			
127	cruijssende	lichten , als om Compes Volck ende restanten aldaer te mogen verseeckeren Onse tfachten Int ' vaerwater van Mallacca [ cruijssende ] , hadden , niet anders verricht , dan met onse Jongste geaduiseert is ; E. ober deeen sijn vande Noort		51-8	['51-8']	No Span	yes	Voyage			
128	vertrocken	met onse Jongste geaduiseert is ; E. ober deeen sijn vande Noort naer Pedra branca , om de Zuijdt [ vertrocken ] C = a sog om de Maccausche dravetten daer omtrent te cruijssen Vooren Is geseijdt hoe hier van Teijouhan ende		51-36	['51-36']	No Span	yes	Leaving			
