,mention,anchor_type,mention_token_id,mention_character_id,eventclass,Patient_offsets,Agent_offsets,Location_offsets,Time_offsets,AgentPatient_offsets,Benefactive_offsets,Cargo_offsets,Source_offsets,Target_offsets,Path_offsets,Instrument_offsets,mention_span,mention_span_ids,mention_in_context,eventclass_no_number,last_token_id
14,;,isOfType,1-176,932-933,FinancialTransaction[229],['1-169'],['1-172[115]'],None,None,None,None,None,None,None,None,None,aengereekend ; en ten Lasten gebragt,"['1-175', '1-176', '1-177', '1-178', '1-179', '1-180']","thans de zijde buijten belastinge daer van overgaet , en na deesen dat bedragen , eerst het comptoir generael [ aengereekend ; en ten Lasten gebragt ] sal kunnen werden , met ons wijders voor soo veel 't comp : s spahan",FinancialTransaction,1-180
15,en,isOfType,1-177,934-936,FinancialTransaction[229],['1-169'],['1-172[115]'],None,None,None,None,None,None,None,None,None,aengereekend ; en ten Lasten gebragt,"['1-175', '1-176', '1-177', '1-178', '1-179', '1-180']","thans de zijde buijten belastinge daer van overgaet , en na deesen dat bedragen , eerst het comptoir generael [ aengereekend ; en ten Lasten gebragt ] sal kunnen werden , met ons wijders voor soo veel 't comp : s spahan",FinancialTransaction,1-180
16,ten,isOfType,1-178,937-940,FinancialTransaction[229],['1-169'],['1-172[115]'],None,None,None,None,None,None,None,None,None,aengereekend ; en ten Lasten gebragt,"['1-175', '1-176', '1-177', '1-178', '1-179', '1-180']","thans de zijde buijten belastinge daer van overgaet , en na deesen dat bedragen , eerst het comptoir generael [ aengereekend ; en ten Lasten gebragt ] sal kunnen werden , met ons wijders voor soo veel 't comp : s spahan",FinancialTransaction,1-180
17,Lasten,isOfType,1-179,941-947,FinancialTransaction[229],['1-169'],['1-172[115]'],None,None,None,None,None,None,None,None,None,aengereekend ; en ten Lasten gebragt,"['1-175', '1-176', '1-177', '1-178', '1-179', '1-180']","thans de zijde buijten belastinge daer van overgaet , en na deesen dat bedragen , eerst het comptoir generael [ aengereekend ; en ten Lasten gebragt ] sal kunnen werden , met ons wijders voor soo veel 't comp : s spahan",FinancialTransaction,1-180
18,gebragt,isOfType,1-180,948-955,FinancialTransaction[229],['1-169'],['1-172[115]'],None,None,None,None,None,None,None,None,None,aengereekend ; en ten Lasten gebragt,"['1-175', '1-176', '1-177', '1-178', '1-179', '1-180']","thans de zijde buijten belastinge daer van overgaet , en na deesen dat bedragen , eerst het comptoir generael [ aengereekend ; en ten Lasten gebragt ] sal kunnen werden , met ons wijders voor soo veel 't comp : s spahan",FinancialTransaction,1-180
19,verwisselde,evokes,1-200,1038-1049,Translocation,['1-206[118]'],None,None,None,None,None,None,['1-191[116]'],['1-191[117]'],None,None,verwisselde,['1-200'],"sal kunnen werden , met ons wijders voor soo veel 't comp : s spahan belangd , aen de [ verwisselde ] en nu in Copia overgaende brieven te gedraagen , gelijk ook in alle onderdanigh „ t , met die nu",Translocation,1-200
20,overgaende,isOfType,1-205,1065-1075,Translocation,['1-206[119]'],None,None,None,None,None,None,None,None,None,None,overgaende,['1-205'],"ons wijders voor soo veel 't comp : s spahan belangd , aen de verwisselde en nu in Copia [ overgaende ] brieven te gedraagen , gelijk ook in alle onderdanigh „ t , met die nu na de westerse Comp =",Translocation,1-205
21,erersonden,evokes,1-229,1178-1188,Translocation,['1-206[120]'],None,None,None,None,None,None,None,['1-222[121]'],None,None,erersonden,['1-229'],"gelijk ook in alle onderdanigh „ t , met die nu na de westerse Comp = e ver werdenff [ erersonden ] , geschied , en bestaet het affgeladene ede te tegenwoordig in de 2 meerged „ te scheepen , in het",Translocation,1-229
22,affgeladene,evokes,1-236,1215-1226,Transportation,None,None,None,None,None,None,None,None,None,None,None,affgeladene,['1-236'],", met die nu na de westerse Comp = e ver werdenff erersonden , geschied , en bestaet het [ affgeladene ] ede te tegenwoordig in de 2 meerged „ te scheepen , in het volgende teweeten „ de de geslipuleerde revognitie",Transportation,1-236
23,Leverantie,evokes,3-10,1388-1398,Trade,['3-12[122]'],None,None,['3-16[123]'],None,None,None,None,None,None,None,Leverantie,['3-10'],"het volgende teweeten „ de de geslipuleerde revognitie penningen . wat bij de bediendens tot pahan , weegens de [ Leverantie ] van dat gebp in , voorhet aenstaende jaer hebben voor 's vaderland Jn de prins Lugenuss . 22140 lb kirmanse",Trade,3-10
24,voor,evokes,4-1,1447-1451,Transportation[230],"['4-16[127]', '4-9[126]']",None,None,None,None,None,None,None,['4-3'],None,['4-5[124]'],voor 's vaderland,"['4-1', '4-2', '4-3']","wat bij de bediendens tot pahan , weegens de Leverantie van dat gebp in , voorhet aenstaende jaer hebben [ voor 's vaderland ] Jn de prins Lugenuss . 22140 lb kirmanse 2vol in 246 balen 27000 „ zijde in 180 voor",Transportation,4-3
25,'s,evokes,4-2,1452-1454,Transportation[230],"['4-16[127]', '4-9[126]']",None,None,None,None,None,None,None,['4-3'],None,['4-5[124]'],voor 's vaderland,"['4-1', '4-2', '4-3']","wat bij de bediendens tot pahan , weegens de Leverantie van dat gebp in , voorhet aenstaende jaer hebben [ voor 's vaderland ] Jn de prins Lugenuss . 22140 lb kirmanse 2vol in 246 balen 27000 „ zijde in 180 voor",Transportation,4-3
26,vaderland,evokes,4-3,1455-1464,Transportation[230],"['4-16[127]', '4-9[126]']",None,None,None,None,None,None,None,['4-3'],None,['4-5[124]'],voor 's vaderland,"['4-1', '4-2', '4-3']","wat bij de bediendens tot pahan , weegens de Leverantie van dat gebp in , voorhet aenstaende jaer hebben [ voor 's vaderland ] Jn de prins Lugenuss . 22140 lb kirmanse 2vol in 246 balen 27000 „ zijde in 180 voor",Transportation,4-3
27,voor,evokes,4-21,1544-1548,Transportation[231],"['4-62[136]', '4-46[132]', '4-51[133]', '4-58[135]', '4-65[137]', '4-68[138]', '4-72[139]', '4-42[131]', '4-39[130]', '4-79[141]', '4-75[140]', '4-34[129]', '4-54[134]', '4-83[142]', '4-86[143]', '4-23[128]']",None,None,None,None,None,None,None,['4-22'],None,['4-5[125]'],voor 's vaderland,"['4-1', '4-2', '4-3']","wat bij de bediendens tot pahan , weegens de Leverantie van dat gebp in , voorhet aenstaende jaer hebben [ voor 's vaderland ] Jn de prins Lugenuss . 22140 lb kirmanse 2vol in 246 balen 27000 „ zijde in 180 voor",Transportation,4-3
28,batavia,evokes,4-22,1549-1556,Transportation[231],"['4-62[136]', '4-46[132]', '4-51[133]', '4-58[135]', '4-65[137]', '4-68[138]', '4-72[139]', '4-42[131]', '4-39[130]', '4-79[141]', '4-75[140]', '4-34[129]', '4-54[134]', '4-83[142]', '4-86[143]', '4-23[128]']",None,None,None,None,None,None,None,['4-22'],None,['4-5[125]'],batavia,['4-22'],vaderland Jn de prins Lugenuss . 22140 lb kirmanse 2vol in 246 balen 27000 „ zijde in 180 voor [ batavia ] Totx paerden vaer van dat er 4 voor bengalen zijn . 3000 „ disse bocke vellen 38 „ phelpen 116,Transportation,4-22
29,affgescheepte,evokes,4-92,1912-1925,Transportation,None,None,None,None,None,None,None,None,None,None,['4-94'],affgescheepte,['4-92'],„ pruijmellen 100 stx glase lampen 130 „ divse glaswercken 60 kassen rosewater 17 „ 1 clarst zijn het [ affgescheepte ] in Engeen beloopt . . . ƒ153179 . 17 . 8 . In't schip abbekerk C voor Ceijlon 9000 p,Transportation,4-92
30,voor,evokes,4-109,1987-1991,Transportation[232],"['4-111[147]', '4-122[149]', '4-118[148]', '4-128[150]', '4-131[151]', '4-134[152]']",None,None,None,None,None,None,None,['4-110'],None,['4-106[144]'],voor Ceijlon,"['4-109', '4-110']",zijn het affgescheepte in Engeen beloopt . . . ƒ153179 . 17 . 8 . In't schip abbekerk C [ voor Ceijlon ] 9000 p „ s goude Europeaense ducaten 200 lb kraak amasdelen 1400 „ gemeene d „ o 10 kassen,Transportation,4-110
31,Ceijlon,evokes,4-110,1992-1999,Transportation[232],"['4-111[147]', '4-122[149]', '4-118[148]', '4-128[150]', '4-131[151]', '4-134[152]']",None,None,None,None,None,None,None,['4-110'],None,['4-106[144]'],voor Ceijlon,"['4-109', '4-110']",zijn het affgescheepte in Engeen beloopt . . . ƒ153179 . 17 . 8 . In't schip abbekerk C [ voor Ceijlon ] 9000 p „ s goude Europeaense ducaten 200 lb kraak amasdelen 1400 „ gemeene d „ o 10 kassen,Transportation,4-110
32,voor,evokes,4-154,2187-2191,Transportation[233],"['4-180[158]', '4-167[155]', '4-161[154]', '4-175[157]', '4-156[153]', '4-170[156]']",None,None,None,None,None,None,None,['4-155'],None,['4-106[145]'],voor Ceijlon,"['4-109', '4-110']",zijn het affgescheepte in Engeen beloopt . . . ƒ153179 . 17 . 8 . In't schip abbekerk C [ voor Ceijlon ] 9000 p „ s goude Europeaense ducaten 200 lb kraak amasdelen 1400 „ gemeene d „ o 10 kassen,Transportation,4-110
33,Cormandel,evokes,4-155,2192-2201,Transportation[233],"['4-180[158]', '4-167[155]', '4-161[154]', '4-175[157]', '4-156[153]', '4-170[156]']",None,None,None,None,None,None,None,['4-155'],None,['4-106[145]'],Cormandel,['4-155'],", als 25 d „ o clareten 10 „ ordinarie costende . . ƒ 38830:12 : 8 . voor [ Cormandel ] 100 lb kraek amandel en 700 „ gemeene d „ o 50 „ sruijmen 36 kassen wijn , als 10",Transportation,4-155
34,Voor,evokes,4-192,2336-2340,Transportation[234],"['4-194[159]', '4-203[161]', '4-200[160]', '4-214[164]', '4-227[167]', '4-224[166]', '4-207[162]', '4-211[163]', '4-218[165]', '4-231[168]', '4-236[169]']",None,None,None,None,None,None,None,['4-193'],None,['4-106[146]'],Voor mallabaer,"['4-192', '4-193']",", als 10 d „ os clareten 26 „ ordinarie wijn belopen „ 901 : 6 : 8 . [ Voor mallabaer ] 13000 p „ s goude ducaten 10 kassen roservater 110 lb hasenoten — 40 „ wal nooten 120 „",Transportation,4-193
35,mallabaer,evokes,4-193,2341-2350,Transportation[234],"['4-194[159]', '4-203[161]', '4-200[160]', '4-214[164]', '4-227[167]', '4-224[166]', '4-207[162]', '4-211[163]', '4-218[165]', '4-231[168]', '4-236[169]']",None,None,None,None,None,None,None,['4-193'],None,['4-106[146]'],Voor mallabaer,"['4-192', '4-193']",", als 10 d „ os clareten 26 „ ordinarie wijn belopen „ 901 : 6 : 8 . [ Voor mallabaer ] 13000 p „ s goude ducaten 10 kassen roservater 110 lb hasenoten — 40 „ wal nooten 120 „",Transportation,4-193
36,geladene,evokes,4-249,2583-2591,Transportation,None,None,None,None,None,None,None,None,None,None,['4-251'],geladene,['4-249'],als 18 d „ o clareten 4„o ord „ o wijn monteerende „ 84016 : p : 8 Het [ geladene ] in abbekerk beloopt In 't versondene tesamen . . . . . . . . p 296927 . 17:- .,Transportation,4-249
37,versondene,evokes,4-255,2618-2628,Transportation,None,None,None,None,None,None,None,None,None,None,None,versondene,['4-255'],4„o ord „ o wijn monteerende „ 84016 : p : 8 Het geladene in abbekerk beloopt In 't [ versondene ] tesamen . . . . . . . . p 296927 . 17:- . _ : 2ƒ43747:19:8 . 't geladene,Transportation,4-255
38,geladene,evokes,6-2,2688-2696,Transportation,None,None,None,None,None,None,None,None,None,None,None,geladene,['6-2'],tesamen . . . . . . . . p 296927 . 17:- . _ : 2ƒ43747:19:8 . 't [ geladene ] in dese 2 bodems . Sulx dat ' er buijten de Chirase wijnen die men van ginderna herrew = s,Transportation,6-2
39,affkrijgen,evokes,7-29,2863-2873,Transportation,['7-6[170]'],['7-10'],None,None,None,None,None,['7-12'],['7-13[171]'],None,['7-19[172]'],affkrijgen,['7-29'],"men van ginderna herrew = s door gebrek van Last beesten niet tijdelijk heeft van batavia mauquend : kunnen [ affkrijgen ] , met het affgescheepte voor batavia niet dan 4 kx hengs tpaerden 6 p „ s wvolle alcatijven , en",Transportation,7-29
40,affgescheepte,evokes,7-33,2883-2896,Transportation,"['7-50[175]', '7-42[174]', '7-38[173]']",None,None,None,None,None,None,None,['7-35'],None,None,affgescheepte,['7-33'],"= s door gebrek van Last beesten niet tijdelijk heeft van batavia mauquend : kunnen affkrijgen , met het [ affgescheepte ] voor batavia niet dan 4 kx hengs tpaerden 6 p „ s wvolle alcatijven , en 120 p „ s",Transportation,7-33
41,affgecomen,isOfType,7-76,3108-3118,Arriving,None,['7-69'],None,None,None,None,None,['7-71[176]'],None,None,None,affgecomen,['7-76'],"te gebreeken,/ ter oorsake d :o alcatijven , niet affgeweeven , ende Jugten uijt de bovenlanden nog niet waren [ affgecomen ] , terwijl het al versondene van dit mousson met deese en de 2 vorige bodems sommeerd ƒ794585 . 18 .",Arriving,7-76
42,versondene,evokes,7-81,3135-3145,Transportation,['7-79[177]'],None,None,['7-83[178]'],None,None,None,None,None,None,['7-86[179]'],versondene,['7-81'],":o alcatijven , niet affgeweeven , ende Jugten uijt de bovenlanden nog niet waren affgecomen , terwijl het al [ versondene ] van dit mousson met deese en de 2 vorige bodems sommeerd ƒ794585 . 18 . — . en den almogende",Transportation,7-81
43,vfesonden,evokes,7-108,3268-3277,Transportation,['10-3[191]'],None,None,['10-7[192]'],None,None,None,['7-107'],None,None,None,vfesonden,['7-108'],"2 vorige bodems sommeerd ƒ794585 . 18 . — . en den almogende gebeeden blijffd , haer van hier [ vfesonden ] . — . . een spoedige en behoude reijse te willen verleenen deese in dus verreklaer en in gereeth „",Transportation,7-108
44,reijse,isOfType,7-117,3308-3314,Voyage,['7-105'],None,None,None,None,None,None,None,None,None,None,reijse,['7-117'],". en den almogende gebeeden blijffd , haer van hier vfesonden . — . . een spoedige en behoude [ reijse ] te willen verleenen deese in dus verreklaer en in gereeth „ t gebragt weesende soo wierd ons op den 15„e",Voyage,7-117
45,verleenen,isOfType,7-120,3325-3334,Giving,['7-113[181]'],['7-100[180]'],None,None,None,None,None,None,None,None,None,verleenen,['7-120'],"almogende gebeeden blijffd , haer van hier vfesonden . — . . een spoedige en behoude reijse te willen [ verleenen ] deese in dus verreklaer en in gereeth „ t gebragt weesende soo wierd ons op den 15„e feb : p",Giving,7-120
46,in,evokes,7-126,3362-3364,Repairing[235],['7-121'],None,None,None,None,None,None,None,None,None,None,in gereeth „ t gebragt,"['7-126', '7-127', '7-128', '7-129', '7-130']","hier vfesonden . — . . een spoedige en behoude reijse te willen verleenen deese in dus verreklaer en [ in gereeth „ t gebragt ] weesende soo wierd ons op den 15„e feb : p „ r Coopmans boode , een",Repairing,7-130
47,gereeth,evokes,7-127,3365-3372,Repairing[235],['7-121'],None,None,None,None,None,None,None,None,None,None,in gereeth „ t gebragt,"['7-126', '7-127', '7-128', '7-129', '7-130']","hier vfesonden . — . . een spoedige en behoude reijse te willen verleenen deese in dus verreklaer en [ in gereeth „ t gebragt ] weesende soo wierd ons op den 15„e feb : p „ r Coopmans boode , een",Repairing,7-130
48,„,evokes,7-128,3372-3373,Repairing[235],['7-121'],None,None,None,None,None,None,None,None,None,None,in gereeth „ t gebragt,"['7-126', '7-127', '7-128', '7-129', '7-130']","hier vfesonden . — . . een spoedige en behoude reijse te willen verleenen deese in dus verreklaer en [ in gereeth „ t gebragt ] weesende soo wierd ons op den 15„e feb : p „ r Coopmans boode , een",Repairing,7-130
49,t,evokes,7-129,3373-3374,Repairing[235],['7-121'],None,None,None,None,None,None,None,None,None,None,in gereeth „ t gebragt,"['7-126', '7-127', '7-128', '7-129', '7-130']","hier vfesonden . — . . een spoedige en behoude reijse te willen verleenen deese in dus verreklaer en [ in gereeth „ t gebragt ] weesende soo wierd ons op den 15„e feb : p „ r Coopmans boode , een",Repairing,7-130
50,gebragt,evokes,7-130,3375-3382,Repairing[235],['7-121'],None,None,None,None,None,None,None,None,None,None,in gereeth „ t gebragt,"['7-126', '7-127', '7-128', '7-129', '7-130']","hier vfesonden . — . . een spoedige en behoude reijse te willen verleenen deese in dus verreklaer en [ in gereeth „ t gebragt ] weesende soo wierd ons op den 15„e feb : p „ r Coopmans boode , een",Repairing,7-130
51,gesonden,evokes,7-165,3540-3548,Transportation,['9-3[190]'],None,None,None,None,None,None,None,None,None,None,gesonden,['7-165'],"een brief dspalan , door den onderaop9 van den ondercoopm = r en spahans secunde Willem brooks toe „ [ gesonden ] . „ gebragt , zijnde van den 24„e Januarij , en een antwoord opden onsen van den 20„en decemb :",Transportation,7-165
52,gebragt,evokes,7-168,3551-3558,Getting[236]|Transportation[237],['7-146[185]'],['7-134|7-143[184]'],None,"['7-137[182]', '7-137[183]']",None,None,None,['7-154[186]'],None,None,['7-134|7-143[184]'],in gereeth „ t gebragt,"['7-126', '7-127', '7-128', '7-129', '7-130']","hier vfesonden . — . . een spoedige en behoude reijse te willen verleenen deese in dus verreklaer en [ in gereeth „ t gebragt ] weesende soo wierd ons op den 15„e feb : p „ r Coopmans boode , een",Getting,7-130
53,overgaende,evokes,7-229,3842-3852,Translocation,['7-222[187]'],None,None,None,None,None,None,None,None,None,None,overgaende,['7-229'],"den 5 „ ' gb : ten Lasten Leij , dog dewijl d „ o missive in Copia is [ overgaende ] , sullen w ' ons daer aen onder 't welneemen van uhoog Ed „ e agtb : gedragen , niet",Translocation,7-229
54,onreedelijke,evokes,7-256,3957-3969,Mismanagement[238],None,['7-261[188]'],None,"['7-263[189]', '7-270']",None,None,None,None,None,None,None,onreedelijke wijse,"['7-256', '7-257']","onder 't welneemen van uhoog Ed „ e agtb : gedragen , niet alleen te seggen , dat de [ onreedelijke wijse ] op welke daturen dese persoon bij arrive heeft comen tehandelen , en noghandeld , en in 't vervolg getragt",Mismanagement,7-257
55,wijse,evokes,7-257,3970-3975,Mismanagement[238],None,['7-261[188]'],None,"['7-263[189]', '7-270']",None,None,None,None,None,None,None,onreedelijke wijse,"['7-256', '7-257']","onder 't welneemen van uhoog Ed „ e agtb : gedragen , niet alleen te seggen , dat de [ onreedelijke wijse ] op welke daturen dese persoon bij arrive heeft comen tehandelen , en noghandeld , en in 't vervolg getragt",Mismanagement,7-257
56,arrive,evokes,7-264,4010-4016,Arriving,None,None,None,None,None,None,None,None,None,None,None,arrive,['7-264'],"agtb : gedragen , niet alleen te seggen , dat de onreedelijke wijse op welke daturen dese persoon bij [ arrive ] heeft comen tehandelen , en noghandeld , en in 't vervolg getragt verdagt te maken , daer uijt seer Evidend",Arriving,7-264
57,laten,evokes,11-51,4528-4533,AlteringARelationship[239],None,None,None,None,None,None,None,None,None,None,None,laten berusten,"['11-51', '11-52']",", als men tegen voordagte oudercoopman heeft aengelegd , geen verdere stoff te geeven , 't hier bij te [ laten berusten ] , en onder het renoveeren van een goede zegt debenoudens bij het huijshoudinge en minnelijk gedrag bij eerste afftegane",AlteringARelationship,11-52
58,berusten,evokes,11-52,4534-4542,AlteringARelationship[239],None,None,None,None,None,None,None,None,None,None,None,laten berusten,"['11-51', '11-52']",", als men tegen voordagte oudercoopman heeft aengelegd , geen verdere stoff te geeven , 't hier bij te [ laten berusten ] , en onder het renoveeren van een goede zegt debenoudens bij het huijshoudinge en minnelijk gedrag bij eerste afftegane",AlteringARelationship,11-52
59,renoveeren,evokes,11-57,4557-4567,HavingInternalState+,['11-65'],None,None,None,None,None,None,None,None,None,None,renoveeren,['11-57'],"heeft aengelegd , geen verdere stoff te geeven , 't hier bij te laten berusten , en onder het [ renoveeren ] van een goede zegt debenoudens bij het huijshoudinge en minnelijk gedrag bij eerste afftegane „ sschrijvens , van hier na",HavingInternalState+,11-57
60,afftegane,evokes,11-71,4652-4661,Transportation,['11-73'],None,None,None,None,None,None,['11-76'],['11-78[193]'],None,None,afftegane,['11-71'],"berusten , en onder het renoveeren van een goede zegt debenoudens bij het huijshoudinge en minnelijk gedrag bij eerste [ afftegane ] „ sschrijvens , van hier na derrew „ s ook ordre op geene en deese kleenigheeden te stellen , waer",Transportation,11-71
61,ontfangene,evokes,11-96,4767-4777,Getting,['11-97'],None,None,None,None,None,None,None,None,None,None,ontfangene,['11-96'],"na derrew „ s ook ordre op geene en deese kleenigheeden te stellen , waer na , en dit [ ontfangene ] schrijvens , ons al verder op den 18„e daer aen p = r addresse der Engelsche is toegebragt , een",Getting,11-96
62,toegebragt,isOfType,11-114,4855-4865,Arriving,None,['11-116[194]'],None,['11-104'],None,None,None,None,None,None,None,toegebragt,['11-114'],"dit ontfangene schrijvens , ons al verder op den 18„e daer aen p = r addresse der Engelsche is [ toegebragt ] , een Vaderlands pacquet met brieven , insluijtende behalven een cinculair briefje van p „ mo gb : 1709 .",Arriving,11-114
63,insluijtende,evokes,11-122,4903-4915,BeingAtAPlace,"['11-124[196]', '11-153[198]']",None,['11-116[195]'],None,None,None,None,None,None,None,None,insluijtende,['11-122'],"den 18„e daer aen p = r addresse der Engelsche is toegebragt , een Vaderlands pacquet met brieven , [ insluijtende ] behalven een cinculair briefje van p „ mo gb : 1709 . en Extract uijt den Eijsch van retouren voor",BeingAtAPlace,11-122
64,Eijsch,evokes,11-139,4986-4992,ForceToAct,['11-149[197]'],None,None,None,None,None,None,None,None,None,None,Eijsch,['11-139'],"brieven , insluijtende behalven een cinculair briefje van p „ mo gb : 1709 . en Extract uijt den [ Eijsch ] van retouren voor dit Lopende Jaer , soo veel persien concerneerd , nog vijff pacquetten voor de westerse comptoiren ,",ForceToAct,11-139
65,pacquetten,evokes,11-154,5069-5079,Transportation[240],['11-153[200]'],None,None,None,None,None,None,None,['11-156[201]'],None,None,pacquetten voor,"['11-154', '11-155']","en Extract uijt den Eijsch van retouren voor dit Lopende Jaer , soo veel persien concerneerd , nog vijff [ pacquetten voor ] de westerse comptoiren , als ceijlon , Wat geschriften daer van Cormandel , bengalen , bouratte en cochim ,",Transportation,11-155
66,voor,evokes,11-155,5080-5084,Transportation[240],['11-153[200]'],None,None,None,None,None,None,None,['11-156[201]'],None,None,pacquetten voor,"['11-154', '11-155']","en Extract uijt den Eijsch van retouren voor dit Lopende Jaer , soo veel persien concerneerd , nog vijff [ pacquetten voor ] de westerse comptoiren , als ceijlon , Wat geschriften daer van Cormandel , bengalen , bouratte en cochim ,",Transportation,11-155
67,versenden,evokes,11-180,5221-5230,Transportation,['11-153[199]'],None,None,['11-177[202]'],None,None,None,None,"['11-173', '11-171', '11-167', '11-161', '11-169']",None,None,versenden,['11-180'],"ceijlon , Wat geschriften daer van Cormandel , bengalen , bouratte en cochim , die wij bij deese geleegendheijd [ versenden ] , alhoewel wij vertrouwende vrunden van derselver teneur al sullen weesen gediend , gemerkt die voor deese directie , ons",Transportation,11-180
