	mention_span	mention_in_context	mention_span_ids	mention_token_id	mention_ids	last_token_id	Should this mention be annotated as an event?	If so, which event class should the mention be annotated with?	If not, why not?	If span incorrect, provide correct span	comments 
80	besteden	. naer Arraccan vertrocken met een Cargasoen van ƒ 3900 . om tselue aen blauen , otterijs rijs te [ besteden ] , met ordre dat tegen hal ff December weder voor Masilipats . Keere . uo 16en . Decemb . passaco		37-29	['37-29']	No Span	yes	Buying			
86	bevoirderen	Oppercoopman Gregorius Cornelij ermmate Etr ende Capn . Marten Jansz Vogel , omme in d‛een ende d'ander plaets te [ bevoirderen ] sulcx als den meesten dienst ende woelstandt vande Compen . aldaer vereijscht , Insonderheijt inde Quartieren van Amboina , alwaer		40-15	['40-15']	No Span	no				
90	gevoirdert	Garnisoen verdeelt sij Behaluen dat met voorsz verdeelinge tot Compes . progres ende Goulagiement in gemelte Quartieren gants niet [ gevoirdert ] Werct soo is oock deselue niet bastandt , omme d'ffiuasien van externer Vijanden te connen resisteren , nochte oock d'Imboonders		40-186	['40-186']	No Span	no				
92	in ontsach ende dwang te houden	, omme d'ffiuasien van externer Vijanden te connen resisteren , nochte oock d'Imboonders Imboonders alsse ontrouw Wesen willen , [ in ontsach ende dwang te houden ] , Gelijck als op Bouro ende inde Manipes met schande ende verlies van Volck ende	['40-212', '40-213', '40-214', '40-215', '40-216', '40-217']	40-212	['40-212', '40-213', '40-214', '40-215', '40-216', '40-217']	40-217	yes	TakingUnderControl			
101	extremiteijt van wapenen	alvooren daer toee speciale last ende ordre van ons becomen Is hebben Visitate ge . Ende dewijle men door [ extremiteijt van wapenen ] ( twelck doch niet dan groote lasten , onseeckere uijtcompsten , horrible bloetstorting , Herderff van menschen ende	['42-5', '42-6', '42-7']	42-5	['42-5', '42-6', '42-7']	42-7	no				
105	restaureren ende te verseeckeren	is bleijpende ) Jegenwoordich niet gedisponeert is , den vervallen Stadt inde Quartieren van Ambr . naer behooren te [ restaureren ende te verseeckeren ] , ende dat het in aller manieren geradender ende voor de presente gestaltenisser vande Compe . nitter	['42-69', '42-70', '42-71', '42-72']	42-69	['42-69', '42-70', '42-71', '42-72']	42-72	no		The span selection is incorrect	restaureren (see note)	not the whole span; unsure whether we use restaureren/repairing in this context (de stand in de quartieren restaureren)
109	nieuwe vruntschap te geraecken	, Loeboe , Combello , dessidi , Orang ende consorten , als onse oude Bondtgenoten , in termen van [ nieuwe vruntschap te geraecken ] , daer door de gealtereerde ende verwijderde gemoederen in voorige gerustheijt ende patisique posture herstelt , ende	['42-153', '42-154', '42-155', '42-156']	42-153	['42-153', '42-154', '42-155', '42-156']	42-156	yes	RelationshipChange			
113	herstelt	van nieuwe vruntschap te geraecken , daer door de gealtereerde ende verwijderde gemoederen in voorige gerustheijt ende patisique posture [ herstelt ] , ende alsoo t'vervoeren vande Nagelen int aenstaende mochte voorgecomen werden , soo lange niet gedisponeert sijn t'selue anders te		42-171	['42-171']	No Span	yes	EndingConflict			
120	sullen hebben	gissing maeckende , soo die gesonden werden , dat tegen Martij toecomende omtrent 5000 . tpicol wever in Doorraedt [ sullen hebben ] . Noch geldt noch cleeden connen derrewaerts seijnden voor dat nieuw secours van Nederlandt ende Choromandel becomen „ 32	['48-98', '48-99']	48-98	['48-98', '48-99']	48-99	no		The span selection is incorrect		I think 'voorraedt' or 'in voorraedt sullen hebben' as a whole should be included rather than only 'sullen hebben' to cover the HavingInPosession event
123	becomen	Doorraedt sullen hebben . Noch geldt noch cleeden connen derrewaerts seijnden voor dat nieuw secours van Nederlandt ende Choromandel [ becomen ] „ 32 „ 4 . = Den oppercoopman van Jambij Cornelis vander Hoeff aduiseert ons , hoe vanden Coninck van		48-116	['48-116']	No Span	yes	Arriving			?
124	Exploict	Hoeff aduiseert ons , hoe vanden Coninck van Jambij versocht heeft recompense voor onsen gepresteerden dienst , opt ' [ Exploict ] naer Dalimban , maer heeft niet anders connen obtineren dan uijtstel van betalinge des Tols , tot dat de Coninck		50-26	['50-26']	No Span	yes	Translocation			?
125	obtineren	versocht heeft recompense voor onsen gepresteerden dienst , opt ' Exploict naer Dalimban , maer heeft niet anders connen [ obtineren ] dan uijtstel van betalinge des Tols , tot dat de Coninck Antwoordt op sijn versouck van Nieuw secours tegen Palimban		50-35	['50-35']	No Span	no	Getting			If getting abstract things like getting an "uijtstel" is covered by the getting event this should be yes.
126	becompt	uijtstel van betalinge des Tols , tot dat de Coninck Antwoordt op sijn versouck van Nieuw secours tegen Palimban [ becompt ] ; Velck secours den Coninck van ons ongetwijffelt , met dier Intentie versoeckt , als wel e e vn e		50-56	['50-56']	No Span	no	Getting			Clarity regarding getting for intangible things like "secours"? If getting applies to this broader category this should be yes.
